unitid,"xf1a01",f1a01,"xf1a02",f1a02,"xf1a03",f1a03,"xf1a04",f1a04,"xf1a05",f1a05,"xf1a06",f1a06,"xf1a07",f1a07,"xf1a08",f1a08,"xf1a09",f1a09,"xf1a10",f1a10,"xf1a11",f1a11,"xf1a12",f1a12,"xf1a13",f1a13,"xf1a14",f1a14,"xf1a15",f1a15,"xf1a16",f1a16,"xf1a17",f1a17,"xf1a18",f1a18,"xf1a211",f1a211,"xf1a212",f1a212,"xf1a213",f1a213,"xf1a214",f1a214,"xf1a221",f1a221,"xf1a222",f1a222,"xf1a223",f1a223,"xf1a224",f1a224,"xf1a231",f1a231,"xf1a232",f1a232,"xf1a233",f1a233,"xf1a234",f1a234,"xf1a241",f1a241,"xf1a242",f1a242,"xf1a243",f1a243,"xf1a244",f1a244,"xf1a251",f1a251,"xf1a252",f1a252,"xf1a253",f1a253,"xf1a254",f1a254,"xf1a261",f1a261,"xf1a262",f1a262,"xf1a263",f1a263,"xf1a264",f1a264,"xf1a271",f1a271,"xf1a272",f1a272,"xf1a273",f1a273,"xf1a274",f1a274,"xf1a281",f1a281,"xf1a282",f1a282,"xf1a283",f1a283,"xf1a284",f1a284,"xf1b01",f1b01,"xf1b02",f1b02,"xf1b03",f1b03,"xf1b04",f1b04,"xf1b05",f1b05,"xf1b06",f1b06,"xf1b07",f1b07,"xf1b08",f1b08,"xf1b09",f1b09,"xf1b10",f1b10,"xf1b11",f1b11,"xf1b12",f1b12,"xf1b13",f1b13,"xf1b14",f1b14,"xf1b15",f1b15,"xf1b16",f1b16,"xf1b17",f1b17,"xf1b18",f1b18,"xf1b19",f1b19,"xf1b20",f1b20,"xf1b21",f1b21,"xf1b22",f1b22,"xf1b23",f1b23,"xf1b24",f1b24,"xf1b25",f1b25,"xf1c011",f1c011,"xf1c012",f1c012,"xf1c013",f1c013,"xf1c014",f1c014,"xf1c015",f1c015,"xf1c021",f1c021,"xf1c022",f1c022,"xf1c023",f1c023,"xf1c024",f1c024,"xf1c025",f1c025,"xf1c031",f1c031,"xf1c032",f1c032,"xf1c033",f1c033,"xf1c034",f1c034,"xf1c035",f1c035,"xf1c051",f1c051,"xf1c052",f1c052,"xf1c053",f1c053,"xf1c054",f1c054,"xf1c055",f1c055,"xf1c061",f1c061,"xf1c062",f1c062,"xf1c063",f1c063,"xf1c064",f1c064,"xf1c065",f1c065,"xf1c071",f1c071,"xf1c072",f1c072,"xf1c073",f1c073,"xf1c074",f1c074,"xf1c075",f1c075,"xf1c081",f1c081,"xf1c082",f1c082,"xf1c083",f1c083,"xf1c084",f1c084,"xf1c085",f1c085,"xf1c091",f1c091,"xf1c094",f1c094,"xf1c101",f1c101,"xf1c102",f1c102,"xf1c103",f1c103,"xf1c104",f1c104,"xf1c105",f1c105,"xf1c111",f1c111,"xf1c112",f1c112,"xf1c113",f1c113,"xf1c114",f1c114,"xf1c115",f1c115,"xf1c121",f1c121,"xf1c122",f1c122,"xf1c123",f1c123,"xf1c124",f1c124,"xf1c125",f1c125,"xf1c131",f1c131,"xf1c132",f1c132,"xf1c133",f1c133,"xf1c134",f1c134,"xf1c135",f1c135,"xf1c141",f1c141,"xf1c142",f1c142,"xf1c143",f1c143,"xf1c144",f1c144,"xf1c145",f1c145,"xf1c151",f1c151,"xf1c152",f1c152,"xf1c153",f1c153,"xf1c154",f1c154,"xf1c155",f1c155,"xf1c161",f1c161,"xf1c165",f1c165,"xf1c171",f1c171,"xf1c172",f1c172,"xf1c173",f1c173,"xf1c174",f1c174,"xf1c175",f1c175,"xf1c181",f1c181,"xf1c182",f1c182,"xf1c183",f1c183,"xf1c184",f1c184,"xf1c185",f1c185,"xf1c191",f1c191,"xf1c192",f1c192,"xf1c193",f1c193,"xf1c194",f1c194,"xf1c195",f1c195,"xf1d01",f1d01,"xf1d02",f1d02,"xf1d03",f1d03,"xf1d04",f1d04,"xf1d05",f1d05,"xf1d06",f1d06,"xf1e01",f1e01,"xf1e02",f1e02,"xf1e03",f1e03,"xf1e04",f1e04,"xf1e05",f1e05,"xf1e06",f1e06,"xf1e07",f1e07,"xf1e08",f1e08,"xf1e09",f1e09,"xf1e10",f1e10,"xf1e11",f1e11
"100654",10,"45557466",10,"147534742",10,"43619059",10,"0",10,"103915683",10,"149473149",10,"2476993",10,"21065635",10,"23542628",10,"66842130",10,"0",10,"66842130",10,"90384758",10,"37362437",10,"21870072",13,"0",10,"-144118",10,"59088391",10,"4982207",13,"0",10,"0",10,"4982207",13,"0",13,"0",13,"0",13,"0",10,"100162248",10,"12167827",10,"0",10,"112330075",10,"24694637",10,"3731459",10,"22767368",10,"5658728",10,"8020810",10,"0",10,"0",10,"8020810",13,"0",13,"0",13,"0",13,"0",10,"11283753",10,"5259169",10,"0",10,"16542922",10,"43619059",13,"0",10,"0",10,"43619059",10,"9600283",10,"27026566",10,"2232638",10,"730806",10,"10332432",13,"0",13,"0",10,"4576511",10,"54499236",10,"0",10,"32668124",10,"0",10,"0",10,"0",10,"0",13,"0",10,"2769707",10,"20808",10,"35458639",13,"0",10,"3733686",13,"0",10,"0",10,"3733686",10,"93691561",10,"19424995",10,"16052471",10,"2716757",10,"0",10,"955767",10,"9278438",10,"4642595",10,"674408",10,"0",10,"3961435",10,"11205968",10,"6093068",10,"1126418",10,"0",10,"3986482",10,"5795050",10,"3047848",10,"481580",10,"0",10,"2265622",10,"7604753",10,"4326144",10,"663021",10,"0",10,"2615588",10,"15530683",10,"6784193",10,"2223581",10,"0",10,"6522909",10,"5394978",10,"2729014",10,"495199",10,"0",10,"2170765",10,"3244246",10,"3244246",10,"1152751",10,"940539",10,"30564",13,"0",10,"181648",10,"8266920",10,"1855498",10,"306705",13,"0",10,"6104717",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"300000",10,"0",10,"0",10,"0",10,"0",10,"87198782",10,"46471370",10,"8718233",10,"3244246",10,"28764933",10,"3577952",10,"3577952",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3577952",10,"0",10,"0",10,"0",10,"3577952",10,"90776734",10,"46471370",10,"8718233",10,"3244246",10,"32342885",10,"93691561",10,"90776734",10,"2914827",10,"115584287",10,"-59410723",10,"59088391",10,"0",10,"16018686",10,"40134",10,"0",10,"0",10,"0",10,"16058820",10,"14906069",10,"0",10,"14906069",10,"1152751"
"100663",10,"441180076",10,"1679852612",10,"795941532",10,"915383508",10,"1799294588",10,"2240474664",10,"12916939",10,"189657532",10,"202574471",10,"619161346",10,"16927421",10,"636088767",10,"838663238",10,"468278337",10,"151733994",10,"135407562",10,"646391533",10,"1401811426",10,"42741337",10,"3542238",10,"368039",10,"45915536",10,"42321046",10,"7538427",10,"0",10,"49859473",10,"920437103",10,"150189338",10,"4428349",10,"1066198092",10,"446882140",10,"48620031",10,"32510235",10,"462991936",10,"51261054",10,"3626521",10,"0",10,"54887575",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"754584984",10,"73320347",10,"31963799",10,"795941532",10,"51088252",10,"249673794",10,"3717969",10,"45565082",10,"16124513",10,"660370734",10,"0",10,"84575581",10,"1111115925",10,"0",10,"213310617",10,"0",10,"11513037",10,"0",10,"0",10,"21669842",10,"-9980468",10,"2929745",10,"239442773",10,"13698109",10,"5764866",10,"5973030",10,"1315273",10,"26751278",10,"1377309976",10,"202521693",10,"141477779",10,"29150470",10,"0",10,"31893444",10,"184106519",10,"103748471",10,"21827155",10,"0",10,"58530893",10,"52304322",10,"26867763",10,"6234753",10,"0",10,"19201806",10,"55785315",10,"35807301",10,"278921",10,"0",10,"19699093",10,"14530143",10,"7899255",10,"1759426",10,"0",10,"4871462",10,"51099737",10,"33388168",10,"8561697",10,"0",10,"9149872",10,"37779483",10,"14666266",10,"3586067",10,"0",10,"19527150",10,"73320347",10,"73320347",10,"13479048",10,"1007",10,"10",13,"0",10,"13478031",10,"22959541",10,"7233330",10,"1697319",10,"0",10,"14028892",10,"618702741",10,"228543369",10,"48855186",10,"0",10,"341304186",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1326588889",10,"599632709",10,"121951004",10,"73320347",10,"531684829",10,"8500239",10,"8500239",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8500239",10,"0",10,"0",10,"0",10,"8500239",10,"1335089128",10,"599632709",10,"121951004",10,"73320347",10,"540185068",10,"1377309976",10,"1335089128",10,"42220848",10,"1359590578",10,"0",10,"1401811426",10,"7893620",10,"966792",10,"204735",10,"0",10,"16063297",10,"4361510",10,"29489954",10,"15396922",10,"613984",10,"16010906",10,"13479048"
"100706",10,"36768566",10,"219277606",10,"103642061",10,"30307829",10,"145943374",10,"182711940",10,"1325954",10,"18055445",10,"19381399",10,"48624203",10,"0",10,"48624203",10,"68005602",10,"68814746",10,"5037145",10,"1765500",10,"39088947",10,"114706338",10,"6565584",10,"149552",10,"145409",10,"6569727",10,"0",10,"0",10,"0",10,"0",10,"126511874",10,"19423643",10,"0",10,"145935517",10,"44283270",10,"5341650",10,"2697049",10,"46927871",10,"18198794",10,"900657",10,"0",10,"19099451",10,"745040",10,"0",10,"0",10,"745040",10,"0",10,"0",10,"0",10,"0",10,"96264395",10,"8520650",10,"1142984",10,"103642061",10,"19550720",10,"40390471",10,"749705",10,"3676809",10,"3077019",10,"0",10,"0",10,"2521637",10,"69966361",10,"0",10,"36588114",10,"0",10,"0",10,"0",10,"0",10,"2268584",10,"291227",10,"0",10,"39147925",10,"907498",10,"11288369",10,"0",10,"0",10,"12195867",10,"121310153",10,"31218288",10,"20861418",10,"3707554",10,"0",10,"6649316",10,"35142193",10,"21241122",10,"3637854",10,"0",10,"10263217",10,"1441379",10,"778776",10,"139625",10,"0",10,"522978",10,"4030532",10,"2694227",10,"513540",10,"0",10,"822765",10,"6221870",10,"2563510",10,"502969",10,"0",10,"3155391",10,"8825261",10,"6016793",10,"1477901",10,"0",10,"1330567",10,"6441468",10,"2120025",10,"504841",10,"0",10,"3816602",10,"8520650",10,"8520650",10,"730533",10,"0",10,"0",10,"0",10,"730533",10,"2235883",10,"343569",10,"64890",10,"0",10,"1827424",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"104808057",10,"56619440",10,"10549174",10,"8520650",10,"29118793",10,"2312987",10,"2312987",10,"448863",10,"0",10,"0",10,"0",10,"448863",10,"2761850",10,"0",10,"0",10,"0",10,"2761850",10,"107569907",10,"56619440",10,"10549174",10,"8520650",10,"31880643",10,"121310153",10,"107569907",10,"13740246",10,"100966092",10,"0",10,"114706338",10,"2919325",10,"169872",10,"49450",10,"0",10,"970031",10,"2503855",10,"6612533",10,"5618793",10,"263207",10,"5882000",10,"730533"
"100724",10,"31218195",10,"75646160",13,"0",10,"3532004",10,"79178164",10,"110396359",10,"14480832",10,"0",10,"14480832",10,"34548464",10,"96561",10,"34645025",10,"49125857",10,"42083249",10,"9623291",10,"200000",10,"9363962",10,"61270502",10,"11993252",10,"494544",10,"0",10,"12487796",13,"0",10,"6542612",10,"0",10,"6542612",10,"73963442",10,"12461426",10,"0",10,"86424868",10,"16439031",10,"1935346",10,"3077258",10,"15297119",10,"7814329",10,"192039",10,"0",10,"8006368",13,"0",13,"0",13,"0",13,"0",10,"16224110",13,"0",10,"16224110",10,"0",10,"49475011",10,"3637592",10,"0",10,"53112603",10,"16982898",10,"22754370",13,"0",13,"0",10,"7578797",13,"0",13,"0",10,"5581242",10,"52897307",13,"0",10,"29242002",13,"0",13,"0",13,"0",13,"0",13,"0",10,"53672",10,"0",10,"29295674",10,"689280",13,"0",13,"0",10,"20000",10,"709280",10,"82902261",10,"21184047",10,"15651690",10,"3298884",13,"0",10,"2233473",10,"2420994",10,"108087",10,"22244",13,"0",10,"2290663",10,"3419532",10,"267469",10,"50182",13,"0",10,"3101881",10,"5159024",10,"2150172",10,"425711",13,"0",10,"2583141",10,"7311465",10,"3555951",10,"733004",13,"0",10,"3022510",10,"11534037",10,"7588140",10,"1111775",13,"0",10,"2834122",10,"5770752",10,"3080975",10,"775586",13,"0",10,"1914191",10,"3637590",10,"3637590",10,"0",13,"0",13,"0",13,"0",10,"0",10,"7689448",10,"2533954",10,"517532",13,"0",10,"4637962",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"11854935",10,"0",10,"0",10,"0",10,"11854935",10,"79981824",10,"34936438",10,"6934918",10,"3637590",10,"34472878",10,"1733320",10,"1733320",10,"67525",10,"0",10,"0",10,"0",10,"67525",10,"1800845",10,"0",10,"0",10,"0",10,"1800845",10,"81782669",10,"34936438",10,"6934918",10,"3637590",10,"36273723",10,"82902261",10,"81782669",10,"1119592",10,"60150910",10,"0",10,"61270502",10,"9870432",10,"1000822",10,"1077469",10,"1600",13,"0",10,"3179930",10,"15130253",10,"8321639",10,"6808614",10,"15130253",10,"0"
"100733",10,"3495437",10,"3047259",10,"1859269",10,"4711198",10,"5899188",10,"9394625",10,"0",10,"1563994",10,"1563994",10,"0",10,"0",10,"0",10,"1563994",10,"1187990",10,"0",10,"0",10,"6642641",10,"7830631",10,"106750",10,"0",10,"0",10,"106750",10,"56543",10,"0",10,"0",10,"56543",10,"1662734",10,"0",10,"0",10,"1662734",10,"1205385",10,"26575",10,"10728",10,"1221232",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1660564",10,"209433",10,"10728",10,"1859269",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8108283",10,"8108283",10,"0",10,"215463",10,"0",10,"0",10,"0",10,"0",10,"0",10,"190994",10,"352805",10,"759262",10,"123904",10,"0",10,"0",10,"0",10,"123904",10,"8991449",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7785266",10,"4869236",10,"1179356",10,"209433",10,"1527241",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7785266",10,"4869236",10,"1179356",10,"209433",10,"1527241",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7785266",10,"4869236",10,"1179356",10,"209433",10,"1527241",10,"8991449",10,"7785266",10,"1206183",10,"6624448",10,"0",10,"7830631",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0"
"100751",10,"214383567",10,"707755555",10,"315027549",10,"389862971",10,"782590977",10,"996974544",10,"8458901",10,"107278139",10,"115737040",10,"111273552",10,"16122513",10,"127396065",10,"243133105",10,"299312983",10,"133049360",10,"184481797",10,"136997299",10,"753841439",10,"24238567",10,"707687",10,"0",10,"24946254",10,"18971011",10,"5388518",10,"0",10,"24359529",10,"395445969",10,"35480734",10,"0",10,"430926703",10,"138024266",10,"11691639",10,"1348412",10,"148367493",10,"74436588",10,"5718988",10,"1000000",10,"79155576",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"290631220",10,"25622746",10,"1226417",10,"315027549",10,"74159240",10,"55601202",10,"7756407",10,"3704699",10,"64484816",13,"0",13,"0",10,"20168488",10,"225874852",13,"0",10,"120776855",13,"0",13,"0",10,"623086",10,"1647406",10,"37522942",10,"-20820659",10,"180418",10,"139930048",10,"11672306",10,"15872410",10,"6572770",10,"0",10,"34117486",10,"399922386",10,"106723309",10,"78633511",10,"16804640",13,"0",10,"11285158",10,"27484174",10,"13300660",10,"1896254",13,"0",10,"12287260",10,"38430650",10,"18574224",10,"3370837",13,"0",10,"16485589",10,"37876482",10,"20570588",10,"4429978",13,"0",10,"12875916",10,"10355831",10,"6854066",10,"1127339",13,"0",10,"2374426",10,"22490660",10,"16769676",10,"4803827",13,"0",10,"917157",10,"22746352",10,"10971808",10,"2844455",13,"0",10,"8930089",10,"25622746",10,"25622746",10,"19056931",13,"0",13,"0",13,"0",10,"19056931",10,"55192833",10,"21336272",10,"4766094",13,"0",10,"29090467",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"365979968",10,"187010805",10,"40043424",10,"25622746",10,"113302993",10,"6087886",10,"6087886",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6087886",10,"0",10,"0",10,"0",10,"6087886",10,"372067854",10,"187010805",10,"40043424",10,"25622746",10,"119390879",10,"399922386",10,"372067854",10,"27854532",10,"725986907",10,"0",10,"753841439",10,"9863993",10,"2667981",10,"168205",10,"8167",10,"5553282",10,"20206678",10,"38468306",10,"19411375",10,"0",10,"19411375",10,"19056931"
"100760",10,"4407899",10,"16002347",10,"6230659",10,"519775",10,"10291463",10,"14699362",10,"130915",10,"1129230",10,"1260145",10,"3180538",10,"329048",10,"3509586",10,"4769731",10,"7014076",10,"1769924",10,"151160",10,"994471",10,"9929631",10,"1201263",13,"0",10,"0",10,"1201263",10,"1014932",10,"93166",10,"0",10,"1108098",10,"11688380",13,"0",10,"0",10,"11688380",10,"1584864",10,"160938",10,"298796",10,"1447006",10,"485366",10,"9170",10,"0",10,"494536",13,"0",13,"0",13,"0",13,"0",10,"109112",10,"47178",10,"93226",10,"63064",10,"6073453",10,"290594",10,"133388",10,"6230659",10,"1793901",10,"4167094",10,"105442",13,"0",10,"934141",13,"0",13,"0",10,"79999",10,"7080577",13,"0",10,"6769832",13,"0",13,"0",13,"0",13,"0",10,"43624",10,"70337",10,"0",10,"6883793",10,"166684",13,"0",13,"0",10,"0",10,"166684",10,"14131054",10,"5762200",10,"4144681",10,"831380",10,"0",10,"786139",13,"0",13,"0",13,"0",13,"0",10,"0",10,"134472",10,"75779",10,"19396",10,"0",10,"39297",10,"650114",10,"403028",10,"89467",10,"0",10,"157619",10,"951560",10,"618628",10,"153107",10,"0",10,"179825",10,"1302385",10,"718147",10,"209889",10,"0",10,"374349",10,"829789",10,"289743",10,"81069",10,"0",10,"458977",10,"157206",10,"157206",10,"1869285",13,"0",13,"0",13,"0",10,"1869285",10,"1329576",10,"403807",10,"105614",10,"0",10,"820155",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"12986587",10,"6653813",10,"1489922",10,"157206",10,"4685646",10,"180597",10,"180597",10,"0",10,"0",10,"0",10,"0",10,"0",10,"180597",10,"0",10,"0",10,"0",10,"180597",10,"13167184",10,"6653813",10,"1489922",10,"157206",10,"4866243",10,"14131054",10,"13167184",10,"963870",10,"8965761",10,"0",10,"9929631",10,"1672886",10,"47797",10,"12000",13,"0",10,"136602",10,"1280100",10,"3149385",10,"1280100",10,"0",10,"1280100",10,"1869285"
"100812",10,"5931505",10,"19104252",10,"6152127",10,"510018",10,"13462143",10,"19393648",10,"175000",10,"2057711",10,"2232711",10,"2770000",10,"499469",10,"3269469",10,"5502180",10,"10007125",10,"132000",13,"0",10,"3752343",10,"13891468",10,"429056",10,"73212",10,"0",10,"502268",10,"374728",10,"330458",10,"0",10,"705186",10,"12499741",10,"39656",10,"0",10,"12539397",10,"997823",10,"1085268",10,"264481",10,"1818610",10,"768980",10,"44721",10,"0",10,"813701",13,"0",13,"0",13,"0",13,"0",10,"2007571",10,"717519",10,"0",10,"2725090",10,"5819615",10,"562981",10,"230469",10,"6152127",10,"1398933",10,"8860643",10,"871015",10,"500",10,"542298",13,"0",13,"0",10,"8531",10,"11681920",13,"0",10,"8647618",13,"0",13,"0",13,"0",13,"0",10,"188703",10,"16923",10,"0",10,"8853244",10,"0",10,"0",10,"0",10,"0",10,"0",10,"20535164",10,"7698457",10,"5878239",10,"1236659",10,"0",10,"583559",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1123897",10,"764389",10,"193564",10,"0",10,"165944",10,"1641828",10,"1272778",10,"305537",10,"0",10,"63513",10,"2248076",10,"1065707",10,"302030",10,"0",10,"880339",10,"2222388",10,"906942",10,"278202",10,"0",10,"1037244",10,"562981",10,"562981",10,"4252515",10,"0",10,"0",10,"0",10,"4252515",10,"626246",10,"80741",10,"25395",10,"0",10,"520110",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"20376388",10,"9968796",10,"2341387",10,"562981",10,"7503224",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"20376388",10,"9968796",10,"2341387",10,"562981",10,"7503224",10,"20535164",10,"20376388",10,"158776",10,"13732692",10,"0",10,"13891468",10,"1906203",10,"6749770",10,"49425",10,"0",10,"0",10,"297777",10,"9003175",10,"4750660",10,"0",10,"4750660",10,"4252515"
"100858",10,"135465725",10,"709052463",10,"410122478",10,"477930035",10,"776860020",10,"912325745",10,"9660764",10,"123215710",10,"132876474",10,"194415255",10,"18372706",10,"212787961",10,"345664435",10,"225043361",10,"93585231",10,"12922501",10,"235110217",10,"566661310",10,"29684911",10,"1255266",10,"33618",10,"30906559",10,"46889263",10,"15236736",10,"0",10,"62125999",10,"396292167",10,"15797879",10,"463182",10,"411626864",10,"150283748",10,"22329369",10,"37768465",10,"134844652",10,"81266780",10,"4260733",10,"75315",10,"85452198",13,"0",13,"0",13,"0",13,"0",10,"21466950",10,"16761603",10,"0",10,"38228553",10,"417638611",10,"21666138",10,"29182271",10,"410122478",10,"124104141",10,"72850905",10,"3508073",10,"9267680",10,"53807019",13,"0",13,"0",10,"29561488",10,"293099306",13,"0",10,"182277609",13,"0",13,"0",13,"0",13,"0",10,"18423081",10,"8926452",10,"0",10,"209627142",10,"5019917",10,"14617442",10,"1832026",10,"0",10,"21469385",10,"524195833",10,"140051578",10,"92022417",10,"15474993",13,"0",10,"32554168",10,"78764288",10,"41349527",10,"6611821",13,"0",10,"30802940",10,"62005369",10,"33762613",10,"8986395",13,"0",10,"19256361",10,"29914043",10,"15874413",10,"3059802",13,"0",10,"10979828",10,"12017669",10,"5418919",10,"945459",13,"0",10,"5653291",10,"29952470",10,"23087588",10,"4780315",13,"0",10,"2084567",10,"18646437",10,"11970601",10,"2984100",13,"0",10,"3691736",10,"21666138",10,"21666138",10,"14216913",10,"846847",10,"4518828",13,"0",10,"8851238",10,"59883900",10,"16686456",10,"3061392",13,"0",10,"40136052",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"467118805",10,"241019381",10,"50423105",10,"21666138",10,"154010181",10,"9292247",10,"9292247",10,"5290603",10,"0",10,"0",10,"0",10,"5290603",10,"14582850",10,"0",10,"0",10,"0",10,"14582850",10,"481701655",10,"241019381",10,"50423105",10,"21666138",10,"168593031",10,"524195833",10,"481701655",10,"42494178",10,"524167132",10,"0",10,"566661310",10,"6544987",10,"1427814",10,"15635",13,"0",10,"8824469",10,"18820428",10,"35633333",10,"20368098",10,"1048322",10,"21416420",10,"14216913"
"100919",10,"2606055",10,"11890240",10,"5242694",10,"74610",10,"6722156",10,"9328211",10,"110192",10,"1182929",10,"1293121",10,"1893124",10,"228449",10,"2121573",10,"3414694",10,"4903145",10,"7729",13,"0",10,"1002643",10,"5913517",10,"45000",13,"0",10,"0",10,"45000",10,"1853098",10,"235446",10,"0",10,"2088544",10,"8168313",13,"0",10,"0",10,"8168313",10,"1506878",10,"5490",10,"289295",10,"1223073",10,"379338",10,"30972",10,"0",10,"410310",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4918883",10,"323812",10,"0",10,"5242695",10,"952020",10,"2390628",10,"90400",10,"26752",10,"749267",13,"0",13,"0",10,"653719",10,"4862786",13,"0",10,"5893449",13,"0",13,"0",13,"0",13,"0",13,"0",10,"5071",10,"0",10,"5898520",10,"233637",13,"0",13,"0",10,"0",10,"233637",10,"10994943",10,"4054788",10,"3241977",10,"679917",13,"0",10,"132894",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"760622",10,"425777",10,"97903",13,"0",10,"236942",10,"834212",10,"619017",10,"153499",13,"0",10,"61696",10,"1638545",10,"757597",10,"233357",13,"0",10,"647591",10,"968677",10,"259088",10,"81613",13,"0",10,"627976",10,"323812",10,"323812",10,"951518",13,"0",13,"0",13,"0",10,"951518",10,"661085",10,"90966",10,"33674",13,"0",10,"536445",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"97991",10,"0",10,"0",10,"0",10,"97991",10,"10291250",10,"5394422",10,"1279963",10,"323812",10,"3293053",10,"85185",10,"85185",10,"2115",10,"0",10,"0",10,"0",10,"2115",10,"87300",10,"0",10,"0",10,"0",10,"87300",10,"10378550",10,"5394422",10,"1279963",10,"323812",10,"3380353",10,"10994943",10,"10378550",10,"616393",10,"5297124",10,"0",10,"5913517",10,"1649676",10,"127848",10,"40494",10,"20411",10,"159275",10,"0",10,"1997704",10,"1003903",10,"42283",10,"1046186",10,"951518"
