UNITID,XF1A01,F1A01,XF1A02,F1A02,XF1A03,F1A03,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A211,F1A211,XF1A212,F1A212,XF1A213,F1A213,XF1A214,F1A214,XF1A221,F1A221,XF1A222,F1A222,XF1A223,F1A223,XF1A224,F1A224,XF1A231,F1A231,XF1A232,F1A232,XF1A233,F1A233,XF1A234,F1A234,XF1A241,F1A241,XF1A242,F1A242,XF1A243,F1A243,XF1A244,F1A244,XF1A251,F1A251,XF1A252,F1A252,XF1A253,F1A253,XF1A254,F1A254,XF1A261,F1A261,XF1A262,F1A262,XF1A263,F1A263,XF1A264,F1A264,XF1A271,F1A271,XF1A272,F1A272,XF1A273,F1A273,XF1A274,F1A274,XF1A281,F1A281,XF1A282,F1A282,XF1A283,F1A283,XF1A284,F1A284,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B05,F1B05,XF1B06,F1B06,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C014,F1C014,XF1C015,F1C015,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C024,F1C024,XF1C025,F1C025,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C034,F1C034,XF1C035,F1C035,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C054,F1C054,XF1C055,F1C055,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C064,F1C064,XF1C065,F1C065,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C074,F1C074,XF1C075,F1C075,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C084,F1C084,XF1C085,F1C085,XF1C091,F1C091,XF1C094,F1C094,XF1C101,F1C101,XF1C102,F1C102,XF1C103,F1C103,XF1C104,F1C104,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C114,F1C114,XF1C115,F1C115,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C124,F1C124,XF1C125,F1C125,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C134,F1C134,XF1C135,F1C135,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C144,F1C144,XF1C145,F1C145,XF1C151,F1C151,XF1C152,F1C152,XF1C153,F1C153,XF1C154,F1C154,XF1C155,F1C155,XF1C161,F1C161,XF1C165,F1C165,XF1C171,F1C171,XF1C172,F1C172,XF1C173,F1C173,XF1C174,F1C174,XF1C175,F1C175,XF1C181,F1C181,XF1C182,F1C182,XF1C183,F1C183,XF1C184,F1C184,XF1C185,F1C185,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C194,F1C194,XF1C195,F1C195,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",41952134,"R",165056035,"R",58399298,"R",0,"R",106656737,"R",148608871,"R",2837128,"R",24885644,"R",27722772,"R",55873240,"R",0,"R",55873240,"R",83596012,"R",48442976,"R",17057452,"Z",0,"R",-487569,"R",65012859,"R",4982207,"Z",0,"R",0,"R",4982207,"R",0,"Z",0,"R",0,"Z",0,"R",138096694,"Z",0,"R",0,"R",138096694,"R",7678671,"R",2124778,"R",273130,"R",9530319,"R",9719887,"R",144937,"R",0,"R",9864824,"R",0,"Z",0,"R",0,"Z",0,"R",2402032,"R",179958,"R",0,"R",2581990,"R",54156313,"R",4242984,"R",0,"R",58399297,"R",27082059,"R",30337711,"R",5673614,"R",2739930,"R",10241059,"Z",0,"Z",0,"R",-711441,"R",75362932,"R",3588237,"R",40036159,"R",0,"R",0,"R",0,"R",0,"R",0,"R",62906,"R",0,"R",43687302,"R",0,"R",0,"R",0,"R",0,"R",0,"R",119050234,"R",25467610,"R",19924012,"R",4616977,"Z",0,"R",926621,"R",15256037,"R",8127634,"R",1374316,"Z",0,"R",5754087,"R",12309176,"R",7333690,"R",1472148,"Z",0,"R",3503338,"R",6941290,"R",3855835,"R",814911,"Z",0,"R",2270544,"R",8990947,"R",4803295,"R",1052904,"Z",0,"R",3134748,"R",19360489,"R",7862245,"R",3289952,"Z",0,"R",8208292,"R",6644557,"R",2690199,"R",652342,"Z",0,"R",3302016,"R",4242984,"R",4242984,"R",11988150,"A",,"A",,"A",,"R",11988150,"R",9061481,"R",2752661,"R",654125,"Z",0,"R",5654695,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",120262721,"R",57349571,"R",13927675,"R",4242984,"R",44742491,"R",3039349,"R",3039349,"R",557613,"R",0,"R",0,"R",0,"R",557613,"R",3596962,"R",0,"R",0,"R",0,"R",3596962,"R",123859683,"R",57349571,"R",13927675,"R",4242984,"R",48339453,"R",119050234,"R",123859683,"R",-4809449,"R",69822308,"R",0,"R",65012859,"R",9197469,"R",1079442,"Z",0,"Z",0,"Z",0,"R",9098458,"R",19375369,"R",7387219,"R",0,"R",7387219,"R",11988150,2 ,"A",,"A",
100663,"R",458088525,"R",2327965565,"R",1063703490,"R",1189807465,"R",2454069540,"R",2912158065,"R",22207425,"R",247682255,"R",269889680,"R",752741533,"R",16558056,"R",769299589,"R",1039189269,"R",614914698,"R",171837946,"R",231036993,"R",855179159,"R",1872968796,"R",59559985,"R",6738684,"R",0,"R",66298669,"R",80365770,"R",3209933,"R",0,"R",83575703,"R",1339747825,"R",147332039,"R",637206,"R",1486442658,"R",589954147,"R",58782036,"R",67330880,"R",581405303,"R",66286003,"R",4996094,"R",0,"R",71282097,"R",0,"R",0,"R",0,"R",0,"R",107945822,"R",18577228,"R",87561915,"R",38961135,"R",1009885072,"R",110161349,"R",56342931,"R",1063703490,"R",74407657,"R",345245469,"R",3630932,"R",47372128,"R",20743394,"R",776047904,"R",48988217,"R",37677602,"R",1354113303,"R",0,"R",260174828,"R",0,"R",7923090,"R",118414,"R",363799,"R",37542725,"R",83050211,"R",3478240,"R",392651307,"R",286940,"R",33573934,"R",14715755,"R",53881489,"R",102458118,"R",1849222728,"R",226529559,"R",160685997,"R",35902194,"Z",0,"R",29941368,"R",266079350,"R",134271338,"R",28672260,"Z",0,"R",103135752,"R",70836765,"R",38020864,"R",8570004,"Z",0,"R",24245897,"R",89899865,"R",53411914,"R",12422647,"Z",0,"R",24065304,"R",19177449,"R",10543534,"R",2387689,"Z",0,"R",6246226,"R",77344185,"R",42235095,"R",15362667,"Z",0,"R",19746423,"R",46600285,"R",18598809,"R",4741032,"Z",0,"R",23260444,"R",110161349,"R",110161349,"R",20505063,"A",,"A",,"A",,"R",20505063,"R",29300799,"R",9859756,"R",2534989,"Z",0,"R",16906054,"R",716153464,"R",299177543,"R",77271876,"Z",0,"R",339704045,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",109009,"R",80679,"R",12057,"R",0,"R",16273,"R",1672697142,"R",766885529,"R",187877415,"R",110161349,"R",607772849,"R",23053333,"R",23053333,"R",11427321,"R",0,"R",0,"R",0,"R",11427321,"R",34480654,"R",0,"R",0,"R",0,"R",34480654,"R",1707177796,"R",766885529,"R",187877415,"R",110161349,"R",642253503,"R",1849222728,"R",1707177796,"R",142044932,"R",1730923864,"R",0,"R",1872968796,"R",8896712,"R",10796840,"R",53951,"R",597683,"R",6850705,"R",16189518,"R",43385409,"R",22348700,"R",531646,"R",22880346,"R",20505063,1 ,"R",304338640,"R",337246637
100706,"R",71849951,"R",295814723,"R",134656307,"R",59451686,"R",220610102,"R",292460053,"R",1995000,"R",37856725,"R",39851725,"R",56671000,"R",0,"R",56671000,"R",96522725,"R",105519987,"R",5761158,"R",1864511,"R",82791672,"R",195937328,"R",7794100,"R",929346,"R",0,"R",8723446,"R",0,"R",0,"R",0,"R",0,"R",172662637,"R",7670714,"R",0,"R",180333351,"R",56081795,"R",2336884,"R",763568,"R",57655111,"R",22293688,"R",1290784,"R",0,"R",23584472,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25518343,"R",0,"R",25518343,"R",125617417,"R",9652788,"R",613898,"R",134656307,"R",27626227,"R",50801409,"R",3668782,"R",4983396,"R",4965498,"R",0,"R",0,"R",1490755,"R",93536067,"R",0,"R",43292282,"R",0,"R",0,"R",0,"R",0,"R",3115836,"R",4933857,"R",20419505,"R",71761480,"R",0,"R",31698914,"R",0,"R",0,"R",31698914,"R",196996461,"R",39527055,"R",27432336,"R",7851756,"R",0,"R",4242963,"R",48592689,"R",29612344,"R",7575511,"R",0,"R",11404834,"R",3869161,"R",1416186,"R",329411,"R",0,"R",2123564,"R",5691060,"R",3418685,"R",935490,"R",0,"R",1336885,"R",9362320,"R",4017128,"R",1104794,"R",0,"R",4240398,"R",11815202,"R",7193510,"R",1944954,"R",0,"R",2676738,"R",9116318,"R",2890969,"R",982638,"R",0,"R",5242711,"R",9652788,"R",9652788,"R",641399,"A",,"A",,"A",,"R",641399,"R",2557820,"R",632875,"R",130838,"R",0,"R",1794107,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",140825812,"R",76614033,"R",20855392,"R",9652788,"R",33703599,"R",2695679,"R",2695679,"R",149670,"R",0,"R",0,"R",0,"R",149670,"R",2845349,"R",0,"R",0,"R",0,"R",2845349,"R",143671161,"R",76614033,"R",20855392,"R",9652788,"R",36548948,"R",196996461,"R",143671161,"R",53325300,"R",142612028,"R",0,"R",195937328,"R",3852144,"R",233192,"R",19356,"R",0,"R",1262676,"R",3720337,"R",9087705,"R",8161802,"R",284504,"R",8446306,"R",641399,1 ,"R",27191692,"R",24550732
100724,"R",114732191,"R",153937281,"R",66923368,"R",5563573,"R",92577486,"R",207309677,"R",1835000,"R",17340663,"R",19175663,"R",99715780,"R",1799745,"R",101515525,"R",120691188,"R",55796441,"R",16811060,"Z",0,"R",14010988,"R",86618489,"R",13249427,"R",523653,"R",0,"R",13773080,"R",6542612,"R",666022,"R",0,"R",7208634,"R",86589868,"R",616567,"R",0,"R",87206435,"R",20863122,"R",1317437,"R",1148655,"R",21031904,"R",8763721,"R",243573,"R",0,"R",9007294,"R",0,"Z",0,"R",0,"Z",0,"R",1365419,"R",14344515,"R",0,"R",15709934,"R",64509032,"R",3512766,"R",1098430,"R",66923368,"R",23836015,"R",20736202,"R",14928955,"R",1494136,"R",9126472,"Z",0,"Z",0,"R",1896131,"R",72017911,"Z",0,"R",34318844,"Z",0,"Z",0,"Z",0,"Z",0,"R",521483,"R",2693371,"R",0,"R",37533698,"R",0,"R",0,"R",0,"R",0,"R",0,"R",109551609,"R",25962545,"R",18748784,"R",4014092,"Z",0,"R",3199669,"R",1253134,"R",566999,"R",134113,"Z",0,"R",552022,"R",5217202,"R",1142722,"R",250200,"Z",0,"R",3824280,"R",7439281,"R",3769158,"R",868603,"Z",0,"R",2801520,"R",8793363,"R",4645775,"R",1667921,"Z",0,"R",2479667,"R",16985150,"R",5737338,"R",2589362,"Z",0,"R",8658450,"R",8020540,"R",4057833,"R",1129857,"Z",0,"R",2832850,"R",3503766,"R",3503766,"R",12634373,"A",,"A",,"A",,"R",12634373,"R",7049137,"R",2185068,"R",591257,"Z",0,"R",4272812,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",96858491,"R",40853677,"R",11245405,"R",3503766,"R",41255643,"R",2769973,"R",2769973,"R",348281,"R",0,"R",0,"R",0,"R",348281,"R",3118254,"R",0,"R",0,"R",0,"R",3118254,"R",99976745,"R",40853677,"R",11245405,"R",3503766,"R",44373897,"R",109551609,"R",99976745,"R",9574864,"R",76650296,"R",393329,"R",86618489,"R",10288979,"R",534043,"R",358025,"R",0,"R",0,"R",5448465,"R",16629512,"R",2197326,"R",1797813,"R",3995139,"R",12634373,1 ,"R",39552627,"R",46135768
100733,"R",4714274,"R",2891970,"R",1749588,"R",5388859,"R",6531241,"R",11245515,"R",0,"R",2114076,"R",2114076,"R",0,"R",0,"Z",0,"R",2114076,"R",1142382,"Z",0,"Z",0,"R",7989057,"R",9131439,"R",106750,"R",0,"R",0,"R",106750,"R",56543,"R",0,"R",0,"R",56543,"R",1906216,"R",0,"R",0,"R",1906216,"R",1359228,"R",29865,"R",566632,"R",822461,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2076975,"R",190661,"R",518048,"R",1749588,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",10566461,"R",10566461,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",295876,"R",-16160,"R",279716,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",10846177,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",10450014,"R",6285778,"R",1891887,"R",190661,"R",2081688,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10450014,"R",6285778,"R",1891887,"R",190661,"R",2081688,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10450014,"R",6285778,"R",1891887,"R",190661,"R",2081688,"R",10846177,"R",10450014,"R",396163,"R",8735275,"R",1,"R",9131439,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"B",,2 ,"A",,"A",
100751,"R",201437203,"R",1083525132,"R",351000027,"R",776662295,"R",1509187400,"R",1710624603,"R",7642003,"R",156300465,"R",163942468,"R",374085092,"R",14231000,"R",388316092,"R",552258560,"R",408136653,"R",276941218,"R",228047012,"R",245241160,"R",1158366043,"R",22832693,"R",0,"R",0,"R",22832693,"R",23719270,"R",202192,"R",0,"R",23921462,"R",599479843,"R",117225667,"R",0,"R",716705510,"R",154905470,"R",10693707,"R",50757300,"R",114841877,"R",89618378,"R",3292239,"R",0,"R",92910617,"R",0,"R",0,"R",0,"R",0,"R",75958788,"R",36354185,"R",0,"R",112312973,"R",362828783,"R",32681032,"R",44509788,"R",351000027,"R",135420343,"R",50474698,"R",12970100,"R",1647409,"R",104203777,"R",0,"R",0,"R",21436568,"R",326152895,"R",0,"R",145930652,"R",0,"R",0,"R",253500,"R",603633,"R",41465864,"R",56484511,"R",0,"R",244738160,"R",0,"R",16113911,"R",11913805,"R",0,"R",28027716,"R",598918771,"R",142390344,"R",97916752,"R",24239668,"Z",0,"R",20233924,"R",25742863,"R",11642619,"R",1953263,"Z",0,"R",12146981,"R",37883445,"R",19349962,"R",5004286,"Z",0,"R",13529197,"R",43734320,"R",26661145,"R",6369937,"Z",0,"R",10703238,"R",25711341,"R",10564053,"R",9078443,"Z",0,"R",6068845,"R",41740549,"R",22059652,"R",9783219,"Z",0,"R",9897678,"R",38838264,"R",18900510,"R",5386931,"Z",0,"R",14550823,"R",38470361,"R",38470361,"R",10817099,"A",,"A",,"A",,"R",10817099,"R",80934920,"R",28786354,"R",6406895,"Z",0,"R",45741671,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",486263506,"R",235881047,"R",68222642,"R",38470361,"R",143689456,"R",8885356,"R",8885356,"R",1407278,"R",0,"R",0,"R",0,"R",1407278,"R",10292634,"R",0,"R",0,"R",0,"R",10292634,"R",496556140,"R",235881047,"R",68222642,"R",38470361,"R",153982090,"R",598918771,"R",496556140,"R",102362631,"R",1056003412,"R",0,"R",1158366043,"R",9799073,"R",3147069,"R",76003,"R",0,"R",9024217,"R",24487994,"R",46534356,"R",32917319,"R",2799938,"R",35717257,"R",10817099,1 ,"R",409257866,"R",445817333
100760,"R",8332426,"R",29702652,"R",10115010,"R",2067168,"R",21654810,"R",29987236,"R",335000,"R",1971726,"R",2306726,"R",8050000,"R",511755,"R",8561755,"R",10868481,"R",12735013,"R",836215,"R",500,"R",5547027,"R",19118755,"R",1331474,"R",0,"R",0,"R",1331474,"R",1146121,"R",151511,"R",0,"R",1297632,"R",18636298,"R",5010637,"R",0,"R",23646935,"R",3173752,"R",849549,"R",13017,"R",4010284,"R",501462,"R",15800,"R",5610,"R",511652,"R",0,"R",0,"R",0,"R",0,"R",3672557,"R",2555289,"R",5991697,"R",236149,"R",8976869,"R",1156823,"R",18682,"R",10115010,"R",2432547,"R",6056835,"R",384689,"R",26997,"R",1237766,"A",,"A",,"R",3791,"R",10142625,"R",0,"R",8037590,"R",10000,"R",0,"R",0,"R",0,"R",20000,"R",221147,"R",216856,"R",8505593,"R",0,"R",1827246,"R",0,"R",0,"R",1827246,"R",20475464,"R",7942469,"R",5420589,"R",1306776,"R",0,"R",1215104,"R",0,"R",0,"R",0,"R",0,"R",0,"R",147462,"R",0,"R",5038,"R",0,"R",142424,"R",764913,"R",471936,"R",141248,"R",0,"R",151729,"R",1455531,"R",867689,"R",271654,"R",0,"R",316188,"R",1601568,"R",845826,"R",336378,"R",0,"R",419364,"R",1316966,"R",363880,"R",148201,"R",0,"R",804885,"R",1156823,"R",1156823,"R",2093261,"A",,"A",,"A",,"R",2093261,"R",1809924,"R",422499,"R",149075,"R",0,"R",1238350,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18288917,"R",8392419,"R",2358370,"R",1156823,"R",6381305,"R",350791,"R",350791,"R",811461,"R",0,"R",0,"R",0,"R",811461,"R",1162252,"R",0,"R",0,"R",0,"R",1162252,"R",19451169,"R",8392419,"R",2358370,"R",1156823,"R",7543557,"R",20475464,"R",19451169,"R",1024295,"R",18083686,"R",10774,"R",19118755,"R",3265205,"R",134428,"R",6250,"Z",0,"R",68395,"R",1248674,"R",4722952,"R",2629691,"R",0,"R",2629691,"R",2093261,1 ,"R",5048,"R",5056
100812,"R",11389734,"R",20777878,"R",8512466,"R",742584,"R",13007996,"R",24397730,"R",210000,"R",2904431,"R",3114431,"R",1985000,"R",667566,"R",2652566,"R",5766997,"R",10712681,"R",440419,"R",0,"R",7477633,"R",18630733,"R",517268,"R",125000,"R",0,"R",642268,"R",1060677,"R",11000,"R",0,"R",1071677,"R",15530984,"R",573912,"R",0,"R",16104896,"R",2202358,"R",185604,"R",58165,"R",2329797,"R",951185,"R",49787,"R",16005,"R",984967,"R",0,"R",0,"R",0,"R",0,"R",61344,"R",238309,"R",13110,"R",286543,"R",7871006,"R",715630,"R",74170,"R",8512466,"R",4309151,"R",11801516,"R",1181177,"R",1075,"R",151816,"R",0,"R",0,"R",7117,"R",17451852,"R",0,"R",11383760,"R",0,"R",0,"R",0,"R",0,"R",0,"R",353148,"R",55896,"R",11792804,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29244656,"R",10763116,"R",7616392,"R",1938778,"R",0,"R",1207946,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1367144,"R",922894,"R",286094,"R",0,"R",158156,"R",1761707,"R",1273612,"R",396289,"R",0,"R",91806,"R",4260634,"R",1953657,"R",675735,"R",0,"R",1631242,"R",2427581,"R",1056145,"R",399307,"R",0,"R",972129,"R",715630,"R",715630,"R",6873569,"A",,"A",,"A",,"R",6873569,"R",113076,"R",32003,"R",10133,"R",0,"R",70940,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",28282457,"R",12854703,"R",3706336,"R",715630,"R",11005788,"R",127337,"R",127337,"R",458403,"R",0,"R",0,"R",0,"R",458403,"R",585740,"R",0,"R",0,"R",0,"R",585740,"R",28868197,"R",12854703,"R",3706336,"R",715630,"R",11591528,"R",29244656,"R",28868197,"R",376459,"R",18254274,"R",0,"R",18630733,"R",2338235,"R",9384123,"R",28000,"R",0,"R",0,"R",304081,"R",12054439,"R",5180870,"R",0,"R",5180870,"R",6873569,1 ,"R",948248,"R",1019950
100830,"R",8573214,"R",83404270,"R",44856777,"R",20103283,"R",58650776,"R",67223990,"R",245000,"R",13107202,"R",13352202,"R",1455000,"R",1892784,"R",3347784,"R",16699986,"R",35694867,"R",5171344,"R",5576753,"R",4081040,"R",50524004,"R",1085032,"Z",0,"R",0,"R",1085032,"R",1471207,"Z",0,"R",0,"R",1471207,"R",53677101,"R",442517,"R",30000,"R",54089618,"R",4309453,"R",712350,"R",149748,"R",4872055,"R",20525523,"R",893313,"R",402691,"R",21016145,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",42384974,"R",2471803,"R",0,"R",44856777,"R",17186915,"R",6340823,"R",15260220,"R",537257,"R",4759529,"Z",0,"Z",0,"R",3619281,"R",47704025,"Z",0,"R",23140350,"Z",0,"Z",0,"Z",0,"Z",0,"R",738607,"R",1134516,"R",0,"R",25013473,"R",867,"R",43898,"R",38151,"R",0,"R",82916,"R",72800414,"R",21380230,"R",16191053,"R",3414405,"Z",0,"R",1774772,"R",225771,"R",103304,"R",20753,"Z",0,"R",101714,"R",19719635,"R",2794064,"R",602393,"Z",0,"R",16323178,"R",4775608,"R",2701274,"R",630052,"Z",0,"R",1444282,"R",4636594,"R",2873326,"R",616792,"Z",0,"R",1146476,"R",8546608,"R",3738061,"R",1749213,"Z",0,"R",3059334,"R",5006460,"R",1213855,"R",430589,"Z",0,"R",3362016,"R",2471803,"R",2471803,"R",2550273,"A",,"A",,"A",,"R",2550273,"R",4418790,"R",843735,"R",194661,"Z",0,"R",3380394,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",73731772,"R",30458672,"R",7658858,"R",2471803,"R",33142439,"R",46625,"R",46625,"R",0,"R",0,"R",0,"R",0,"R",0,"R",46625,"R",0,"R",0,"R",0,"R",46625,"R",73778397,"R",30458672,"R",7658858,"R",2471803,"R",33189064,"R",72800414,"R",73778397,"R",-977983,"R",51501987,"R",0,"R",50524004,"R",3845208,"R",232747,"R",83000,"R",0,"R",344570,"R",1732396,"R",6237921,"R",3318884,"R",368764,"R",3687648,"R",2550273,1 ,"R",16025220,"R",23888763
100858,"R",156160371,"R",1051204463,"R",472703210,"R",544801876,"R",1123303129,"R",1279463500,"R",12712509,"R",151179080,"R",163891589,"R",261618259,"R",28020799,"R",289639058,"R",453530647,"R",402864367,"R",85407536,"R",17756104,"R",319904846,"R",825932853,"R",41818121,"R",12102590,"R",3318,"R",53917393,"R",81651329,"R",45389667,"R",0,"R",127040996,"R",583066573,"R",54808244,"R",2040700,"R",635834117,"R",146670706,"R",8742618,"R",3545525,"R",151867799,"R",105101173,"R",5539260,"R",290000,"R",110350433,"R",0,"Z",0,"R",0,"Z",0,"R",70726410,"R",83552102,"R",112032195,"R",42246317,"R",446594248,"R",31714554,"R",5605592,"R",472703210,"R",186945588,"R",77418855,"R",3983928,"R",13125973,"R",59733046,"Z",0,"Z",0,"R",33044318,"R",374251708,"Z",0,"R",222600345,"Z",0,"Z",0,"Z",0,"Z",0,"R",21808427,"R",34537155,"R",0,"R",278945927,"R",1150467,"R",7371235,"R",111954,"R",0,"R",8633656,"R",661831291,"R",168938595,"R",119085703,"R",25902911,"Z",0,"R",23949981,"R",80574143,"R",47028737,"R",9428887,"Z",0,"R",24116519,"R",65469323,"R",34456568,"R",12015223,"Z",0,"R",18997532,"R",42037764,"R",23877725,"R",5773540,"Z",0,"R",12386499,"R",11408995,"R",5617386,"R",1315482,"Z",0,"R",4476127,"R",43495495,"R",15112881,"R",7813225,"Z",0,"R",20569389,"R",43815027,"R",15351657,"R",4959185,"Z",0,"R",23504185,"R",31714554,"R",31714554,"R",11602409,"A",,"A",,"A",,"R",11602409,"R",71588925,"R",22388982,"R",5168587,"Z",0,"R",44031356,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",570645230,"R",282919639,"R",72377040,"R",31714554,"R",183633997,"R",9921332,"R",9921332,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9921332,"R",0,"R",0,"R",0,"R",9921332,"R",580566562,"R",282919639,"R",72377040,"R",31714554,"R",193555329,"R",661831291,"R",580566562,"R",81264729,"R",744668124,"R",0,"R",825932853,"R",7154678,"R",1259518,"Z",0,"Z",0,"R",6737622,"R",31380848,"R",46532666,"R",33465222,"R",1465035,"R",34930257,"R",11602409,1 ,"R",354378773,"R",378570463
