UNITID,XF2A01,F2A01,XF2A02,F2A02,XF2A03,F2A03,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A14,F2A14,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2D01,F2D01,XF2D02,F2D02,XF2D03,F2D03,XF2D04,F2D04,XF2D05,F2D05,XF2D06,F2D06,XF2D07,F2D07,XF2D08,F2D08,XF2D09,F2D09,XF2D10,F2D10,XF2D11,F2D11,XF2D12,F2D12,XF2D13,F2D13,XF2D14,F2D14,XF2D15,F2D15,XF2D16,F2D16,XF2E011,F2E011,XF2E012,F2E012,XF2E013,F2E013,XF2E014,F2E014,XF2E015,F2E015,XF2E016,F2E016,XF2E017,F2E017,XF2E021,F2E021,XF2E022,F2E022,XF2E023,F2E023,XF2E024,F2E024,XF2E025,F2E025,XF2E026,F2E026,XF2E027,F2E027,XF2E031,F2E031,XF2E032,F2E032,XF2E033,F2E033,XF2E034,F2E034,XF2E035,F2E035,XF2E036,F2E036,XF2E037,F2E037,XF2E041,F2E041,XF2E042,F2E042,XF2E043,F2E043,XF2E044,F2E044,XF2E045,F2E045,XF2E046,F2E046,XF2E047,F2E047,XF2E051,F2E051,XF2E052,F2E052,XF2E053,F2E053,XF2E054,F2E054,XF2E055,F2E055,XF2E056,F2E056,XF2E057,F2E057,XF2E061,F2E061,XF2E062,F2E062,XF2E063,F2E063,XF2E064,F2E064,XF2E065,F2E065,XF2E066,F2E066,XF2E067,F2E067,XF2E071,F2E071,XF2E072,F2E072,XF2E073,F2E073,XF2E074,F2E074,XF2E075,F2E075,XF2E076,F2E076,XF2E077,F2E077,XF2E081,F2E081,XF2E082,F2E082,XF2E083,F2E083,XF2E084,F2E084,XF2E085,F2E085,XF2E086,F2E086,XF2E087,F2E087,XF2E091,F2E091,XF2E092,F2E092,XF2E093,F2E093,XF2E094,F2E094,XF2E095,F2E095,XF2E096,F2E096,XF2E097,F2E097,XF2E101,F2E101,XF2E102,F2E102,XF2E103,F2E103,XF2E104,F2E104,XF2E105,F2E105,XF2E106,F2E106,XF2E107,F2E107,XF2E111,F2E111,XF2E112,F2E112,XF2E113,F2E113,XF2E114,F2E114,XF2E115,F2E115,XF2E116,F2E116,XF2E117,F2E117,XF2E121,F2E121,XF2E122,F2E122,XF2E123,F2E123,XF2E124,F2E124,XF2E125,F2E125,XF2E126,F2E126,XF2E127,F2E127,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,XF2H01,F2H01,XF2H02,F2H02,F2FHA   
100690,"R",1168797,"R",6375037,"R",1697301,"R",4029150,"R",648586,"R",174805,"R",4677736,"R",610976,"R",1028166,"R",3282752,"Z",0,"R",8563270,"R",8011828,"R",0,"R",551442,"R",4126294,"R",0,"R",4677736,"R",575282,"R",37286,"Z",0,"Z",0,"R",0,"R",826490,"R",1439058,"R",826490,"Z",0,"R",6459774,"Z",0,"Z",0,"Z",0,"R",37286,"Z",0,"Z",0,"R",1614324,"Z",0,"R",101003,"Z",0,"Z",0,"Z",0,"Z",0,"R",350883,"R",8563270,"R",3252794,"R",1880898,"R",70300,"R",162343,"Z",0,"Z",0,"R",1139253,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",168009,"R",124170,"R",4980,"R",11596,"Z",0,"Z",0,"R",27263,"R",705838,"R",524410,"R",41173,"R",42518,"Z",0,"Z",0,"R",97737,"R",3885187,"R",982948,"R",546835,"R",170074,"Z",0,"Z",0,"R",2185330,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-386531,"R",155068,"Z",0,"R",231463,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",8011828,"R",3512426,"R",663288,"R",0,"R",155068,"Z",0,"R",3681046,"R",174805,"R",174805, 1
100937,"R",115349967,"R",263811814,"R",70025628,"R",71407867,"R",122378319,"R",72874401,"R",193786186,"R",18410492,"R",132636168,"R",28776213,"R",0,"R",56632335,"R",54148183,"R",0,"R",2484152,"Z",0,"R",191302034,"R",193786186,"R",445592,"R",309322,"Z",0,"R",208657,"R",8834776,"R",4268240,"R",14066587,"R",13814802,"Z",0,"R",14066587,"Z",0,"Z",0,"Z",0,"R",1625788,"R",18874,"R",208961,"R",14525210,"R",0,"R",16854346,"R",0,"R",8355023,"R",0,"Z",0,"R",977546,"R",56632335,"R",15643289,"R",8351171,"R",1843163,"R",1549302,"R",1882283,"R",943059,"R",1074311,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3623937,"R",1334189,"R",393501,"R",309841,"R",376433,"R",188600,"R",1021373,"R",12047548,"R",4516532,"R",1048570,"R",1042637,"R",1266724,"R",634652,"R",3538433,"R",9726286,"R",4490779,"R",1122461,"R",329367,"R",400156,"R",200485,"R",3183038,"R",10914565,"R",383938,"R",138888,"R",1902900,"R",2311877,"R",1158294,"R",5018668,"R",251785,"A",,"A",,"A",,"A",,"A",,"R",251785,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-5134047,"Z",0,"Z",0,"R",5134047,"R",1940773,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1940773,"R",54148183,"R",19076609,"R",4546583,"R",0,"R",6237473,"R",3125090,"R",21162428,"R",122404527,"R",115349967, 1
101073,"R",4854370,"R",17251266,"R",2494321,"R",8014436,"R",6742509,"R",1455661,"R",14756945,"R",701665,"R",11897528,"R",2153605,"R",0,"R",6895517,"R",7059065,"R",0,"R",-163548,"R",14920493,"R",0,"R",14756945,"R",2102810,"R",494633,"R",286422,"Z",0,"R",3122714,"Z",0,"R",6006579,"R",3122714,"Z",0,"R",1396265,"Z",0,"Z",0,"Z",0,"R",2212620,"Z",0,"Z",0,"R",845923,"Z",0,"R",647602,"Z",0,"R",1363373,"Z",0,"Z",0,"R",429734,"R",6895517,"R",2674121,"R",1523625,"R",225635,"Z",0,"R",59959,"Z",0,"R",864902,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",376240,"R",154675,"R",26993,"Z",0,"Z",0,"Z",0,"R",194572,"R",545932,"R",185063,"R",19030,"Z",0,"R",66471,"Z",0,"R",275368,"R",222351,"R",146375,"R",19592,"Z",0,"Z",0,"Z",0,"R",56384,"R",1573060,"R",446895,"R",67050,"Z",0,"R",42766,"Z",0,"R",1016349,"R",1121218,"R",240026,"R",38747,"Z",0,"R",304257,"Z",0,"R",538188,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",546143,"R",142395,"R",56556,"R",0,"R",0,"Z",0,"R",347192,"R",7059065,"R",2839054,"R",453603,"R",0,"R",473453,"Z",0,"R",3292955,"R",2950030,"R",2950030, 1
101189,"R",17689806,"R",83269122,"R",46494118,"R",22855423,"R",13919581,"R",10315168,"R",36775004,"R",1921633,"R",31077525,"R",15230987,"Z",0,"R",32929940,"R",29420196,"R",0,"R",3509744,"R",33265260,"R",0,"R",36775004,"R",4013184,"R",529296,"R",701817,"Z",0,"R",384609,"R",4110811,"R",9739717,"R",5094441,"R",465355,"R",21318786,"Z",0,"Z",0,"Z",0,"R",1827162,"Z",0,"Z",0,"R",4827380,"Z",0,"R",2440380,"Z",0,"R",1945472,"Z",0,"Z",0,"R",570760,"R",32929940,"R",12680372,"R",7659697,"R",1357982,"R",1301260,"R",725506,"R",315833,"R",1320094,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2830012,"R",863656,"R",183054,"R",275561,"R",153637,"R",66882,"R",1287222,"R",5965706,"R",2219709,"R",476564,"R",520504,"R",290202,"R",126333,"R",2332394,"R",5202765,"R",2210584,"R",469241,"R",183707,"R",102424,"R",44588,"R",2192221,"R",2741341,"R",134726,"R",25204,"R",780756,"R",435304,"R",189500,"R",1175851,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-3061788,"Z",0,"Z",0,"R",3061788,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29420196,"R",13088372,"R",2512045,"R",0,"R",1707073,"R",743136,"R",11369570,"R",16667481,"R",18531941, 1
101435,"R",45485761,"R",80871165,"R",25494467,"R",3941126,"R",51435572,"R",48436831,"R",55376698,"R",4296288,"R",25868013,"R",8736374,"R",0,"R",22195942,"R",16195889,"R",0,"R",6000053,"R",49376645,"R",0,"R",55376698,"R",625088,"R",168981,"R",211718,"R",0,"R",3177618,"R",2005103,"R",6188508,"R",5182721,"R",0,"R",6085533,"R",0,"R",0,"R",0,"R",83759,"R",0,"R",0,"R",6963243,"R",0,"R",6185995,"R",0,"R",2671805,"R",0,"R",0,"R",205607,"R",22195942,"R",5387792,"R",2209753,"R",441951,"R",575678,"R",515703,"R",487737,"R",1156970,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",885162,"R",462626,"R",83273,"R",95946,"R",85951,"R",81289,"R",76077,"R",4365693,"R",1528408,"R",366818,"R",319821,"R",286502,"R",270965,"R",1593179,"R",2728940,"R",1549225,"R",294353,"R",95946,"R",85951,"R",81289,"R",622176,"R",2828302,"R",0,"R",0,"R",511713,"R",458403,"R",433544,"R",1424642,"R",0,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-1599104,"R",0,"R",0,"R",1599104,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16195889,"R",5750012,"R",1186395,"R",0,"R",1432510,"R",1354824,"R",6472148,"R",43110014,"R",48436831, 1
101453,"R",8300017,"R",12669092,"R",2932004,"R",1980234,"R",7756854,"R",3982333,"R",9737088,"R",1175306,"R",2571564,"R",2294529,"R",0,"R",5698786,"R",2696400,"R",0,"R",3002386,"R",6734702,"R",0,"R",9737088,"R",101047,"R",13675,"R",0,"R",0,"R",132455,"R",0,"R",247177,"R",7961,"R",0,"R",544414,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3968978,"R",21380,"R",805470,"R",281621,"R",76923,"R",0,"R",0,"R",0,"R",5698786,"R",482470,"R",405131,"R",0,"R",43684,"R",0,"R",0,"R",33655,"R",4161,"R",0,"R",0,"R",377,"R",0,"R",0,"R",3784,"R",16691,"R",0,"R",0,"R",1511,"R",0,"R",0,"R",15180,"R",91933,"R",55278,"R",7310,"R",8324,"R",0,"R",0,"R",21021,"R",224498,"R",136278,"R",0,"R",20326,"R",0,"R",0,"R",67894,"R",1631860,"R",514296,"R",266709,"R",287292,"R",0,"R",73019,"R",490544,"R",112332,"R",12218,"R",0,"R",9178,"R",0,"R",0,"R",90936,"R",132455,"A",,"A",,"A",,"A",,"A",,"R",132455,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-370692,"R",182112,"R",0,"R",188580,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2696400,"R",1123201,"R",274019,"R",0,"R",182112,"R",73019,"R",1044049,"R",4050241,"R",6306173, 1
101541,"R",16396128,"R",34134056,"R",10214720,"R",4936291,"R",18983045,"R",16850038,"R",23919336,"R",2079551,"R",16991132,"R",4131500,"R",0,"R",8322132,"R",8201356,"R",0,"R",120776,"R",23798560,"R",0,"R",23919336,"R",306072,"R",90183,"R",125751,"R",0,"R",654328,"R",437066,"R",1613400,"R",1091394,"R",0,"R",1400173,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2021676,"R",1065252,"R",2113344,"Z",0,"R",1359452,"Z",0,"Z",0,"R",362235,"R",8322132,"R",3193726,"R",1174372,"R",346043,"R",779426,"R",487537,"R",298342,"R",108006,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",509448,"R",320345,"R",115348,"Z",0,"Z",0,"Z",0,"R",73755,"R",1394536,"R",690990,"R",115348,"Z",0,"Z",0,"R",83535,"R",504663,"R",1907082,"R",610683,"R",115348,"R",258137,"R",121884,"R",214805,"R",586225,"R",1196564,"R",293444,"R",0,"R",292892,"R",203140,"Z",0,"R",407088,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",365561,"R",0,"R",-1330455,"Z",0,"Z",0,"R",964894,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8201356,"R",3455395,"R",692087,"R",0,"R",812561,"R",596682,"R",2644631,"R",15438142,"R",16850038, 1
101675,"R",14584005,"R",57827952,"R",19707289,"R",29958190,"R",8162473,"R",2182071,"R",38120663,"R",1726572,"R",50609563,"R",13175437,"Z",0,"R",24787381,"R",23291240,"R",0,"R",1496141,"R",36624522,"R",0,"R",38120663,"R",4653922,"R",3583048,"R",353001,"Z",0,"R",185250,"Z",0,"R",8775221,"R",2805557,"Z",0,"R",9562285,"Z",0,"Z",0,"Z",0,"R",3583048,"R",353001,"Z",0,"R",4439693,"Z",0,"R",1502644,"Z",0,"R",4683561,"Z",0,"Z",0,"R",663149,"R",24787381,"R",8698154,"R",4614117,"R",634633,"R",1721935,"R",1147957,"Z",0,"R",579512,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",502812,"R",148681,"R",18896,"R",104960,"R",69973,"Z",0,"R",160302,"R",1056352,"R",450007,"R",67314,"R",194324,"R",129549,"Z",0,"R",215158,"R",1654467,"R",708209,"R",98168,"R",343123,"R",228748,"Z",0,"R",276219,"R",6613312,"R",741927,"R",116048,"R",836308,"R",557539,"Z",0,"R",4361490,"R",4766142,"R",584613,"R",88123,"R",1014614,"R",676409,"Z",0,"R",2402383,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-4215264,"Z",0,"Z",0,"R",4215264,"R",1,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",1,"R",23291240,"R",7247554,"R",1023182,"R",0,"R",2810175,"Z",0,"R",12210329,"R",13107245,"R",14584005, 1
101693,"R",10917348,"R",42823310,"R",16315128,"R",9474894,"R",17033288,"R",12989388,"R",26508182,"R",812038,"R",30394978,"R",10072417,"R",0,"R",25035022,"R",20666270,"R",0,"R",4368752,"R",23141705,"R",-1002275,"R",26508182,"R",1672294,"R",246948,"R",489912,"R",0,"R",1436641,"R",4661851,"R",8507646,"R",6231574,"R",0,"R",11361409,"R",0,"R",0,"R",0,"R",185373,"R",0,"R",0,"R",8372338,"R",0,"R",1473301,"R",0,"R",3454147,"R",0,"R",0,"R",188454,"R",25035022,"R",8645079,"R",5074153,"R",1707819,"R",753477,"R",355982,"R",245285,"R",508363,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",966004,"R",383050,"R",124860,"R",154304,"R",72901,"R",50232,"R",180657,"R",1579985,"R",831141,"R",266828,"R",66784,"R",31552,"R",21741,"R",361939,"R",4076423,"R",1929592,"R",642908,"R",296758,"R",140205,"R",96606,"R",970354,"R",5398779,"R",808092,"R",259022,"R",1421588,"R",671635,"R",462779,"R",1775663,"R",0,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-2692911,"R",0,"R",0,"R",2692911,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20666270,"R",9026028,"R",3001437,"R",0,"R",1272275,"R",876643,"R",6489887,"R",10938086,"R",14024108, 1
101912,"R",11686746,"R",55326868,"R",15431901,"R",28079999,"R",11814968,"Z",0,"R",39894967,"R",2788784,"R",36793466,"R",17771491,"R",0,"R",39719157,"R",34851638,"R",0,"R",4867519,"R",35027448,"R",0,"R",39894967,"R",2202385,"R",464639,"R",28602,"R",0,"R",4532607,"R",64113,"R",7292346,"R",4594178,"R",2698168,"R",16035847,"Z",0,"Z",0,"Z",0,"R",2541015,"Z",0,"Z",0,"R",8954242,"R",6066640,"R",1056887,"R",191095,"R",4849617,"Z",0,"R",23814,"R",0,"R",39719157,"R",10645610,"R",4254902,"R",1808721,"R",1017551,"R",636685,"Z",0,"R",2927751,"R",774779,"R",309668,"R",131637,"R",74057,"R",46337,"Z",0,"R",213080,"R",163578,"R",65380,"R",27792,"R",15635,"R",9783,"Z",0,"R",44988,"R",3952065,"R",1579585,"R",671468,"R",377755,"R",236363,"Z",0,"R",1086894,"R",3720954,"R",1388164,"R",590096,"R",331976,"R",207719,"R",247819,"R",955180,"R",8767227,"R",3453111,"R",1467887,"R",825804,"R",516708,"R",127668,"R",2376049,"R",6723935,"R",2687463,"R",1142417,"R",642702,"R",402140,"Z",0,"R",1849213,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",103490,"R",41364,"R",17584,"R",9892,"R",6189,"Z",0,"R",28461,"R",0,"Z",0,"Z",0,"R",-3295372,"Z",0,"Z",0,"R",3295372,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34851638,"R",13779637,"R",5857602,"R",0,"R",2061924,"R",375487,"R",12776988,"R",5736233,"R",10629059, 1
