UNITID,XF2A01,F2A01,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A14,F2A14,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2A19,F2A19,XF2A20,F2A20,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D172,F2D172,XF2D173,F2D173,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E013,F2E013,XF2E014,F2E014,XF2E015,F2E015,XF2E016,F2E016,XF2E017,F2E017,XF2E021,F2E021,XF2E022,F2E022,XF2E023,F2E023,XF2E024,F2E024,XF2E025,F2E025,XF2E026,F2E026,XF2E027,F2E027,XF2E031,F2E031,XF2E032,F2E032,XF2E033,F2E033,XF2E034,F2E034,XF2E035,F2E035,XF2E036,F2E036,XF2E037,F2E037,XF2E041,F2E041,XF2E042,F2E042,XF2E043,F2E043,XF2E044,F2E044,XF2E045,F2E045,XF2E046,F2E046,XF2E047,F2E047,XF2E051,F2E051,XF2E052,F2E052,XF2E053,F2E053,XF2E054,F2E054,XF2E055,F2E055,XF2E056,F2E056,XF2E057,F2E057,XF2E061,F2E061,XF2E062,F2E062,XF2E063,F2E063,XF2E064,F2E064,XF2E065,F2E065,XF2E066,F2E066,XF2E067,F2E067,XF2E071,F2E071,XF2E072,F2E072,XF2E073,F2E073,XF2E074,F2E074,XF2E075,F2E075,XF2E076,F2E076,XF2E077,F2E077,XF2E081,F2E081,XF2E082,F2E082,XF2E083,F2E083,XF2E084,F2E084,XF2E085,F2E085,XF2E086,F2E086,XF2E087,F2E087,XF2E091,F2E091,XF2E092,F2E092,XF2E093,F2E093,XF2E094,F2E094,XF2E095,F2E095,XF2E096,F2E096,XF2E097,F2E097,XF2E101,F2E101,XF2E102,F2E102,XF2E103,F2E103,XF2E104,F2E104,XF2E105,F2E105,XF2E106,F2E106,XF2E107,F2E107,XF2E111,F2E111,XF2E112,F2E112,XF2E113,F2E113,XF2E114,F2E114,XF2E115,F2E115,XF2E116,F2E116,XF2E117,F2E117,XF2E121,F2E121,XF2E122,F2E122,XF2E123,F2E123,XF2E124,F2E124,XF2E125,F2E125,XF2E126,F2E126,XF2E127,F2E127,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,XF2H01,F2H01,XF2H02,F2H02,F2FHA   
100690,"R",1730993,"R",6885075,"R",1681051,"A",,"R",4564869,"R",639155,"Z",0,"A",,"R",5204024,"R",1219182,"R",1403378,"R",3295847,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",8902083,"R",8375795,"R",0,"R",526288,"R",4677736,"R",0,"R",5204024,"R",583695,"R",55279,"Z",0,"Z",0,"R",0,"R",330179,"R",969153,"R",330179,"Z",0,"R",6632979,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",55279,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",1039573,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",88547,"A",,"A",,"A",,"Z",0,"A",,"Z",0,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",1085705,"A",,"A",,"A",,"R",8902083,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3237030,"R",1917185,"R",87258,"R",204409,"Z",0,"Z",0,"R",1028178,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",165430,"R",123428,"R",5633,"R",14601,"Z",0,"Z",0,"R",21768,"R",749266,"R",567027,"R",51328,"R",53536,"Z",0,"Z",0,"R",77375,"R",4224069,"R",967377,"R",523345,"R",214142,"R",162712,"Z",0,"R",2356493,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-486688,"Z",0,"Z",0,"R",486688,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",8375795,"R",3575017,"R",667564,"R",0,"R",162712,"Z",0,"R",3970502,"R",174805,"R",174805, 1
100937,"R",101016991,"R",244773436,"R",69995207,"A",,"R",62243272,"R",112534957,"R",76803446,"A",,"R",174778229,"R",20396058,"R",144040745,"R",23523171,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",37368059,"R",56909025,"R",533009,"R",-19007957,"R",193786186,"R",0,"R",174778229,"R",649272,"R",268508,"R",0,"R",79251,"R",10936117,"R",4973900,"R",16907048,"R",15769891,"R",0,"R",16907048,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",1536830,"A",,"A",,"A",,"R",2784,"A",,"A",,"A",,"R",81923,"A",,"A",,"A",,"R",8625743,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",-303287,"A",,"A",,"A",,"R",0,"A",,"R",9357158,"A",,"R",0,"A",,"R",0,"A",,"A",,"A",,"R",1159860,"A",,"A",,"A",,"R",37368059,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15925543,"R",8118350,"R",2448095,"R",1358903,"R",2070294,"R",1055407,"R",874494,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3693994,"R",1252520,"R",463571,"R",271764,"R",414033,"R",211068,"R",1081038,"R",11736432,"R",3672244,"R",1194748,"R",964495,"R",1469412,"R",749086,"R",3686447,"R",9898966,"R",3813902,"R",1185447,"R",288890,"R",440125,"R",224370,"R",3946232,"R",13338804,"R",441288,"R",163596,"R",1669046,"R",2542798,"R",1296283,"R",7225793,"R",1137157,"A",,"A",,"A",,"A",,"A",,"R",1137157,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-4553098,"R",0,"R",0,"R",4553098,"R",1178129,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1178129,"R",56909025,"R",17298304,"R",5455457,"R",0,"R",6936662,"R",3536214,"R",23682388,"R",115349967,"R",101016991, 1
101073,"R",4488973,"R",15985709,"R",2311353,"A",,"R",7423357,"R",6250999,"R",1479961,"A",,"R",13674356,"R",1134073,"R",11790674,"R",2204205,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",6090996,"R",7173585,"R",0,"R",-1082589,"R",14756945,"R",0,"R",13674356,"R",1483079,"R",265013,"R",200833,"R",0,"R",1349045,"R",0,"R",3297970,"R",1349045,"R",0,"R",1631637,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",2012339,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",202496,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1902324,"A",,"A",,"A",,"R",-153288,"A",,"A",,"A",,"Z",0,"A",,"R",495488,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",6090996,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2415701,"R",852908,"R",137023,"R",0,"R",39918,"Z",0,"R",1385852,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",398937,"R",146350,"R",20090,"R",0,"R",0,"Z",0,"R",232497,"R",445865,"R",225285,"R",51600,"R",0,"R",20793,"Z",0,"R",148187,"R",315996,"R",232005,"R",17753,"R",0,"Z",0,"Z",0,"R",66238,"R",1919549,"R",1034862,"R",219047,"R",0,"R",315717,"Z",0,"R",349923,"R",1677537,"R",280200,"R",60330,"R",0,"R",0,"Z",0,"R",1337007,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7173585,"R",2771610,"R",505843,"R",0,"R",376428,"R",0,"R",3519704,"R",2950030,"R",2650030, 1
101189,"R",16690796,"R",78782786,"R",42001937,"R",26135750,"R",23033012,"R",13747837,"R",9771078,"R",3976759,"R",36780849,"R",2463373,"R",43972538,"R",17090577,"A",,"R",49610,"Z",0,"R",63576098,"R",21723559,"R",41852539,"R",1753849,"R",34730385,"R",34724540,"R",0,"R",5845,"R",36775004,"R",0,"R",36780849,"R",4825418,"R",554240,"R",1199673,"Z",0,"R",465619,"R",4896561,"R",11941511,"R",5440874,"R",549958,"R",25805017,"R",25805017,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",1516975,"R",181245,"R",1335730,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",3559490,"R",1383372,"R",2089555,"R",86563,"R",3559490,"R",1383372,"R",2089555,"R",86563,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",523353,"R",811002,"R",343004,"R",-630653,"R",0,"Z",0,"R",2608213,"R",2608213,"R",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",717337,"R",682806,"R",34531,"R",0,"R",34730385,"R",31471655,"R",3802820,"R",-544090,"R",3430474,"R",-3430474,"R",34902129,"R",372346,"R",-544090,"R",13999849,"R",8497514,"R",1441755,"R",1311536,"R",775033,"R",412864,"R",1561147,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3051806,"R",939510,"R",187235,"R",283576,"R",167575,"R",89268,"R",1384642,"R",8062465,"R",2346472,"R",466438,"R",779834,"R",460830,"R",245486,"R",3763405,"R",5967136,"R",2414837,"R",464020,"R",177235,"R",104734,"R",55792,"R",2750518,"R",3643284,"R",143486,"R",25530,"R",992515,"R",586511,"R",312437,"R",1582805,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-3544696,"Z",0,"Z",0,"R",3544696,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34724540,"R",14341819,"R",2584978,"R",0,"R",2094683,"R",1115847,"R",14587213,"R",18531941,"R",17000754, 1
101435,"R",47930394,"R",79011439,"R",26274883,"A",,"R",3947822,"R",48788734,"R",47035277,"A",,"R",52736556,"R",5339031,"R",27627885,"R",9068662,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",14504054,"R",17149742,"R",0,"R",-2645688,"R",55376698,"R",5546,"R",52736556,"R",795808,"R",195639,"R",367168,"Z",0,"R",3536795,"R",2872650,"R",7768060,"R",6409445,"R",0,"R",6996622,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",95174,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",3657801,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",491329,"A",,"A",,"A",,"Z",0,"A",,"R",3013820,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",249308,"A",,"A",,"A",,"R",14504054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5748688,"R",2839936,"R",460730,"R",699997,"R",503383,"R",333627,"R",911015,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1050253,"R",493094,"R",84989,"R",116666,"R",83897,"R",55605,"R",216002,"R",4848442,"R",1840421,"R",383699,"R",388887,"R",279657,"R",185349,"R",1770429,"R",2664344,"R",1358541,"R",249325,"R",116666,"R",83897,"R",55605,"R",800310,"R",2838015,"Z",0,"Z",0,"R",622221,"R",447453,"R",296557,"R",1471784,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-1944437,"Z",0,"Z",0,"R",1944437,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17149742,"R",6531992,"R",1178743,"R",0,"R",1398287,"R",926743,"R",7113977,"R",47857377,"R",47035277, 1
101453,"R",7566024,"R",11983257,"R",2833237,"A",,"R",2101716,"R",7048304,"R",4095049,"A",,"R",9150020,"R",1187906,"R",2571564,"R",2502847,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",2236266,"R",2823334,"R",0,"R",-587068,"R",9737088,"R",0,"R",9150020,"R",103336,"R",13773,"Z",0,"Z",0,"R",127442,"Z",0,"R",244551,"R",5962,"Z",0,"R",480817,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",2184006,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25200,"A",,"A",,"A",,"R",-586379,"A",,"A",,"A",,"R",51620,"A",,"R",81002,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",2236266,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",549365,"R",419640,"Z",0,"R",44124,"Z",0,"Z",0,"R",85601,"R",10583,"Z",0,"Z",0,"R",847,"Z",0,"Z",0,"R",9736,"R",21081,"Z",0,"Z",0,"R",1693,"Z",0,"Z",0,"R",19388,"R",123927,"R",70000,"R",4916,"R",9954,"Z",0,"Z",0,"R",39057,"R",242216,"R",162845,"Z",0,"R",19455,"Z",0,"Z",0,"R",59916,"R",1285879,"R",561495,"R",214634,"R",293538,"Z",0,"R",71021,"R",145191,"R",90696,"R",10125,"Z",0,"R",7256,"Z",0,"Z",0,"R",73315,"R",127442,"A",,"A",,"A",,"A",,"A",,"R",127442,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-376867,"R",197511,"Z",0,"R",179356,"R",372145,"R",0,"R",0,"R",0,"R",0,"R",0,"R",372145,"R",2823334,"R",1224105,"R",219550,"R",0,"R",197511,"R",71021,"R",1111147,"R",6306173,"R",5771294, 1
101541,"R",14299238,"R",32310975,"R",10522207,"A",,"R",5000534,"R",16788234,"R",15247371,"A",,"R",21788768,"R",2718065,"R",16777534,"R",4362800,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",6122479,"R",8253047,"R",0,"R",-2130568,"R",23919336,"R",0,"R",21788768,"R",300309,"R",96686,"R",168978,"R",0,"R",831776,"R",390795,"R",1788544,"R",1222571,"R",0,"R",1598417,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",2918415,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1052990,"A",,"A",,"A",,"R",-1054693,"A",,"A",,"A",,"R",0,"A",,"R",1549530,"A",,"R",0,"A",,"R",0,"A",,"A",,"A",,"R",57820,"A",,"A",,"A",,"R",6122479,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2674150,"R",1416125,"R",285768,"R",199699,"R",345868,"R",197551,"R",229139,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",101860,"R",52870,"R",11111,"R",10532,"R",3940,"R",2404,"R",21003,"R",721076,"R",304046,"R",65008,"R",124333,"R",60994,"R",34945,"R",131750,"R",1718743,"R",724299,"R",149910,"R",268277,"R",114925,"R",65891,"R",395441,"R",1472914,"R",731670,"R",159706,"R",129281,"R",94679,"R",53996,"R",303582,"R",1564304,"R",240845,"R",42090,"R",371048,"R",181202,"R",103617,"R",625502,"R",0,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",-1103170,"Z",0,"Z",0,"R",1103170,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8253047,"R",3469855,"R",713593,"R",0,"R",801608,"R",458404,"R",2809587,"R",16533352,"R",15247371, 1
101675,"R",14482628,"R",57412370,"R",16411096,"A",,"R",31373026,"R",9628248,"R",2182071,"A",,"R",41001274,"R",1726572,"R",50736030,"R",13433232,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",25487294,"R",24849753,"R",2243070,"R",2880611,"R",38120663,"R",0,"R",41001274,"R",5909773,"R",690075,"R",226296,"R",0,"R",541582,"R",1226264,"R",8593990,"R",2805557,"R",0,"R",10899479,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",5919472,"A",,"A",,"A",,"R",50000,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",3372572,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",241097,"A",,"A",,"A",,"R",0,"A",,"R",5004674,"A",,"R",0,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",25487294,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10521240,"R",5544838,"R",736231,"R",3353520,"Z",0,"Z",0,"R",886651,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",476399,"R",101267,"R",15190,"R",151847,"Z",0,"Z",0,"R",208095,"R",1250410,"R",525747,"R",80698,"R",398553,"Z",0,"Z",0,"R",245412,"R",1790868,"R",858087,"R",116407,"R",570818,"Z",0,"Z",0,"R",245556,"R",3714079,"R",627562,"R",190463,"R",1183919,"Z",0,"Z",0,"R",1712135,"R",5373469,"R",857992,"R",82961,"R",1712730,"Z",0,"Z",0,"R",2719786,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-7371387,"Z",0,"Z",0,"R",7371387,"R",1723288,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",1723288,"R",24849753,"R",8515493,"R",1221950,"R",0,"Z",0,"Z",0,"R",15112310,"R",14584005,"R",14482628, 1
101693,"R",10555588,"R",41834336,"R",17178529,"R",11909578,"R",7865888,"R",16789919,"R",13201674,"R",3588245,"R",24655807,"R",812038,"R",30579521,"R",9208584,"A",,"R",111055,"R",1344214,"R",42055412,"R",19145300,"R",22910112,"R",0,"R",19829331,"R",21681706,"R",0,"R",-1852375,"R",26508182,"R",0,"R",24655807,"R",1619653,"R",202410,"R",433633,"R",0,"R",1277843,"R",5220102,"R",8753641,"R",6567592,"R",0,"R",11401973,"R",11401973,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",156685,"R",156685,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",3537027,"R",2027115,"R",1509912,"R",0,"R",3275077,"R",2027115,"R",1247962,"Z",0,"R",261950,"Z",0,"R",261950,"Z",0,"R",10579,"Z",0,"Z",0,"R",10579,"R",0,"Z",0,"Z",0,"Z",0,"R",3689786,"R",3689786,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",1033281,"R",64866,"R",766708,"R",201707,"R",19829331,"R",17340425,"R",2276620,"R",212286,"R",2732275,"R",-2732275,"R",20072700,"R",-455655,"R",212286,"R",8675686,"R",4925109,"R",1707819,"R",900655,"R",355982,"R",245285,"R",540836,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1016135,"R",404976,"R",124860,"R",184155,"R",72901,"R",50232,"R",179011,"R",1879729,"R",943794,"R",266828,"R",79687,"R",31552,"R",21741,"R",536127,"R",4299897,"R",1937187,"R",642908,"R",370801,"R",140205,"R",96606,"R",1112190,"R",5810259,"R",910239,"R",259022,"R",1677922,"R",671635,"R",462779,"R",1828662,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-3213220,"Z",0,"Z",0,"R",3213220,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21681706,"R",9121305,"R",3001437,"R",0,"R",1272275,"R",876643,"R",7410046,"R",14024108,"R",13313445, 1
101912,"R",7738922,"R",59299425,"R",15878914,"A",,"R",30306329,"R",13114182,"Z",0,"A",,"R",43420511,"R",3247738,"R",43275805,"R",18852442,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",39978986,"R",36453442,"R",0,"R",3525544,"R",39894967,"R",0,"R",43420511,"R",2408385,"R",457524,"R",54132,"Z",0,"R",5258050,"R",15169,"R",8193260,"R",5243686,"R",2949574,"R",17208493,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",2865904,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",8566216,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6179769,"A",,"A",,"A",,"R",-281401,"A",,"A",,"A",,"R",280205,"A",,"R",5134354,"A",,"Z",0,"A",,"R",25446,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",39978986,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11135782,"R",4341554,"R",1800203,"R",1114054,"R",670780,"Z",0,"R",3209191,"R",615928,"R",240134,"R",99571,"R",61619,"R",37101,"Z",0,"R",177503,"R",192099,"R",74895,"R",31055,"R",19218,"R",11571,"Z",0,"R",55360,"R",4518763,"R",1761749,"R",730500,"R",452070,"R",272194,"Z",0,"R",1302250,"R",3988051,"R",1554838,"R",644706,"R",398976,"R",240226,"R",335469,"R",813836,"R",9232718,"R",3599599,"R",1492555,"R",923667,"R",556147,"R",173670,"R",2487080,"R",6669015,"R",2600077,"R",1078108,"R",667187,"R",401721,"Z",0,"R",1921922,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",98246,"R",38304,"R",15882,"R",9829,"R",5918,"Z",0,"R",28313,"R",0,"Z",0,"Z",0,"R",-3646903,"Z",0,"Z",0,"R",3646903,"R",2840,"R",1108,"R",458,"R",283,"R",170,"R",0,"R",821,"R",36453442,"R",14212258,"R",5893038,"R",0,"R",2195828,"R",509139,"R",13643179,"R",10629059,"R",5801235, 1
