UNITID,XF2A01,F2A01,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A14,F2A14,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2A19,F2A19,XF2A20,F2A20,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E013,F2E013,XF2E014,F2E014,XF2E015,F2E015,XF2E016,F2E016,XF2E017,F2E017,XF2E021,F2E021,XF2E022,F2E022,XF2E023,F2E023,XF2E024,F2E024,XF2E025,F2E025,XF2E026,F2E026,XF2E027,F2E027,XF2E031,F2E031,XF2E032,F2E032,XF2E033,F2E033,XF2E034,F2E034,XF2E035,F2E035,XF2E036,F2E036,XF2E037,F2E037,XF2E041,F2E041,XF2E042,F2E042,XF2E043,F2E043,XF2E044,F2E044,XF2E045,F2E045,XF2E046,F2E046,XF2E047,F2E047,XF2E051,F2E051,XF2E052,F2E052,XF2E053,F2E053,XF2E054,F2E054,XF2E055,F2E055,XF2E056,F2E056,XF2E057,F2E057,XF2E061,F2E061,XF2E062,F2E062,XF2E063,F2E063,XF2E064,F2E064,XF2E065,F2E065,XF2E066,F2E066,XF2E067,F2E067,XF2E071,F2E071,XF2E072,F2E072,XF2E073,F2E073,XF2E074,F2E074,XF2E075,F2E075,XF2E076,F2E076,XF2E077,F2E077,XF2E081,F2E081,XF2E082,F2E082,XF2E083,F2E083,XF2E084,F2E084,XF2E085,F2E085,XF2E086,F2E086,XF2E087,F2E087,XF2E091,F2E091,XF2E092,F2E092,XF2E093,F2E093,XF2E094,F2E094,XF2E095,F2E095,XF2E096,F2E096,XF2E097,F2E097,XF2E101,F2E101,XF2E102,F2E102,XF2E103,F2E103,XF2E104,F2E104,XF2E105,F2E105,XF2E106,F2E106,XF2E107,F2E107,XF2E111,F2E111,XF2E112,F2E112,XF2E113,F2E113,XF2E114,F2E114,XF2E115,F2E115,XF2E116,F2E116,XF2E117,F2E117,XF2E121,F2E121,XF2E122,F2E122,XF2E123,F2E123,XF2E124,F2E124,XF2E125,F2E125,XF2E126,F2E126,XF2E127,F2E127,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,XF2H01,F2H01,XF2H02,F2H02,F2FHA   
100690,"R",1720079,"R",7501781,"R",1601292,"A",,"R",5282113,"R",618376,"R",0,"A",,"R",5900489,"R",1496227,"R",1441679,"R",3597487,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",9564306,"R",8867841,"R",0,"R",696465,"R",5204024,"R",0,"R",5900489,"R",620796,"R",29806,"Z",0,"Z",0,"R",0,"R",685349,"R",1335951,"R",685349,"Z",0,"R",6306399,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",29806,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",2791636,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",28470,"A",,"A",,"A",,"Z",0,"A",,"Z",0,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",407995,"A",,"A",,"A",,"R",9564306,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3148163,"R",1993446,"R",78363,"R",245981,"Z",0,"Z",0,"R",830373,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",273741,"R",209754,"R",5577,"R",23427,"Z",0,"Z",0,"R",34983,"R",821787,"R",566483,"R",51078,"R",64424,"Z",0,"Z",0,"R",139802,"R",4624150,"R",89297,"R",391904,"R",251837,"R",182727,"Z",0,"R",3708385,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-585669,"Z",0,"Z",0,"R",585669,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",8867841,"R",2858980,"R",526922,"R",0,"R",182727,"Z",0,"R",5299212,"R",174805,"R",174805, 1
100937,"R",66376843,"R",206321940,"R",73579170,"A",,"R",36778001,"R",95964769,"R",79432332,"A",,"R",132742770,"R",20912596,"R",147178090,"R",24353003,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",18602348,"R",60637807,"R",0,"R",-42035459,"R",174778229,"R",0,"R",132742770,"R",845716,"R",238397,"R",0,"R",0,"R",17541423,"R",2662254,"R",21287790,"R",18625536,"R",0,"R",17277713,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",1478999,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",6763004,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",-20161407,"A",,"A",,"A",,"R",0,"A",,"R",11549030,"A",,"R",0,"A",,"R",0,"A",,"A",,"A",,"R",1695009,"A",,"A",,"A",,"R",18602348,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",17654473,"R",9117205,"R",2469437,"R",1478233,"R",2561473,"R",814946,"R",1213179,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4402751,"R",1371709,"R",521450,"R",368648,"R",638792,"R",203234,"R",1298918,"R",12089547,"R",3823163,"R",1217439,"R",1012274,"R",1754062,"R",558064,"R",3724545,"R",12064605,"R",4323744,"R",1285171,"R",1010186,"R",1750444,"R",556913,"R",3138147,"R",11294945,"R",461299,"R",166316,"R",945742,"R",1638774,"R",521384,"R",7561430,"R",2662254,"A",,"A",,"A",,"A",,"A",,"R",2662254,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-4815083,"R",0,"R",0,"R",4815083,"R",469232,"R",0,"R",0,"R",0,"R",0,"R",0,"R",469232,"R",60637807,"R",19097120,"R",5659813,"R",0,"R",8343545,"R",2654541,"R",24882788,"R",101016991,"R",66376843, 1
101073,"R",3959643,"R",13963282,"R",2251012,"A",,"R",5461265,"R",6251005,"R",1479961,"A",,"R",11712270,"R",1542025,"R",11790674,"R",2207205,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",6494005,"R",8456091,"R",0,"R",-1962086,"R",13674356,"R",0,"R",11712270,"R",2063186,"Z",0,"R",167690,"Z",0,"R",972444,"Z",0,"R",3203320,"R",1140134,"Z",0,"R",2194311,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",2506537,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",747483,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",80000,"A",,"A",,"A",,"R",-504446,"A",,"A",,"A",,"Z",0,"A",,"R",1291802,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",178318,"A",,"A",,"A",,"R",6494005,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2582532,"R",1205100,"R",191100,"Z",0,"R",97218,"Z",0,"R",1089114,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",476705,"R",153300,"R",41400,"Z",0,"Z",0,"Z",0,"R",282005,"R",528295,"R",365400,"R",88762,"Z",0,"Z",0,"Z",0,"R",74133,"R",677742,"R",283922,"R",69208,"Z",0,"Z",0,"Z",0,"R",324612,"R",1927283,"R",554071,"R",134623,"Z",0,"Z",0,"Z",0,"R",1238589,"R",2263534,"R",595362,"R",155545,"Z",0,"R",263507,"Z",0,"R",1249120,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",8456091,"R",3157155,"R",680638,"R",0,"R",360725,"Z",0,"R",4257573,"R",2650030,"R",2650030, 1
101189,"R",13458632,"R",67964250,"R",33994652,"R",25927223,"R",21534987,"R",12434611,"R",9510473,"R",2924138,"R",33969598,"R",2706238,"R",44429240,"R",18145181,"A",,"R",18829,"Z",0,"R",65299488,"R",23848457,"R",41451031,"R",1369446,"R",33194319,"R",36005570,"R",0,"R",-2811251,"R",36780849,"R",0,"R",33969598,"R",5753876,"R",614535,"R",778746,"Z",0,"R",315090,"R",4537293,"R",11999540,"R",6012726,"R",506548,"R",29591291,"R",29591291,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1327681,"R",75088,"R",1252593,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1798001,"R",1024771,"R",714791,"R",58439,"R",1798001,"R",1024771,"R",714791,"R",58439,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-2667197,"R",-1583233,"R",-764920,"R",-319044,"Z",0,"Z",0,"R",2497021,"R",2497021,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",647522,"R",638315,"R",9207,"R",0,"R",33194319,"R",32243253,"R",1211671,"R",-260605,"R",2264292,"R",-2264292,"Z",0,"R",33194319,"R",34507545,"R",-1052621,"R",-260605,"R",14526032,"R",9240323,"R",1548972,"R",1441422,"R",786151,"R",331111,"R",1178053,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3333015,"R",1102470,"R",222727,"R",300131,"R",163692,"R",68944,"R",1475051,"R",7808227,"R",2898979,"R",589769,"R",856955,"R",467383,"R",196852,"R",2798289,"R",6523064,"R",2527706,"R",478640,"R",232997,"R",127077,"R",53522,"R",3103122,"R",3815232,"R",185981,"R",34948,"R",1117595,"R",609536,"R",256725,"R",1610447,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-3949100,"Z",0,"Z",0,"R",3949100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",36005570,"R",15955459,"R",2875056,"R",0,"R",2153839,"R",907154,"R",14114062,"R",17000754,"R",14361385, 1
101435,"R",38311104,"R",71435307,"R",28363898,"A",,"R",1801049,"R",41270360,"R",37431495,"A",,"R",43071409,"R",5602531,"R",28262427,"R",8352085,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",9947877,"R",19613024,"R",0,"R",-9665147,"R",52736556,"R",0,"R",43071409,"R",1060908,"R",223064,"R",279920,"R",0,"R",3100218,"R",4208343,"R",8872453,"R",7308561,"R",0,"R",8150658,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",129481,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",3427929,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",-5330643,"A",,"A",,"A",,"R",0,"A",,"R",3259434,"A",,"R",0,"A",,"R",0,"A",,"A",,"A",,"R",311018,"A",,"A",,"A",,"R",9947877,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6824686,"R",3445642,"R",562854,"R",659028,"R",546080,"R",332349,"R",1278733,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",1310878,"R",566020,"R",152887,"R",109838,"R",91013,"R",55392,"R",335728,"R",5334610,"R",2175975,"R",493835,"R",366127,"R",303378,"R",184639,"R",1810656,"R",3074737,"R",1402515,"R",286919,"R",109838,"R",91013,"R",55392,"R",1129060,"R",3068113,"Z",0,"Z",0,"R",585803,"R",485406,"R",295421,"R",1701483,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-1830634,"Z",0,"Z",0,"R",1830634,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19613024,"R",7590152,"R",1496495,"R",0,"R",1516890,"R",923193,"R",8086294,"R",47035277,"R",37431495, 1
101453,"R",6320916,"R",10400424,"R",2881885,"A",,"R",1655928,"R",5862611,"R",4140274,"A",,"R",7518539,"R",1187907,"R",2571564,"R",2568333,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",1210439,"R",2841920,"R",0,"R",-1631481,"R",9150020,"R",0,"R",7518539,"R",95957,"R",12668,"Z",0,"Z",0,"R",142778,"Z",0,"R",251403,"R",4837,"Z",0,"R",510071,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",1520145,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25414,"A",,"A",,"A",,"R",-958148,"A",,"A",,"A",,"R",7876,"A",,"R",105081,"A",,"Z",0,"A",,"Z",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",1210439,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",547217,"R",476621,"Z",0,"R",47531,"Z",0,"Z",0,"R",23065,"R",9325,"Z",0,"Z",0,"R",770,"Z",0,"Z",0,"R",8555,"R",19388,"Z",0,"Z",0,"R",1684,"Z",0,"Z",0,"R",17704,"R",153698,"R",71837,"R",17981,"R",13350,"Z",0,"Z",0,"R",50530,"R",205784,"R",138103,"Z",0,"R",17874,"Z",0,"Z",0,"R",49807,"R",1608328,"R",599300,"R",219981,"R",318838,"Z",0,"R",114567,"R",355642,"R",90696,"R",10125,"Z",0,"R",7256,"Z",0,"Z",0,"R",73315,"R",142778,"A",,"A",,"A",,"A",,"A",,"R",142778,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-407303,"R",198717,"Z",0,"R",208586,"R",64706,"R",0,"R",0,"R",0,"R",0,"R",0,"R",64706,"R",2841920,"R",1295986,"R",237962,"R",0,"R",198717,"R",114567,"R",994688,"R",5771294,"R",4897484, 1
101541,"R",12663082,"R",29027131,"R",11053501,"A",,"R",4420604,"R",13553026,"R",10806812,"A",,"R",17973630,"R",3024889,"R",17037765,"R",4637330,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",4154847,"R",7969985,"R",0,"R",-3815138,"R",21788768,"R",0,"R",17973630,"R",409419,"R",98236,"R",144159,"Z",0,"R",811694,"R",628628,"R",2092136,"R",1440322,"R",0,"R",1741843,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",1372781,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1073035,"A",,"A",,"A",,"R",-1996878,"A",,"A",,"A",,"R",0,"A",,"R",1701362,"A",,"R",0,"A",,"R",0,"A",,"A",,"A",,"R",262704,"A",,"A",,"A",,"R",4154847,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2846080,"R",1412247,"R",254338,"R",131945,"R",395384,"R",201090,"R",451076,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",97136,"R",47120,"R",8480,"R",6764,"R",2629,"R",1254,"R",30889,"R",605846,"R",300596,"R",54150,"R",80185,"R",59675,"R",30451,"R",80789,"R",1751420,"R",797706,"R",143674,"R",207632,"R",87648,"R",44803,"R",469957,"R",1214890,"R",598442,"R",107755,"R",119717,"R",64434,"R",32710,"R",291832,"R",1454613,"R",207161,"R",37311,"R",238952,"R",199985,"R",101745,"R",669459,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-785195,"Z",0,"Z",0,"R",785195,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7969985,"R",3363272,"R",605708,"R",0,"R",809755,"R",412053,"R",2779197,"R",15247371,"R",11972268, 1
101675,"R",12624782,"R",50229289,"R",16597189,"Z",0,"R",31450029,"R",2182071,"R",2182071,"Z",0,"R",33632100,"R",1726572,"R",50909202,"R",13547497,"A",,"Z",0,"Z",0,"R",66183271,"Z",0,"R",0,"Z",0,"R",26214019,"R",24123076,"R",-1893914,"R",197029,"R",41001274,"R",-7566203,"R",33632100,"R",5840668,"R",537914,"R",456281,"R",0,"R",1030433,"R",1167113,"R",9032409,"R",3191740,"R",0,"R",6517307,"R",6517307,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10218600,"R",5840668,"R",4377932,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3698748,"R",2075425,"R",1623323,"R",0,"R",3698748,"R",2075425,"R",1623323,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-1893914,"R",-1893914,"Z",0,"Z",0,"Z",0,"Z",0,"R",5021319,"R",5021319,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2651959,"R",8653214,"R",-6001255,"R",0,"R",26214019,"R",26214019,"Z",0,"Z",0,"R",5995599,"R",-5995599,"Z",0,"R",26214019,"R",32209618,"R",-5995599,"R",0,"R",9575964,"R",5253112,"R",776726,"R",2725480,"R",0,"Z",0,"R",820646,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",615379,"Z",0,"Z",0,"R",166131,"Z",0,"Z",0,"R",449248,"R",1222171,"R",455552,"R",105387,"R",307576,"R",0,"Z",0,"R",353656,"R",1697421,"R",775601,"R",109205,"R",543094,"R",0,"Z",0,"R",269521,"R",5857621,"R",1319397,"R",213441,"R",1323709,"R",0,"Z",0,"R",3001074,"R",5154520,"R",623625,"R",71906,"R",1605931,"R",0,"Z",0,"R",2853058,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-6671921,"Z",0,"Z",0,"R",6671921,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",24123076,"R",8427287,"R",1276665,"R",0,"Z",0,"Z",0,"R",14419124,"R",14482628,"R",12624782, 1
101693,"R",10866773,"R",41574847,"R",19582296,"R",14205000,"R",6840988,"R",15151563,"R",12165605,"R",2985958,"R",21992551,"R",812038,"R",31350723,"R",10027431,"A",,"R",2113147,"R",986710,"R",45290049,"R",20485435,"R",24804614,"R",0,"R",18405694,"R",21068950,"R",0,"R",-2663256,"R",24655807,"R",0,"R",21992551,"R",1886418,"R",724919,"R",362740,"R",0,"R",1357400,"R",6246271,"R",10577748,"R",7753876,"R",0,"R",11949478,"R",11949478,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",237611,"R",237611,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4411097,"R",1847339,"R",2563758,"R",0,"R",3320584,"R",1847339,"R",1473245,"R",0,"R",1090513,"R",0,"R",1090513,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-2126676,"R",-799689,"R",-779060,"R",-547927,"R",0,"R",0,"R",4316352,"R",4316352,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-382168,"R",-368211,"R",474185,"R",-488142,"R",18405694,"R",17182880,"R",2258883,"R",-1036069,"R",2861170,"R",-2861170,"R",0,"R",18405694,"R",20044050,"R",-602287,"R",-1036069,"R",8441260,"R",4828240,"R",1636101,"R",872233,"R",393085,"R",247927,"R",463674,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1008432,"R",397660,"R",134388,"R",192133,"R",86588,"R",54474,"R",143189,"R",1486376,"R",781944,"R",297938,"R",90659,"R",40857,"R",25704,"R",249274,"R",4223327,"R",1756617,"R",648187,"R",401126,"R",180773,"R",113728,"R",1122896,"R",5909555,"R",908732,"R",289819,"R",1624860,"R",732266,"R",460053,"R",1893825,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",-3181011,"Z",0,"Z",0,"R",3181011,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21068950,"R",8673193,"R",3006433,"R",0,"R",1433569,"R",901886,"R",7053869,"R",13313445,"R",10443950, 1
101912,"R",6361050,"R",66784602,"R",16196900,"A",,"R",37047502,"R",13540200,"Z",0,"A",,"R",50587702,"R",3501215,"R",45939963,"R",20073467,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",45635010,"R",38467819,"R",0,"R",7167191,"R",43420511,"R",0,"R",50587702,"R",2733292,"R",479626,"R",58611,"Z",0,"R",5725217,"R",31673,"R",9028419,"R",5778188,"R",3250231,"R",18192726,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",3212918,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"Z",0,"A",,"A",,"A",,"R",11986302,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6509468,"A",,"A",,"A",,"R",222296,"A",,"A",,"A",,"R",233004,"A",,"R",5255051,"A",,"Z",0,"A",,"R",23245,"A",,"A",,"A",,"R",0,"A",,"A",,"A",,"R",45635010,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11781180,"R",5240057,"R",1897618,"R",1211741,"R",834683,"Z",0,"R",2597081,"R",952977,"R",423867,"R",153502,"R",98017,"R",67516,"Z",0,"R",210075,"R",365252,"R",162458,"R",58832,"R",37568,"R",25877,"Z",0,"R",80517,"R",4715912,"R",2097567,"R",759601,"R",485050,"R",334116,"Z",0,"R",1039578,"R",4119991,"R",1832498,"R",663603,"R",423757,"R",291893,"R",276475,"R",631765,"R",9066464,"R",4032600,"R",1460353,"R",932522,"R",642350,"R",98206,"R",1900433,"R",6885739,"R",3062653,"R",1109100,"R",708226,"R",487848,"Z",0,"R",1517912,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",127910,"R",56892,"R",20603,"R",13156,"R",9062,"Z",0,"R",28197,"R",0,"Z",0,"Z",0,"R",-3910037,"Z",0,"Z",0,"R",3910037,"R",452394,"R",0,"R",0,"R",0,"R",0,"R",0,"R",452394,"R",38467819,"R",16908592,"R",6123212,"R",0,"R",2693345,"R",374681,"R",12367989,"R",5801235,"R",4679087, 1
