UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02   
100690,"R",8497541,"R",2792007,"Z",0,"R",12111063,"R",3157036,"R",1707748,"R",8352700,"R",601327,"R",174805,"R",426522,"R",8954027,"R",493719,"R",929994,"R",3736423,"R",846907,"Z",0,"R",6007043,"R",3215036,"R",7854250,"R",7713852,"R",0,"R",140398,"R",8813629,"R",0,"R",8954027,"R",923760,"R",7503,"Z",0,"Z",0,"R",0,"R",643842,"R",1575105,"R",643842,"Z",0,"R",643842,"R",6819566,"R",6819566,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7146,"R",7146,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",863241,"R",743093,"R",120148,"R",0,"R",863241,"R",743093,"R",120148,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",131760,"R",86411,"R",45349,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",32537,"R",32537,"R",0,"R",0,"R",7854250,"R",7688753,"R",165497,"Z",0,"R",0,"R",163018,"R",-163018,"Z",0,"R",7854250,"R",7851771,"R",2479,"R",0,"R",2237380,"R",1503814,"Z",0,"Z",0,"Z",0,"Z",0,"R",355049,"R",296526,"R",751667,"R",593734,"R",4369756,"R",1091426,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",7713852,"R",3485500,"R",549838,"R",213060,"R",142056,"R",135721,"R",3187677, 1,"R",174805,"R",174804
100937,"R",53819454,"R",101295297,"R",0,"R",180338012,"R",67489767,"R",41293339,"R",44108045,"R",68740200,"R",63234978,"R",5505222,"R",112848245,"R",25183912,"R",160528463,"R",28703223,"R",0,"R",0,"R",214415598,"R",113120301,"R",40172676,"R",46195262,"R",0,"R",-6022586,"R",118870831,"R",0,"R",112848245,"R",1072355,"R",94000,"Z",0,"Z",0,"R",5817767,"R",22893975,"R",29878097,"R",28711743,"R",0,"R",28711743,"R",14911414,"R",14911414,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",309709,"R",309709,"R",0,"R",0,"R",42722,"R",42722,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",9796383,"R",5457591,"R",2908833,"R",1429959,"R",9620253,"R",5281461,"R",2908833,"R",1429959,"R",176130,"R",176130,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-1935526,"R",69822,"R",-1728448,"R",-276900,"Z",0,"Z",0,"R",16066149,"R",16066149,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",981825,"R",9620908,"R",-8639083,"R",0,"R",40172676,"R",46478315,"R",-7458698,"R",1153059,"R",0,"R",9659392,"R",-9659392,"Z",0,"R",40172676,"R",56137707,"R",-17118090,"R",1153059,"R",14131839,"R",8480745,"R",0,"Z",0,"R",0,"Z",0,"R",2832305,"R",712441,"R",9587501,"R",4150490,"R",8877109,"R",3893971,"R",10433488,"R",793183,"R",333020,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",46195262,"R",18030830,"R",3964990,"R",4980330,"R",3450822,"R",2377125,"R",13391165, 1,"R",61011062,"R",54221105
101073,"R",2045197,"R",10722749,"Z",0,"R",14032537,"R",4013510,"Z",0,"R",7698656,"R",2320371,"R",1685690,"R",634681,"R",10019027,"R",3278147,"R",14704124,"R",3247851,"Z",0,"Z",0,"R",21230122,"R",10507373,"R",9319418,"R",11165980,"R",0,"R",-1846562,"R",11865589,"R",0,"R",10019027,"R",2059906,"Z",0,"R",190249,"Z",0,"R",0,"R",940411,"R",3190566,"R",1984167,"Z",0,"R",1984167,"R",3029816,"R",3029816,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1498256,"R",0,"R",1498256,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2753310,"R",2685387,"R",53873,"R",14050,"R",2753310,"R",2685387,"R",53873,"R",14050,"R",0,"R",0,"R",0,"R",0,"R",14587,"R",14587,"Z",0,"Z",0,"R",1404,"R",-6561,"R",9451,"R",-1486,"Z",0,"Z",0,"R",2007926,"R",2007926,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14119,"R",1759998,"R",-1745879,"R",0,"R",9319418,"R",9491153,"R",-184299,"R",12564,"R",0,"R",0,"R",0,"Z",0,"R",9319418,"R",9491153,"R",-184299,"R",12564,"R",3618356,"R",1374975,"Z",0,"Z",0,"Z",0,"Z",0,"R",479345,"R",191738,"R",992968,"R",695077,"R",3461901,"R",484666,"R",2613410,"R",209072,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",11165980,"R",2955528,"R",679771,"R",1011214,"R",711634,"Z",0,"R",5807833, 1,"R",1494048,"R",1046779
101189,"R",19448450,"R",50533611,"R",990085,"R",85351258,"R",40116883,"R",30836517,"R",29314524,"R",15919851,"R",12644371,"R",3275480,"R",45234375,"R",5397044,"R",61928190,"R",25906015,"R",53954,"Z",0,"R",93285203,"R",42751592,"R",42434472,"R",44744293,"R",0,"R",-2309821,"R",47544196,"R",0,"R",45234375,"R",6698884,"R",540991,"R",703334,"R",0,"R",792859,"R",11209190,"R",19945258,"R",11318485,"R",1000284,"R",12318769,"R",35249374,"R",35249374,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1228954,"R",11525,"R",1217429,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2000336,"R",1421237,"R",346568,"R",232531,"R",2000336,"R",1421237,"R",346568,"R",232531,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-485985,"R",-87515,"R",-1172082,"R",773612,"R",0,"R",0,"R",3360369,"R",3360369,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1081424,"R",1037207,"R",44217,"R",0,"R",42434472,"R",40992197,"R",436132,"R",1006143,"R",0,"R",2292311,"R",-2292311,"R",0,"R",42434472,"R",43284508,"R",-1856179,"R",1006143,"R",17906656,"R",10892397,"R",0,"R",0,"R",0,"R",0,"R",3490517,"R",1443125,"R",9511671,"R",3431832,"R",9147270,"R",2856534,"R",4688179,"R",519004,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44744293,"R",19142892,"R",3671248,"R",5328099,"R",2838279,"R",1224911,"R",12538864, 1,"R",18222279,"R",17308614
101435,"R",46991541,"R",28180835,"R",0,"R",82088052,"R",25742139,"R",22030916,"R",7504644,"R",48841269,"R",46960612,"R",1880657,"R",56345913,"R",1509253,"R",41259772,"R",11390493,"R",591055,"R",0,"R",54750573,"R",26569738,"R",19614987,"R",21224418,"R",0,"R",-1609431,"R",57955344,"R",0,"R",56345913,"R",2223578,"R",135896,"R",407782,"R",0,"R",4058407,"R",6057223,"R",12882886,"R",10101480,"R",0,"R",10101480,"R",11228286,"R",11228286,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",105879,"R",105879,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4612061,"R",3368381,"R",656741,"R",586939,"R",4612061,"R",3368381,"R",656741,"R",586939,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-435263,"R",1241145,"R",36105,"R",-1712513,"Z",0,"Z",0,"R",4036557,"R",4036557,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",67467,"R",67467,"R",0,"R",0,"R",19614987,"R",20047715,"R",692846,"R",-1125574,"R",0,"R",1401915,"R",-1201915,"R",-200000,"R",19614987,"R",21449630,"R",-509069,"R",-1325574,"R",6823409,"R",4283170,"Z",0,"Z",0,"Z",0,"Z",0,"R",1366470,"R",857976,"R",6356747,"R",2919198,"R",3514384,"R",1732176,"R",3163408,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",21224418,"R",9792520,"R",1546170,"R",1725555,"R",1880333,"R",710682,"R",5569158, 1,"R",48278643,"R",46960612
101453,"R",10826913,"R",2870246,"Z",0,"R",14360876,"R",2746743,"R",1281820,"R",3113713,"R",8500420,"R",5898846,"R",2601574,"R",11614133,"R",988216,"R",2516561,"R",3435496,"R",0,"R",0,"R",6940273,"R",4070027,"R",2982412,"R",3091908,"R",0,"R",-109496,"R",11723629,"R",0,"R",11614133,"R",104349,"R",9026,"R",0,"R",0,"R",346722,"R",0,"R",460097,"R",0,"R",0,"R",0,"R",578518,"R",578518,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2262438,"R",2045017,"R",140686,"R",76735,"R",2262438,"R",2045017,"R",140686,"R",76735,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",34541,"R",32677,"R",854,"R",1010,"Z",0,"Z",0,"R",70825,"R",70825,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",36090,"R",36090,"R",0,"R",0,"R",2982412,"R",2763127,"R",141540,"R",77745,"R",0,"R",254059,"R",-254059,"Z",0,"R",2982412,"R",3017186,"R",-112519,"R",77745,"R",514727,"R",408937,"R",6582,"R",0,"R",30548,"R",0,"R",126964,"R",41251,"R",363171,"R",239158,"R",1280998,"R",596010,"R",96081,"R",22176,"R",346722,"R",0,"Z",0,"R",0,"Z",0,"R",326115,"R",0,"R",3091908,"R",1307532,"R",263057,"R",503279,"R",206792,"R",38310,"R",772938, 1,"R",9673420,"R",9741072
101541,"R",14852087,"R",13142580,"R",186156,"R",32475770,"R",17063219,"R",15756544,"R",2774489,"R",12638062,"R",11222722,"R",1415340,"R",15412551,"R",3311934,"R",20244711,"R",5770778,"R",0,"R",0,"R",29327423,"R",16184843,"R",7693809,"R",9438567,"R",0,"R",-1744758,"R",17157309,"R",0,"R",15412551,"R",710085,"R",89355,"R",160281,"Z",0,"R",1324650,"R",1065067,"R",3349438,"R",2389717,"R",0,"R",2389717,"R",2169890,"R",2169890,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2838171,"R",2424508,"R",266933,"R",146730,"R",2838171,"R",2424508,"R",266933,"R",146730,"R",0,"R",0,"R",0,"R",0,"R",908577,"R",421992,"R",486585,"R",0,"R",-277648,"R",-93141,"R",-157080,"R",-27427,"R",0,"R",0,"R",2040619,"R",2040619,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14200,"R",14200,"R",0,"R",0,"R",7693809,"R",6978068,"R",596438,"R",119303,"R",0,"R",932773,"R",-932773,"R",0,"R",7693809,"R",7910841,"R",-336335,"R",119303,"R",3358769,"R",2182543,"R",0,"R",0,"R",102777,"R",45410,"R",768857,"R",376249,"R",1315879,"R",701516,"R",1411886,"R",755964,"R",1763455,"R",307406,"R",0,"R",0,"R",0,"R",0,"R",0,"R",716944,"R",0,"R",9438567,"R",4369088,"R",646365,"R",710429,"R",716944,"R",767757,"R",2227984, 1,"R",15369581,"R",14072037
101675,"R",19334286,"R",50153824,"R",0,"R",95670423,"R",39238960,"R",36636769,"R",50372980,"R",6058483,"R",2182071,"R",3876412,"R",56431463,"R",5750964,"R",69759605,"R",17997505,"R",2417344,"R",0,"R",95925418,"R",45771594,"R",31076349,"R",30715552,"R",0,"R",360797,"R",56070666,"R",0,"R",56431463,"R",8211572,"R",3454452,"R",274964,"R",0,"R",1621472,"R",2736089,"R",16298549,"R",4357561,"R",0,"R",4357561,"R",9714075,"R",9714075,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11928804,"R",11928804,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2305487,"R",2305487,"R",0,"R",0,"R",2305487,"R",2305487,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",254769,"R",254769,"R",0,"R",0,"R",0,"R",0,"R",6370693,"R",6370693,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",502521,"R",502521,"R",0,"R",0,"R",31076349,"R",31076349,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31076349,"R",31076349,"R",0,"R",0,"R",8237998,"R",5994725,"R",0,"R",0,"R",351639,"R",199862,"R",2289279,"R",1392799,"R",7960421,"R",3449877,"R",8005588,"R",2202765,"R",3870627,"R",1384680,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",30715552,"R",14624708,"R",1976163,"R",7205275,"R",1704725,"R",1637469,"R",3567212, 1,"R",19080999,"R",19334286
101693,"R",19853595,"R",38211922,"R",0,"R",66756140,"R",35833052,"R",30675000,"R",7336010,"R",23587078,"R",19156028,"R",4431050,"R",30923088,"R",1103078,"R",54755086,"R",10393368,"R",0,"R",1045386,"R",67296918,"R",29084996,"R",27347872,"R",29164419,"R",0,"R",-1816547,"R",32739635,"R",0,"R",30923088,"R",2953232,"R",156981,"R",209596,"Z",0,"R",2082789,"R",11223290,"R",16625888,"R",13572421,"R",0,"R",13572421,"R",14236082,"R",14236082,"R",0,"R",0,"R",147250,"R",147250,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6114716,"R",1585435,"R",4182111,"R",347170,"R",4102935,"R",1585435,"R",2170330,"R",347170,"R",2011781,"R",0,"R",2011781,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-308796,"R",-175695,"R",-126884,"R",-6217,"R",0,"R",0,"R",6927149,"R",6927149,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",231471,"R",281893,"R",-50422,"R",0,"R",27347872,"R",23002114,"R",4004805,"R",340953,"R",0,"R",-4689802,"R",4689802,"R",0,"R",27347872,"R",18312312,"R",8694607,"R",340953,"R",9595251,"R",5497539,"R",0,"R",0,"R",0,"R",0,"R",882150,"R",356198,"R",2655358,"R",1149726,"R",6890487,"R",2376504,"R",9141173,"R",1000497,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29164419,"R",10380464,"R",3171394,"R",3692824,"R",2420590,"R",1911305,"R",7587842, 1,"R",21797072,"R",20415369
101912,"R",17848961,"R",48958048,"R",0,"R",93924759,"R",17749201,"R",10858889,"R",53602216,"R",22573342,"R",3295034,"R",19278308,"R",76175558,"R",4508691,"R",66947229,"R",27536894,"R",0,"R",791487,"R",99784301,"R",50826253,"R",53579750,"R",52240860,"R",0,"R",1338890,"R",74836668,"R",0,"R",76175558,"R",4220162,"R",474079,"R",82653,"R",0,"R",7207509,"R",142528,"R",12126931,"R",6532222,"R",5594709,"R",12126931,"R",21333870,"R",21333870,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7195541,"R",0,"R",7195541,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5651407,"R",1332332,"R",4302050,"R",17025,"R",1740520,"R",1332332,"R",391163,"R",17025,"R",3910887,"R",0,"R",3910887,"R",0,"R",6998893,"R",6998893,"R",0,"R",0,"R",-428675,"R",135858,"R",-485926,"R",-78607,"R",241731,"R",241731,"R",8948504,"R",8948504,"R",0,"R",0,"R",660708,"R",660708,"Z",0,"Z",0,"R",2977771,"R",2081887,"R",860333,"R",35551,"R",53579750,"R",41733783,"R",11871998,"R",-26031,"R",0,"R",11660733,"R",-11660733,"Z",0,"R",53579750,"R",53394516,"R",211265,"R",-26031,"R",11628053,"R",7574021,"R",816395,"R",304421,"R",199263,"R",51197,"R",3508318,"R",1802235,"R",4235326,"R",1576043,"R",12327613,"R",4537436,"R",5342388,"R",547775,"R",0,"R",0,"R",0,"R",830689,"R",310233,"R",13352815,"R",2,"R",52240860,"R",16703363,"R",8413285,"R",3731535,"R",3613307,"R",413265,"R",19366105, 1,"R",12667552,"R",13228594
