UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",95514685,"R",102917613,"R",45085227,"R",148002840,"R",243517525,"R",9322887,"R",3371285,"R",64554128,"R",67925413,"R",83033120,"R",78093000,"R",161126120,"R",229051533,"R",2304000,"R",58696256,"R",1363036,"R",0,"R",-38574413,"R",21484879,"R",5484701,"R",0,"R",184558523,"R",36598253,"R",38929898,"R",265571375,"R",122526187,"R",0,"R",4957652,"R",159577824,"R",149505757,"R",10072067,"R",8041527,"R",3371285,"R",21484879,"R",46521234,"R",22649440,"R",1055563,"R",241140,"R",0,"R",241140,"R",19642138,"R",0,"R",3495286,"R",0,"R",203582,"R",93808383,"R",5103222,"R",41017090,"R",0,"R",17484162,"R",81283,"R",0,"R",2040600,"R",43084,"R",0,"R",65769441,"R",159577824,"R",0,"R",0,"R",0,"R",0,"R",0,"R",159577824,"R",36797673,"R",21370052,"R",10150441,"R",3744549,"R",16175142,"R",7261893,"R",7735763,"R",3222890,"R",20550501,"R",7577573,"R",26967417,"R",10427151,"R",19260889,"R",11867931,"R",1213516,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",149505757,"R",54817624,"R",19466668,"R",17457070,"R",6355640,"R",1598193,"R",49810562,1 ,"R",7900000,"R",78093000,"R",2304000,"R",6929000,"R",17069864,"R",414298,"R",81283,"R",0,"R",0,"R",19834079,"R",37399524,"R",18138635,"R",0,"R",18138635,"R",19260889,2 ,"A",,"A",
100663,"R",1401568117,"R",1596570944,"R",1491318647,"R",3087889591,"R",4489457708,"R",212145497,"R",37720550,"R",436422325,"R",474142875,"R",939147663,"R",1311190509,"R",2250338172,"R",2724481047,"R",70124653,"R",700422872,"R",325976818,"R",359744678,"R",520853137,"R",1906997505,"R",145739205,"R",97702295,"R",2426797211,"R",966347606,"R",52636643,"R",3689222960,"R",2092652016,"R",0,"R",0,"R",3070308614,"R",2861961239,"R",208347375,"R",1698650130,"R",0,"R",1906997505,"R",209220942,"R",354409094,"R",10548285,"R",74720633,"R",2350134,"R",72370499,"R",37832436,"R",1708864967,"R",69216946,"R",0,"R",53445456,"R",2518258759,"R",0,"R",272166253,"R",0,"R",30531096,"R",107285,"R",0,"R",34006094,"R",157329178,"R",6612524,"R",500752430,"R",3019011189,"R",563090,"R",15997446,"R",19849142,"R",14887747,"R",51297425,"R",3070308614,"R",310526699,"R",184716814,"R",297969696,"R",124508402,"R",172938412,"R",80898004,"R",186799868,"R",113706753,"R",50272077,"R",19753161,"R",141993355,"R",56566275,"R",26559328,"R",80311188,"R",16719489,"R",1594590616,"R",576370867,"R",0,"R",0,"R",0,"R",0,"R",2861961239,"R",1173239765,"R",364392520,"R",72208461,"R",136113623,"R",33472892,"R",1082533978,1 ,"R",117135000,"R",1284396000,"R",70055000,"R",197907000,"R",20516139,"R",13270883,"R",233436,"R",24055,"R",13203153,"R",47026691,"R",94274357,"R",64113422,"R",3601607,"R",67715029,"R",26559328,1 ,"R",449231693,"R",495337612
100706,"R",120081297,"R",256833353,"R",74120765,"R",330954118,"R",451035415,"R",29180939,"R",5096238,"R",66901645,"R",71997883,"R",90220396,"R",165512330,"R",255732726,"R",327730609,"R",9472000,"R",171194003,"R",16114461,"R",9944805,"R",-54239524,"R",143013745,"R",34473663,"R",0,"R",367108295,"R",99963428,"R",18779116,"R",520324502,"R",251322093,"R",3006245,"R",0,"R",226808615,"R",227012240,"R",-203625,"R",143333729,"R",-116359,"R",143013745,"R",62397294,"R",72467222,"R",4117407,"R",2301327,"R",0,"R",2301327,"R",10572674,"R",0,"R",4422511,"R",0,"R",0,"R",156278435,"R",0,"R",47833247,"R",0,"R",7942044,"R",0,"R",0,"R",3289744,"R",10240992,"R",0,"R",69306027,"R",225584462,"R",0,"R",623722,"R",600431,"R",0,"R",1224153,"R",226808615,"R",69698533,"R",39430315,"R",72967940,"R",42888686,"R",7658531,"R",2487082,"R",13383035,"R",6408216,"R",20998648,"R",7237255,"R",24831258,"R",12388574,"R",2544291,"R",10010801,"R",1221404,"R",0,"R",0,"R",0,"R",0,"R",4919203,"R",0,"R",227012240,"R",112061532,"R",43827849,"R",13657991,"R",16043553,"R",3442330,"R",37978985,1 ,"R",16657143,"R",165132000,"R",9472000,"R",29180939,"R",7942044,"R",133794,"R",53856,"R",0,"R",4474865,"R",24012860,"R",36617419,"R",32151181,"R",1921947,"R",34073128,"R",2544291,1 ,"R",75144579,"R",75974640
100724,"R",53343450,"R",281044232,"R",1980912,"R",283025144,"R",336368594,"R",18755890,"R",6427493,"R",33788953,"R",40216446,"R",199160002,"R",81780592,"R",280940594,"R",321157040,"R",9035000,"R",78602620,"R",12598474,"R",250000,"R",-66518650,"R",24932444,"R",21152898,"R",86942823,"R",277523895,"R",27848194,"R",385049,"R",413852859,"R",144552645,"Z",0,"R",11744019,"R",143188470,"R",140341764,"R",2846706,"R",22085738,"R",0,"R",24932444,"R",45278161,"R",12868155,"R",3676089,"R",2886528,"R",0,"R",2886528,"R",8632792,"R",0,"R",0,"R",0,"R",9195144,"R",82536869,"R",0,"R",42946136,"R",0,"R",15542736,"Z",0,"Z",0,"R",21150,"R",1198459,"R",0,"R",59708481,"R",142245350,"R",943120,"Z",0,"R",0,"R",0,"R",943120,"R",143188470,"R",40147376,"R",23215560,"R",4252567,"R",1504958,"R",4523267,"R",802779,"R",12078035,"R",4443154,"R",17139324,"R",8109057,"R",32505287,"R",10629807,"R",18392756,"R",11303152,"R",2246242,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",140341764,"R",50951557,"R",14772509,"R",11718173,"R",10953608,"R",10997647,"R",40948270,1 ,"R",6540871,"R",77104865,"R",9035000,"R",13096905,"R",15542736,"R",316553,"R",0,"R",0,"R",2533467,"R",10756900,"R",29149656,"R",7153171,"R",3603729,"R",10756900,"R",18392756,1 ,"R",92584413,"R",100905446
100733,"R",3353334,"R",12549345,"R",10955530,"R",23504875,"R",26858209,"R",4752464,"R",0,"R",3329642,"R",3329642,"R",0,"R",18342000,"R",18342000,"R",21671642,"R",665000,"R",12549345,"R",0,"R",0,"R",-3275314,"R",9274031,"R",106750,"R",76802,"R",14846134,"R",1097003,"R",0,"R",16126689,"R",3577344,"R",0,"R",0,"R",21884517,"R",22402138,"R",-517621,"R",9791652,"R",0,"R",9274031,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",20975716,"R",20975716,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",908801,"R",0,"R",908801,"R",21884517,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21884517,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22402138,"R",10594339,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",22402138,"R",10594339,"R",6945346,"R",0,"R",387445,"R",0,"R",4475008,1 ,"R",2283702,"R",18342000,"R",665000,"R",4752464,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",584449063,"R",1776852532,"R",1911322840,"R",3688175372,"R",4272624435,"R",158389969,"R",32336590,"R",562006476,"R",594343066,"R",1041305641,"R",644210425,"R",1685516066,"R",2279859132,"R",16054000,"R",1076735303,"R",386414207,"R",431499195,"R",240452567,"R",2135101272,"R",153641194,"R",104364136,"R",1974955301,"R",336596258,"R",105047275,"R",2674604164,"R",733574228,"R",42566781,"R",0,"R",1282802754,"R",1058483025,"R",224319729,"R",1910781543,"R",0,"R",2135101272,"R",482761041,"R",38142961,"R",31261415,"R",4853405,"R",1016793,"R",3836612,"R",202333172,"R",0,"R",12776616,"R",0,"R",59247356,"R",831375966,"R",0,"R",154836324,"R",0,"R",33873190,"R",0,"R",0,"R",56126778,"R",159687169,"R",2190314,"R",406713775,"R",1238089741,"R",0,"R",18696113,"R",23675029,"R",2341871,"R",44713013,"R",1282802754,"R",387462769,"R",186840992,"R",67367003,"R",22716180,"R",56657076,"R",26124173,"R",102000404,"R",45956407,"R",66997986,"R",27623672,"R",125280253,"R",46560093,"R",24573373,"R",224316891,"R",62933798,"R",0,"R",0,"R",0,"R",0,"R",3827270,"R",0,"R",1058483025,"R",418755315,"R",180234935,"R",89056426,"R",72374750,"R",37735938,"R",260325661,1 ,"R",76777201,"R",623398000,"R",16054000,"R",144365221,"R",26382270,"R",2814951,"R",505816,"R",0,"R",15498277,"R",222917848,"R",268119162,"R",237079280,"R",6466509,"R",243545789,"R",24573373,1 ,"R",683226537,"R",785374066
100760,"R",7883014,"R",21544111,"R",0,"R",21544111,"R",29427125,"R",2399798,"R",570000,"R",3879167,"R",4449167,"R",7505000,"R",13290003,"R",20795003,"R",25244170,"R",1161000,"R",13632401,"R",422373,"R",483563,"R",-9116584,"R",5421753,"R",1699274,"R",2365398,"R",32576656,"R",7677629,"R",6291,"R",44325248,"R",22781137,"R",0,"R",0,"R",20410375,"R",20072913,"R",337462,"R",5084291,"R",0,"R",5421753,"R",2117216,"R",1819725,"R",1271826,"R",0,"R",0,"R",0,"R",0,"A",,"R",203,"A",,"R",362800,"R",5571770,"R",0,"R",11058545,"R",0,"R",3778485,"R",0,"R",0,"R",0,"R",1575,"R",0,"R",14838605,"R",20410375,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20410375,"R",9028844,"R",4849303,"R",0,"R",0,"R",348723,"R",174294,"R",1317369,"R",353185,"R",3222227,"R",1553502,"R",4266219,"R",1717509,"R",1739890,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",149641,"R",0,"R",20072913,"R",8647793,"R",2795107,"R",1618441,"R",1030418,"R",318446,"R",5662708,1 ,"R",939508,"R",12852000,"R",1161000,"R",2236508,"R",3690656,"R",87829,"R",419154,"R",0,"R",0,"R",1087000,"R",5284639,"R",3544749,"R",0,"R",3544749,"R",1739890,1 ,"R",425935,"R",425822
100812,"R",17671270,"R",41444143,"R",8196576,"R",49640719,"R",67311989,"R",5258445,"R",1403785,"R",7469958,"R",8873743,"R",13691069,"R",28085829,"R",41776898,"R",50650641,"R",1380000,"R",26819824,"R",679017,"R",0,"R",-6959048,"R",20539793,"R",2593856,"R",1543148,"R",49633827,"R",3963322,"R",100633,"R",57834786,"R",16390643,"Z",0,"Z",0,"R",37510782,"R",35917147,"R",1593635,"R",18946158,"R",0,"R",20539793,"R",15426295,"R",411794,"R",2848429,"Z",0,"Z",0,"Z",0,"R",369232,"Z",0,"Z",0,"Z",0,"R",0,"R",19055750,"R",0,"R",12621764,"Z",0,"R",5341989,"Z",0,"Z",0,"R",0,"R",281693,"R",209586,"R",18455032,"R",37510782,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37510782,"R",18422991,"R",11405037,"Z",0,"Z",0,"Z",0,"Z",0,"R",3345333,"R",1863513,"R",3167806,"R",2038910,"R",6181241,"R",2706760,"R",3032502,"R",521249,"R",195878,"Z",0,"Z",0,"Z",0,"Z",0,"R",1246025,"R",0,"R",35917147,"R",18210098,"R",5353105,"R",3118323,"R",1179136,"R",513112,"R",7543373,1 ,"R",2583031,"R",27086000,"R",1380000,"R",4787910,"R",5341989,"R",178366,"R",124672,"R",0,"R",0,"R",798762,"R",6443789,"R",3411287,"Z",0,"R",3411287,"R",3032502,1 ,"R",3415582,"R",3673861
100830,"R",15845824,"R",106492633,"R",51788313,"R",158280946,"R",174126770,"R",12090420,"R",135000,"R",25284652,"R",25419652,"R",140000,"R",151858939,"R",151998939,"R",177418591,"R",1557074,"R",15614325,"R",27912424,"R",5223171,"R",-41508395,"R",7241525,"R",15105820,"R",5508513,"R",132525647,"R",31722440,"R",95822,"R",184958242,"R",78465609,"R",0,"R",0,"R",92821610,"R",88877336,"R",3944274,"R",3297251,"R",0,"R",7241525,"R",34236701,"R",1595103,"R",7153526,"R",724874,"R",149409,"R",575465,"R",9260037,"R",0,"R",2024111,"R",0,"R",972659,"R",55967011,"R",0,"R",22994919,"R",0,"R",8646404,"R",0,"R",0,"R",838905,"R",4352755,"R",0,"R",36832983,"R",92799994,"R",0,"R",9227,"R",12389,"R",0,"R",21616,"R",92821610,"R",29433182,"R",20925993,"R",421157,"R",241597,"R",10302591,"R",3296907,"R",4803156,"R",3258954,"R",6939545,"R",4039057,"R",10807662,"R",5398628,"R",3023856,"R",7184897,"R",982057,"R",0,"R",0,"R",0,"R",0,"R",15961290,"R",1400082,"R",88877336,"R",39543275,"R",13809724,"R",5154955,"R",5020230,"R",3916611,"R",21432541,1 ,"R",2178408,"R",60427303,"R",1405272,"R",12090420,"R",8646404,"R",196425,"R",42310,"R",0,"R",760398,"R",5994443,"R",15639980,"R",11005815,"R",1610309,"R",12616124,"R",3023856,1 ,"R",46195130,"R",50109520
100858,"R",476819472,"R",1474788379,"R",1077194741,"R",2551983120,"R",3028802592,"R",180326847,"R",30400042,"R",332616679,"R",363016721,"R",682813808,"R",737793436,"R",1420607244,"R",1783623965,"R",15974852,"R",1008288621,"R",182643388,"R",23695283,"R",194903330,"R",1409530622,"R",143972220,"R",239533854,"R",1677932166,"R",418732494,"R",66251921,"R",2546422655,"R",966521026,"R",0,"R",8731320,"R",1103147076,"R",1027764533,"R",75382543,"R",1334148079,"R",0,"R",1409530622,"R",417441869,"R",86081756,"R",8472091,"R",17047743,"R",2635285,"R",14412458,"R",148212946,"R",0,"R",46526100,"R",0,"R",25490691,"R",749273196,"Z",0,"R",231681077,"Z",0,"R",15730999,"Z",0,"Z",0,"R",45184576,"R",39585492,"R",0,"R",332182144,"R",1081455340,"Z",0,"R",21508764,"R",182972,"R",0,"R",21691736,"R",1103147076,"R",325435648,"R",178176329,"R",162394740,"R",64712586,"R",114010251,"R",44572814,"R",83876749,"R",41661961,"R",41103672,"R",18933046,"R",86508701,"R",53615486,"R",17302730,"R",197132041,"R",53910106,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",0,"R",1027764533,"R",455582328,"R",179880445,"R",96612674,"R",72337518,"R",19541029,"R",203810539,1 ,"R",25849974,"R",652704851,"R",15743310,"R",129479591,"R",15730999,"R",812314,"R",0,"R",0,"R",31539798,"R",83937993,"R",132021104,"R",107736594,"R",6981780,"R",114718374,"R",17302730,1 ,"R",657564107,"R",728995077
