unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03
"100636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"100654","7984072","","7984072","17068","3044426","3061494","19628345","","19628345","","","","1260817","12372613","13633430","5416","1048036","1053452","","","","12441","614409","626850","","","","451348","","451348","4932487","","4932487","","","","49729","12707","62436","","","","34341723","17092191","51433914","A",""
"100663","32672468","","32672468","","","","131050351","1428274","132478625","","","","19753341","73047210","92800551","147819","5950002","6097821","47622","1817729","1865351","4393200","29416257","33809457","","3769414","3769414","16848514","","16848514","13796765","","13796765","385804307","","385804307","16240299","362750","16603049","","","","620754686","115791636","736546322","A",""
"100672","931389","0","931389","","","","2367520","15914","2383434","","","","0","611065","611065","0","127680","127680","","","","","","","","","","551","","551","153090","","153090","","","","83964","1777","85741","","","","3536514","756436","4292950","A",""
"100690","231463","0","231463","","","","","","","","","","0","47912","47912","","","","","","","352277","0","352277","3507","0","3507","","","","3703","0","3703","","","","200364","0","200364","","","","791314","47912","839226","A",""
"100706","15036852","0","15036852","","","","28543129","0","28543129","","","","5011765","18887976","23899741","514358","781658","1296016","","","","393373","1861309","2254682","15939","23844","39783","","","","3385093","0","3385093","","","","2473967","823507","3297474","","","","55374476","22378294","77752770","A",""
"100724","7779208","0","7779208","0","0","0","18806737","0","18806737","0","0","0","0","8165938","8165938","0","417969","417969","0","0","0","0","148793","148793","0","0","0","3426","0","3426","4936400","0","4936400","","","","971060","9990","981050","0","0","0","32496831","8742690","41239521","A","0"
"100751","51220017","","51220017","","","","87877293","","87877293","","","","1742406","15816924","17559330","249579","4694656","4944235","18697","256642","275339","1245048","5277646","6522694","3050657","2114146","5164803","3122283","","3122283","50467211","","50467211","","","","6566935","230178","6797113","","","","205560126","28390192","233950318","A",""
"100760","1686638","","1686638","","","","4292187","21814","4314001","","","","","1493726","1493726","1000","278610","279610","","4834","4834","231689","122868","354557","","","","36549","","36549","438955","","438955","","","","221470","4310","225780","","","","6908488","1926162","8834650","A",""
"100779","249048","","249048","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","11649","","11649","0","","0","124225","","124225","0","","0","0","","0","28070","","28070","0","","0","412992","","412992","A",""
"100812","3475500","","3475500","","","","4976161","","4976161","","","","","931579","931579","","147578","147578","","387","387","6579","7500","14079","","","","","","","526023","","526023","","","","142779","590","143369","","","","9127042","1087634","10214676","A",""
"100821","292493","0","292493","5676","10824","16500","1241718","54439","1296157","516609","8934","525543","","383239","383239","21827","114589","136416","6082","11098","17180","4484","21588","26072","1779","1147","2926","13814","1760","15574","199665","0","199665","0","0","0","74466","20154","94620","3033","1501","4534","2381646","629273","3010919","A",""
"100830","7841638","","7841638","","","","14516432","","14516432","","","","5306","1985105","1990411","357682","3922305","4279987","9946","474361","484307","12325","370636","382961","338907","64262","403169","1002468","3247","1005715","3648865","","3648865","","","","726995","232186","959181","","","","28460564","7052102","35512666","A",""
"100858","40819160","","40819160","32932","14182134","14215066","135689226","","135689226","","2166089","2166089","2477120","17952156","20429276","351765","3515421","3867186","28367","17794","46161","1704533","15559885","17264418","632033","1989976","2622009","12138287","","12138287","38855010","","38855010","","","","8503708","2464102","10967810","","","","241232141","57847557","299079698","A",""
"100919","1144118","","1144118","338","126831","127169","4217932","","4217932","1518073","","1518073","","1026188","1026188","","38836","38836","","","","4202","9203","13405","","","","49306","","49306","","","","","","","116388","","116388","","","","7050357","1201058","8251415","A",""
"100937","13674496","0","13674496","0","0","0","0","0","0","0","0","0","0","721651","721651","0","983029","983029","0","0","0","1767025","1327018","3094043","1125251","1199716","2324967","377096","0","377096","3857476","0","3857476","0","0","0","129098","48043","177141","0","0","0","20930442","4279457","25209899","A","0"
"100964","659749","","659749","","70858","70858","1372877","7287","1380164","","","","","991497","991497","","","","","","","","","","","1312","1312","1072","","1072","128124","","128124","","","","67317","200","67517","","","","2229139","1071154","3300293","A",""
"100973","151188","","151188","","261488","261488","1184007","","1184007","","10652","10652","","507048","507048","","","","","","","","","","","","","7776","","7776","14535","","14535","","","","25401","","25401","","","","1382907","779188","2162095","A","66000"
"100991","475294","","475294","","99364","99364","1718882","18909","1737791","","","","","1628810","1628810","","33660","33660","","","","","500","500","","","","44784","","44784","61572","","61572","","","","70883","","70883","","","","2371415","1781243","4152658","A","99364"
"101028","1140428","","1140428","6325","","6325","2439095","13937","2453032","35000","825","35825","","574181","574181","","58637","58637","","","","42293","","42293","","","","","","","43757","","43757","","","","27189","","27189","","","","3734087","647580","4381667","A",""
"101037","378482","0","378482","","","","","","","","","","","894319","894319","1797927","74710","1872637","","12068","12068","","","","","","","33997","","33997","116376","","116376","","","","49998","","49998","","","","2376780","981097","3357877","A",""
"101073","1071672","0","1071672","0","0","0","","","","","","","0","1115162","1115162","0","","0","","","","411196","177731","588927","42912","8","42920","","","","492370","0","492370","","","","26055","0","26055","","","","2044205","1292901","3337106","A","0"
"101107","499196","","499196","3333","","3333","1907406","44542","1951948","","","","","969980","969980","","77216","77216","43781","","43781","","","","","","","60761","","60761","185217","","185217","","","","63281","","63281","","","","2762975","1091738","3854713","A",""
"101116","498812","0","498812","","","","","","","","","","0","","","","","","","","","","","","","","","","","","18179","0","18179","","","","589","0","589","","","","517580","0","517580","A",""
"101143","1341203","","1341203","","","","3489016","","3489016","","","","","1436404","1436404","","252340","252340","","","","","","","","","","","","","470983","","470983","","","","123583","2000","125583","","","","5424785","1690744","7115529","A",""
"101161","2446372","","2446372","","145911","145911","4585932","29121","4615053","191215","","191215","14707","1384628","1399335","","","","","","","","","","","","","","","","1264561","","1264561","","","","71075","","71075","","","","8573862","1559660","10133522","A","145911"
"101189","5801418","0","5801418","","","","","","","","","","0","1419460","1419460","0","1095413","1095413","","","","1037541","46412","1083953","7607","90983","98590","","","","1448500","0","1448500","","","","709921","0","709921","","","","9004987","2652268","11657255","A",""
"101198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"101204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"101213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"101240","4292171","","4292171","","83549","83549","10274665","238404","10513069","100000","","100000","","2575811","2575811","","582973","582973","","6000","6000","","","","","","","74367","","74367","1400300","","1400300","","","","155530","1654","157184","","","","16297033","3488391","19785424","A",""
"101286","2678113","","2678113","","140391","140391","7484566","57043","7541609","","","","","1208752","1208752","","9350","9350","","","","196","","196","","","","57206","","57206","1087162","","1087162","","","","96064","","96064","","","","11403307","1415536","12818843","A","140391"
"101295","2825577","","2825577","","","","7547841","261167","7809008","","","","9629","3037643","3047272","50000","49700","99700","","","","195614","","195614","","","","158904","","158904","1120066","","1120066","","","","90871","352282","443153","","","","11998502","3700792","15699294","A",""
"101301","1396402","","1396402","","","","3975842","168109","4143951","","","","","1351131","1351131","","","","","","","622","","622","","","","48085","","48085","449480","","449480","","","","146822","","146822","","","","6017253","1519240","7536493","A",""
"101347","403780","","403780","0","10090","10090","2025368","16094","2041462","","","","1779","244610","246389","","","","","","","","1208","1208","","","","40716","","40716","85216","","85216","","","","91322","","91322","","","","2648181","272002","2920183","A","10090"
"101383","497235","0","497235","0","61065","61065","1754627","159954","1914581","0","0","0","0","430330","430330","0","0","0","0","0","0","0","0","0","0","0","0","48015","0","48015","139236","0","139236","0","0","0","80298","0","80298","","","","2519411","651349","3170760","A",""
"101435","3964447","0","3964447","","","","","","","","","","49988","328367","378355","0","343349","343349","","","","2074753","0","2074753","416369","0","416369","","","","1438772","0","1438772","","","","130266","0","130266","","","","8074595","671716","8746311","A",""
"101453","164278","0","164278","0","0","0","0","0","0","0","0","0","0","74331","74331","0","0","0","0","0","0","679692","670982","1350674","3908","12035","15943","11294","1176","12470","65381","0","65381","0","0","0","22379","291","22670","0","0","0","946932","758815","1705747","A","0"
"101462","676783","","676783","1491","","1491","2080771","46714","2127485","","","","","947728","947728","","","","","","","","","","","","","","","","142419","","142419","","","","36413","1421","37834","","","","2937877","995863","3933740","A",""
"101480","11716182","","11716182","","","","21443223","18579","21461802","","","","93333","4426580","4519913","22394","833721","856115","","65122","65122","52195","156089","208284","300769","26120","326889","273527","","273527","4261431","","4261431","","","","687927","","687927","","","","38850981","5526211","44377192","A",""
"101499","724215","","724215","","80463","80463","2207823","15289","2223112","","","","","931165","931165","","","","","","","117305","","117305","43660","6035","49695","3886","","3886","245380","","245380","","","","36781","65","36846","","","","3379050","1033017","4412067","A","80463"
"101505","5297727","0","5297727","","","","10314945","34857","10349802","","","","1035","3599615","3600650","","41850","41850","","2951","2951","24700","54514","79214","75779","","75779","143973","","143973","1346385","","1346385","","","","76616","","76616","","","","17281160","3733787","21014947","A",""
"101514","4865146","","4865146","","324391","324391","11657516","110365","11767881","","","","","1613450","1613450","","398001","398001","","529","529","","3000","3000","","","","131082","","131082","1244229","5073460","6317689","","","","245466","19700","265166","","","","18143439","7542896","25686335","A",""
"101523","600978","","600978","","244529","244529","2472279","21904","2494183","","","","","1027338","1027338","","45389","45389","","","","","","","","","","39285","","39285","167140","","167140","","","","162548","625","163173","","","","3442230","1339785","4782015","A","244529"
"101541","1500015","0","1500015","","","","","","","","","","","180931","180931","","","","0","0","0","1470929","0","1470929","140000","0","140000","","","","328181","0","328181","","","","","","","","","","3439125","180931","3620056","A",""
"101569","1285762","","1285762","","1268997","1268997","4646029","40154","4686183","","","","","1517127","1517127","140250","97779","238029","120700","51509","172209","","","","","","","80671","26075","106746","179390","","179390","","","","","","","","","","6452802","3001641","9454443","A",""
"101587","2097363","30751","2128114","","","","6199973","0","6199973","","","","0","1658726","1658726","0","186576","186576","0","97861","97861","0","106985","106985","","","","","","","3098119","0","3098119","","","","275620","4245","279865","","","","11671075","2085144","13756219","A",""
"101602","870826","","870826","256","","256","1970689","133503","2104192","","","","23139","1272329","1295468","","","","","","","","","","","","","","","","221548","","221548","","","","99982","","99982","","","","3186440","1405832","4592272","A",""
"101648","1900683","0","1900683","","","","303138","0","303138","","","","0","108961","108961","","","","","","","17669","0","17669","","","","","","","424742","0","424742","","","","132146","0","132146","","","","2778378","108961","2887339","A",""
"101675","2297728","0","2297728","0","0","0","0","263077","263077","","","","51009","2221920","2272929","0","0","0","0","0","0","1210964","151770","1362734","101182","0","101182","52264","7160","59424","854687","0","854687","0","0","0","29463","0","29463","","","","4597297","2643927","7241224","A",""
"101693","5561600","0","5561600","0","0","0","0","0","0","0","0","0","0","904749","904749","0","0","0","0","0","0","1835485","183600","2019085","0","0","0","0","0","0","1110085","0","1110085","0","0","0","270293","0","270293","0","0","0","8777463","1088349","9865812","A","0"
"101709","5588233","","5588233","","","","10315420","","10315420","","","","","1891044","1891044","719773","412905","1132678","","398","398","","","","","","","","","","5062439","","5062439","","","","789660","16568","806228","","","","22475525","2320915","24796440","A",""
"101736","1481140","","1481140","273","264158","264431","4361791","75693","4437484","","","","","1117643","1117643","","","","","","","","","","","","","40939","","40939","538356","","538356","","","","41194","","41194","","","","6463693","1457494","7921187","A",""
"101879","7224227","0","7224227","0","0","0","15769885","0","15769885","180863","0","180863","37990","2653986","2691976","0","241519","241519","0","6649","6649","0","5314","5314","165389","560","165949","0","0","0","2188886","25349","2214235","0","0","0","1088082","0","1088082","0","0","0","26655322","2933377","29588699","A",""
"101897","1023310","","1023310","2785","","2785","3121116","","3121116","","","","","792867","792867","","14947","14947","","","","20931","900","21831","550","684","1234","","","","41630","","41630","","","","16728","","16728","","","","4227050","809398","5036448","A",""
"101903","1564755","","1564755","","214138","214138","4444049","72620","4516669","","","","","2338615","2338615","","","","","","","100","","100","","","","42105","","42105","634073","","634073","","","","116473","","116473","","","","6801555","2625373","9426928","A","214138"
"101912","6746768","0","6746768","","","","","","","","","","313117","2069320","2382437","","","","","","","5060412","368488","5428900","","","","58559","0","58559","2991445","0","2991445","","","","90863","34949","125812","403033","0","403033","15664197","2472757","18136954","A",""
"101949","849530","0","849530","0","92358","92358","1610938","6311","1617249","0","0","0","0","845088","845088","15000","0","15000","0","0","0","1240","0","1240","0","0","0","0","0","0","208217","0","208217","0","0","0","60524","0","60524","0","0","0","2745449","943757","3689206","A","92358"
"101967","367513","0","367513","0","282","282","206","35","241","204","0","204","","173504","173504","7","7087","7094","0","391","391","3","44","47","0","0","0","1276","0","1276","17086","0","17086","0","0","0","9119","83","9202","113","0","113","395527","181426","576953","A",""
"101994","375430","","375430","1411","","1411","1411462","9289","1420751","","","","","292291","292291","","142619","142619","","848","848","","","","","","","20369","","20369","146713","","146713","","","","29775","","29775","","","","1985160","445047","2430207","A",""
"102030","1422130","","1422130","","","","3764671","19782","3784453","","","","","2655206","2655206","93500","","93500","","","","508570","250","508820","9307","","9307","","","","386826","","386826","","","","161266","2244","163510","","","","6346270","2677482","9023752","A",""
"102049","26525143","0","26525143","","","","","","","","","","0","1060165","1060165","","","","","","","4550084","1208880","5758964","2021995","1882469","3904464","","","","7704181","0","7704181","","","","1964124","311807","2275931","","","","42765527","4463321","47228848","A",""
"102058","391228","0","391228","","","","","","","","","","0","1309765","1309765","","","","","","","557469","0","557469","","","","","","","92953","0","92953","","","","647968","0","647968","","","","1689618","1309765","2999383","A",""
"102067","3386468","","3386468","","","","7637338","37843","7675181","","","","243771","2369460","2613231","","55059","55059","","","","45","","45","","","","157599","","157599","1004834","","1004834","","","","403860","","403860","","","","12833915","2462362","15296277","A",""
"102076","1056629","","1056629","126","90643","90769","2525648","13339","2538987","1000","","1000","5715","659728","665443","","172","172","","","","2300","","2300","25774","19369","45143","5219","","5219","518458","","518458","","","","22594","","22594","","","","4163463","783251","4946714","A","89639"
"102094","21258155","","21258155","","","","49138975","","49138975","2066856","","2066856","2240166","12008269","14248435","103930","1764870","1868800","","","","13075026","2703519","15778545","842684","166138","1008822","1090673","","1090673","9614068","","9614068","146395201","","146395201","5779498","","5779498","","","","251605232","16642796","268248028","A",""
"102100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"102155","472582","0","472582","0","10821","10821","163","0","163","","","","14630","188568","203198","4168","23618","27786","110","1679","1789","823","48","871","","","","4438","0","4438","74774","0","74774","","","","15940","48","15988","2549","0","2549","590177","224782","814959","A",""
"102164","1000000","0","1000000","0","7038","7038","5153","867","6020","5101","0","5101","","109958","109958","177","176900","177077","0","9763","9763","73","1089","1162","0","0","0","31855","0","31855","426502","0","426502","0","0","0","227623","2067","229690","2834","0","2834","1699318","307682","2007000","A",""
"102225","1165432","0","1165432","4876","0","4876","3144449","60069","3204518","0","0","0","0","790824","790824","0","132044","132044","0","0","0","0","0","0","0","0","0","60750","0","60750","370752","35249","406001","0","0","0","28644","0","28644","0","0","0","4774903","1018186","5793089","A","0"
"102234","9472542","0","9472542","0","0","0","0","0","0","0","0","0","0","1494969","1494969","0","0","0","0","18288","18288","1187255","400302","1587557","618630","77181","695811","0","0","0","4161751","0","4161751","0","0","0","110930","26340","137270","0","0","0","15551108","2017080","17568188","A",""
"102261","387532","38126","425658","","","","","","","","","","0","119538","119538","","","","","","","623721","167291","791012","","","","","","","232453","0","232453","","","","70678","20553","91231","","","","1314384","345508","1659892","A",""
"102270","2797645","0","2797645","0","0","0","0","0","0","0","0","0","0","1826806","1826806","0","0","0","0","0","0","1284784","871133","2155917","723901","189624","913525","0","0","0","1610042","38503","1648545","0","0","0","372805","0","372805","0","0","0","6789177","2926066","9715243","A","0"
"102298","2807899","0","2807899","","","","402681","0","402681","","","","0","2502347","2502347","","","","","","","1054170","510222","1564392","371610","0","371610","","","","1290750","0","1290750","","","","124493","6738","131231","","","","6051603","3019307","9070910","A",""
"102313","583697","","583697","0","0","0","2421181","388520","2809701","","","","","1849208","1849208","9595","134460","144055","37429","98956","136385","","","","","","","6403","","6403","187396","","187396","","","","66164","","66164","","","","3311865","2471144","5783009","A","0"
"102322","2992109","","2992109","","","","2664365","","2664365","","","","0","601959","601959","14498","","14498","","","","196427","","196427","","","","","","","607152","","607152","","","","356275","","356275","","","","6830826","601959","7432785","A",""
"102331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A",""
"102359","2404991","","2404991","","","","2947082","","2947082","","","","10060","554329","564389","","","","","","","","","","","","","","","","712931","","712931","","","","222694","","222694","","","","6297758","554329","6852087","A",""
