unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b235,b245,b255,b265,b275,bline05,bline14,bline15,bline17,bline20,bline21,bline18,part
"100654","11780498","200927","11981425","10580848","274401","4551426","4825827","1646025","518818","5478089","5996907","2718491","2507522","311213","2818735","1658637","3661371","","3661371","1934374","7999682","2354726","10354408","3879150","2831908","","2831908","1198659","1173052","4183104","5356156","","","","","","","30747252","17079485","47826737","5294270","","5294270","","","","","","","36041522","17079485","53121007","23616184","3409139","","924798","27950121","1221816","507654","","","","","","B"
"100663","104636157","8341840","112977997","76163883","8399167","80151395","88550562","45454793","10760000","18007865","28767865","14906605","23317195","748041","24065236","14421819","8064621","205561","8270182","4178775","22713900","42422","22756322","15622626","23574056","7564","23581620","8244940","1901450","8286948","10188398","7754371","","7754371","7521640","743283","8264923","218642557","116534919","335177476","12794011","","12794011","364405436","","364405436","","","","595842004","116534919","712376923","178993441","28939535","","10320134","218253110","4971586","1404141","-757358","1513107","","","28989486","B"
"100672","1853847","248045","2101892","1333212","0","0","0","0","0","0","0","0","156521","37386","193907","108291","228801","228854","457655","302197","526596","0","526596","277842","366979","16402","383381","104221","41326","220287","261613","18548","0","18548","98916","0","98916","3291534","750974","4042508","149992","0","149992","","","","","","","3441526","750974","4192500","2125763","73404","","300886","2500053","104908","","","","","","","B"
"100690","329282","0","329282","242989","","","","","","","","","307692","0","307692","191549","32470","0","32470","22542","114745","0","114745","39197","44280","0","44280","0","85058","44328","129386","95662","0","95662","-22605","2854","-19751","986584","47182","1033766","2475","0","2475","","","","","","","989059","47182","1036241","496277","107205","0","0","603482","37185","0","0","","","","","B"
"100706","24409271","1047139","25456410","16513490","5038279","18465672","23503951","12876743","283235","173593","456828","266774","5478124","16972","5495096","3094106","3230409","41410","3271819","1599033","5921525","15494","5937019","4344581","3524243","0","3524243","1375584","1418465","1794506","3212971","2135097","0","2135097","803357","442709","1246066","52242005","21997495","74239500","3127451","0","3127451","","","","","","","55369456","21997495","77366951","40070311","5817039","","2003051","47890401","1743382","419265","175929","","","","","B"
"100724","9528554","1275911","10804465","8947111","34539","461668","496207","140183","726934","484755","1211689","378371","1704131","454104","2158235","1225374","3151428","607898","3759326","1680996","4957216","470762","5427978","1832383","3233291","26283","3259574","1941423","886781","4713078","5599859","737748","0","737748","7198784","0","7198784","32159406","8494459","40653865","5456529","248231","5704760","","","","","","","37615935","8742690","46358625","16145841","2298279","0","0","18444120","765863","742109","0","","","","","B"
"100751","60661289","4094678","64755967","43336740","18926559","6979123","25905682","17685017","7957027","7869207","15826234","8114373","26929251","962638","27891889","14804791","4670052","292992","4963044","2778814","15305731","192742","15498473","10925902","13682489","150144","13832633","8247202","6442688","7665352","14108040","4882016","","4882016","-197720","","-197720","159259382","28206876","187466258","50044206","183314","50227520","","","","","","","209303588","28390190","237693778","105892839","25615202","","","131508041","8546394","3684278","8489390","","","","","B"
"100760","3317136","885746","4202882","3108258","63790","","63790","","65","112116","112181","70125","482745","50616","533361","385711","632808","37934","670742","444073","713181","3399","716580","490019","615556","11847","627403","229360","455898","822905","1278803","25935","","25935","31035","","31035","6338149","1924563","8262712","440543","","440543","","","","","","","6778692","1924563","8703255","4727546","105284","","763913","5596743","220134","","4000","","","","","B"
"100779","137269","","137269","92382","0","","0","0","41651","","41651","15702","5755","","5755","2901","0","","0","0","190787","","190787","86236","10627","","10627","4038","28603","","28603","0","","0","0","","0","414692","","414692","0","","0","0","","0","0","","0","414692","","414692","201259","48228","321","588","250396","","","","","","","","B"
"100812","4344590","142958","4487548","3619796","","","","","","1468","1468","","639631","15448","655079","439920","982572","21969","1004541","776699","974432","180418","1154850","706285","958615","","958615","498512","152058","729926","881984","106924","","106924","330000","","330000","8488822","1092187","9581009","675623","","675623","","","","","","","9164445","1092187","10256632","6041212","269834","","771674","7082720","282967","","","","","","","B"
