unitid,b011,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072",b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,"xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"100654","11556155","48309991","4226633","0","4226633","0","0","0","0","0","0","35124577","17412047","52536624","23864283","3770791","0","923213","28558287","1224442","511783","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,"231987","11788142","10871765","322275","4748171","5070446","1892720","481707","4872248","5353955","3015583","2314737","318446","2633183","1629336","3601275","0","3601275","1883049","8628718","3011975","11640693","3523201","2807215","0","2807215","1048629","1185862","4229220","5415082","0","0","0","0","0","0","30897944","17412047",10,10,10,13,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,13,10,10,10,10,13,13,13,13,13
"100663","104956052","363624949","13822677","0","13822677","435372482","0","435372482","0","0","0","675942053","136878055","812820108","184604124","27391986","0","9015598","221011708","5832256","1356798","105612","4077352","27985582","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"9325347","114281399","77787140","7370461","82911556","90282017","47141951","16063896","31887407","47951303","20066645","21839188","527354","22366542","13495709","7991350","355414","8346764","4220900","23798805","50580","23849385","14640203","19540407","7689","19548096","7251576","1763184","9932181","11695365","8681811","0","8681811","14741740","1880527","16622267","226746894","136878055",10,10,10,10,10,10,10,10,10,10,13,11,10,10,10,10,10,10,10,13,10,10,13,10,13,13,13,10,10,10,10,10,13,10,10,10,10,10,10,10,13,13
"100672","1973697","4172016","134779","0","134779","0","0","0","0","0","0","3535054","771741","4306795","2166772","209700","203103","0","2579575","98912","0","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"247102","2220799","1350593","0","0","0","0","0","0","0","0","180439","17529","197968","110549","242301","181245","423546","292984","571736","0","571736","307421","387690","19726","407416","105225","44412","306139","350551","0","0","0","0","0","0","3400275","771741",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,10,13,10,10,13,13,13,13,13,13
"100690","620561","1421016","3312","0","3312","0","0","0","0","0","0","1367292","57036","1424328","619657","160691","0","0","780348","36940","0","0","0","0","0","0",10,13,10,10,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,13,13,"0","620561","273370","0","0","0","0","0","0","0","0","481766","1654","483420","270689","93660","479","94139","73719","0","0","0","0","46633","0","46633","1879","69041","51365","120406","0","0","0","52319","3538","55857","1363980","57036",13,13,10,13,10,10,10,10,10,13,13,13,10,10,10,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13
"100706","24845545","79972056","4039760","0","4039760","0","0","0","0","0","0","57300580","26711236","84011816","40329326","5712325","0","1710911","47752562","1971389","0","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"452600","25298145","17590843","4809027","22968338","27777365","12443074","83243","204666","287909","185208","5732141","81702","5813843","3253943","3371497","35902","3407399","1539453","5298110","18559","5316669","3932067","3725467","0","3725467","1384738","1333621","2268830","3602451","2109924","0","2109924","1952245","680639","2632884","53260820","26711236",10,10,10,13,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,13,10,10,10,13,13,13,13,13,13
"100724","10051664","37969689","5789155","253550","6042705","0","0","0","0","0","0","33865977","10146417","44012394","17907681","2389247","0","0","20296928","1103511","750310","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"1450624","11502288","9484102","45072","490388","535460","188856","138424","394382","532806","170135","1886328","530638","2416966","1554007","3379903","687826","4067729","2313005","5240812","349703","5590515","2180561","3795895","26721","3822616","2017015","1182299","5962585","7144884","802916","0","802916","1553509","0","1553509","28076822","9892867",10,10,10,10,10,10,21,21,21,10,13,10,10,13,10,18,10,18,10,10,10,13,13,13,13,13,13,18,10,18,10,10,13,13,10,10,10,13,13,13,13,13
"100733","0","143609","0","0","0","0","0","0","0","0","0","137142","6467","143609","","","","","","0","0","0","0","0","0","0",13,13,98,31,13,13,13,31,13,10,10,31,13,13,13,31,13,13,13,31,10,13,"0","0","","0","0","0","","0","6467","6467","","0","0","0","","0","0","0","","8316","0","8316","","0","0","0","","0","0","0","0","0","0","128826","0","128826","137142","6467",10,31,13,13,13,31,13,13,13,13,13,13,10,13,10,10,10,10,13,13,13,13,13,13,13,13,13,10,10,10,31,31,31,31,31,13,13,13,13,13,13,13
"100751","58462793","186609012","50295012","175377","50470389","0","0","0","0","0","0","207201251","29878150","237079401","106583434","23675479","0","0","130258913","8348972","3872812","8449784","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"4608904","63071697","43485598","18188664","8514863","26703527","18098113","8016780","7543367","15560147","7911140","25988997","807168","26796165","14812103","4538436","331340","4869776","2826605","15248888","275865","15524753","11285696","13336445","112285","13448730","8164179","6984528","8398801","15383329","5300542","0","5300542","840166","-889820","-49654","156906239","29702773",10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,10,13,13,13,13
"100760","3375820","9081049","498067","0","498067","0","0","0","0","0","0","7135444","2443672","9579116","5092041","481497","0","403999","5977537","241989","0","0","0","0","0","0",10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"1215091","4590911","3361767","0","0","0","0","379","101594","101973","72410","515615","72445","588060","391455","613053","302079","915132","612777","700066","2147","702213","444837","689333","6330","695663","208795","643559","743986","1387545","99552","0","99552","0","0","0","6637377","2443672",10,10,10,10,10,10,10,10,10,10,13,10,13,13,13,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,13,10,10,10,13,13,13,13,13,13
"100779","148782","428604","0","","0","0","","0","0","","0","428604","","428604","209007","48228","321","588","258144","1957","","","","","","",,,,,,,,,,,,,,,,,,,,,,,"","148782","100130","0","","0","0","41651","","41651","15702","5755","","5755","2901","0","","0","0","190787","","190787","86236","10627","","10627","4038","31002","","31002","0","","0","0","","0","428604","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
