unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"100654","10811349","","10811349","17068","2814786","2831854","20616852","","20616852","","","","1058453","12362327","13420780","53125","1211433","1264558","","","","57829","761239","819068","","","","452123","","452123","4580162","","4580162","","","","93088","10046","103134","","","","37740049","17159831","54899880","",10,31,10,10,10,10,10,31,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100663","39818765","","39818765","","","","136360826","1330313","137691139","","","","24629968","101587626","126217594","149729","5380877","5530606","68572","3420656","3489228","15208517","34469005","49677522","","4716729","4716729","17374737","","17374737","15283626","","15283626","487914628","","487914628","15111948","727119","15839067","","","","751921316","151632325","903553641","",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,31,10,10,31,10,10,31,10,10,10,10,31,31,31,10,10,10,31
"100672","900771","","900771","","","","2576747","16770","2593517","","288","288","","707659","707659","","140864","140864","","","","","","","","","","1548","","1548","127977","","127977","","","","59178","","59178","","","","3666221","865581","4531802","",10,31,10,31,31,31,10,10,10,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100690","287930","","287930","","","","","","","","","","","51355","51355","","","","","","","1352834","","1352834","8852","","8852","","","","0","","0","","","","4427","","4427","","","","1654043","51355","1705398","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,11,31,11,10,31,10,31,31,31,11,31,11,31,31,31,10,31,10,31,31,31,10,10,10,31
"100706","17897100","","17897100","","","","29822016","","29822016","","","","4822042","22972613","27794655","81132","1332467","1413599","169840","68336","238176","621286","3194564","3815850","16124","22288","38412","0","","0","4378793","","4378793","","","","3297532","114515","3412047","","","","61105865","27704783","88810648","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,31,11,16,31,16,31,31,31,10,10,10,31,31,31,10,10,10,31
"100724","11760150","","11760150","","","","20246689","","20246689","","","","","11041722","11041722","","356418","356418","","4800","4800","","342883","342883","","39850","39850","57646","","57646","5380152","","5380152","","","","925489","68505","993994","","","","38370126","11854178","50224304","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,10,10,31,10,10,31,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100733","","","","","","","190124","","190124","","","","","","","","","","","","","","65000","65000","","","","","","","","","","","","","32668","","32668","","","","222792","65000","287792","",31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31
"100751","56511406","28787","56540193","","","","91471554","21966","91493520","","","","2083848","19631051","21714899","195752","4895289","5091041","36005","330153","366158","938732","9397977","10336709","3824755","2598133","6422888","3930704","","3930704","53813764","","53813764","","","","9708215","92125","9800340","","","","222514735","36995481","259510216","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100760","2368423","0","2368423","","","","4479169","147584","4626753","","","","","2167875","2167875","","101372","101372","","17953","17953","7261","105923","113184","","","","22458","","22458","489845","","489845","","","","131357","4307","135664","","","","7498513","2545014","10043527","",10,11,11,31,31,31,10,10,10,31,31,31,31,11,11,31,10,10,31,10,10,10,10,10,31,31,31,11,31,11,10,31,10,31,31,31,10,11,11,31,31,31,11,11,11,31
"100812","4517534","","4517534","","","","5433617","","5433617","","","","838","1520845","1521683","","244728","244728","","","","538","","538","","","","","","","598204","","598204","","","","135902","30962","166864","","","","10686633","1796535","12483168","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31,10,10,31,31,31,10,31,10,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
