unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"100654","12186868","283983","12470851","11006972","423880","6398142","6822022","2210833","472679","4023739","4496418","2865546","2698152","328563","3026715","1786425","3990203","0","3990203","1936899","8438612","1847901","10286513","3335013","2887459","0","2887459","848484","1082123","4267457","5349580","","","","","","","32179976","17149785","49329761","1069959","0","1069959","","","","","","","33249935","17149785","50399720","23990172","4185736","","928743","29104651","1275658","226698","0","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,10,11,31,31,31,31
"100663","120382952","11155171","131538123","89278516","7861209","95425641","103286850","53470675","15614114","33371761","48985875","22233991","23232234","349341","23581575","14598835","8990707","451563","9442270","4738135","24535910","38852","24574762","15673858","19926415","6505","19932920","7873791","2197207","10833491","13030698","8632534","0","8632534","8291639","3895886","12187525","239664921","155528211","395193132","14409243","0","14409243","501182619","0","501182619","","","","755256783","155528211","910784994","207867801","35170075","","9867069","252904945","6812174","1390993","-498056","4647773","35241582","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,10,10,31,10,10,10,10,10,10,10,31,31
"100672","1927129","254810","2181939","1319703","","","","","","","","","176105","16770","192875","120888","205198","321804","527002","346282","701220","0","701220","285224","364464","14734","379198","114180","41052","257463","298515","","","","","","","3415168","865581","4280749","120719","0","120719","","","","","","","3535887","865581","4401468","2186277","216426","","220690","2623393","95827","","","","","","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,31,31,31,31,31,31
"100690","857675","0","857675","319568","","","","","","","","","45636","0","45636","27682","87727","0","87727","68666","492988","0","492988","241968","71760","0","71760","2071","90365","46575","136940","","","","5279","-4811","468","1651430","41764","1693194","0","","0","","","","","","","1651430","41764","1693194","659955","186592","","","846547","45635","","","","","","",10,31,10,10,31,31,31,31,31,31,31,31,11,31,11,11,10,31,10,10,16,31,18,16,10,31,10,10,10,10,10,31,31,31,10,10,10,11,10,11,11,31,11,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"100706","26010982","1403215","27414197","18509260","4948937","23821728","28770665","13737448","46459","106236","152695","104905","5902728","2272","5905000","3353955","3693706","69912","3763618","1700275","5947004","13631","5960635","4144346","3734698","0","3734698","1411273","1877774","2173274","4051048","2464576","0","2464576","1534187","66580","1600767","56161051","27656848","83817899","4375889","0","4375889","","","","","","","60536940","27656848","88193788","42961462","6822376","1820538","","51604376","1922599","1160205","124997","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,10,10,31,31,31,31
"100724","10654089","1502377","12156466","9944398","67061","508079","575140","130582","153024","787466","940490","355298","2201754","189463","2391217","1534742","4098956","510024","4608980","2501779","6225818","865676","7091494","2330114","4387198","22940","4410138","2194188","810627","6269822","7080449","1337955","0","1337955","423368","0","423368","30359850","10655847","41015697","6529738","217675","6747413","","","","","","","36889588","10873522","47763110","18991101","2536567","","","21527668","1094263","680258","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31
"100733","","","","","","","","","0","2743","2743","","","","","","","","","","0","","0","","","","","","","","","","","","14589","0","14589","14589","2743","17332","","","","","","","","","","14589","2743","17332","","","","","","","","","","","","",31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,11,31,11,31,31,31,31,31,31,31,31,31,31,31,11,31,11,10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31
"100751","61459806","6837025","68296831","44875874","18334435","9704197","28038632","18675665","8510429","8838448","17348877","8562128","27181682","1622087","28803769","15904566","4801771","325222","5126993","2962066","16225456","233043","16458499","11693123","13970690","230577","14201267","8382393","6913205","9004654","15917859","5248339","0","5248339","3735984","740899","4476883","166381797","37536152","203917949","53516133","200228","53716361","","","","","","","219897930","37736380","257634310","111055815","23792268","","","134848083","8528730","3804863","10032311","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"100760","3374918","1417326","4792244","3600339","31523","0","31523","24285","1064","103156","104220","72852","569608","61748","631356","412156","614891","133653","748544","492998","788418","547","788965","439384","634224","1809","636033","192281","707487","813868","1521355","162164","0","162164","101822","0","101822","6986119","2532107","9518226","463452","12907","476359","","","","","","","7449571","2545014","9994585","5234295","1031743","","","6266038","251823","","-82475","","","","",10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,11,11,11,11,10,11,31,31,31,31,31,31,10,11,11,10,10,31,31,10,10,31,10,31,31,31,31
"100812","4910095","220509","5130604","3815334","0","24477","24477","","","","","","683999","22335","706334","447073","1086507","25138","1111645","835309","1121954","171738","1293692","809533","1027083","0","1027083","527890","208041","1229219","1437260","117401","0","117401","791985","-1019","790966","9947065","1692397","11639462","562148","0","562148","","","","","","","10509213","1692397","12201610","6435139","488440","","826903","7750482","336755","0","-166985","","","","",10,10,10,10,31,10,10,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,10,10,31,31,31,31
