unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"100654","12551814","0","12551814","17068","3145087","3162155","21909811","0","21909811","0","0","0","1567522","13745532","15313054","14000","760214","774214","0","3956","3956","1000","1448519","1449519","0","0","0","322970","0","322970","6296578","0","6296578","0","0","0","188777","6552","195329","0","0","0","42869540","19109860","61979400","A","0",10,31,10,10,10,10,10,31,10,31,31,31,10,10,10,10,10,10,31,10,10,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100663","42147768","0","42147768","0","0","0","145236294","1205860","146442154","0","0","0","26667556","94442017","121109573","183210","6518607","6701817","83484","3129088","3212572","7810213","33751442","41561655","1688","5410826","5412514","18514922","0","18514922","15866112","0","15866112","452676206","0","452676206","40092156","658695","40750851","0","0","0","749279609","145116535","894396144","A","0",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,31,10,10,10,10,31,31,31,10,10,10,31
"100672","854412","0","854412","0","0","0","2130219","115035","2245254","0","0","0","0","447592","447592","0","170069","170069","0","65","65","0","0","0","0","0","0","1026","0","1026","113126","0","113126","0","0","0","122839","0","122839","0","0","0","3221622","732761","3954383","A","0",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,31,11,31,31,31,10,11,11,31
"100690","430560","0","430560","0","0","0","0","0","0","0","0","0","0","43047","43047","0","0","0","0","0","0","1306403","0","1306403","10131","0","10131","0","0","0","0","0","0","0","0","0","23352","0","23352","0","0","0","1770446","43047","1813493","A","0",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31
"100706","19524347","0","19524347","0","0","0","31245127","0","31245127","0","0","0","4693076","19712171","24405247","95953","1433509","1529462","19754","25067","44821","634628","3499508","4134136","17759","8512","26271","0","0","0","3425321","0","3425321","0","0","0","3716400","0","3716400","0","0","0","63372365","24678767","88051132","A","0",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100724","12425541","0","12425541","0","0","0","21249334","0","21249334","0","0","0","0","10480609","10480609","0","644888","644888","0","3400","3400","0","264009","264009","0","16706","16706","64884","0","64884","6879560","0","6879560","0","0","0","836492","856","837348","0","0","0","41455811","11410468","52866279","A","0",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,10,10,31,10,10,31,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100733","0","0","0","0","0","0","200492","0","200492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45455","0","45455","0","0","0","245947","0","245947","A","0",31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31
"100751","59145588","161529","59307117","0","0","0","97497737","45676","97543413","0","0","0","2963585","25723493","28687078","166171","4272114","4438285","33117","895784","928901","2710182","8107353","10817535","3303305","2748577","6051882","4811730","0","4811730","56639388","0","56639388","0","0","0","11004300","64757","11069057","0","0","0","238275103","42019283","280294386","A","0",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100760","2155370","0","2155370","0","165491","165491","4504573","250314","4754887","0","0","0","3800","2310539","2314339","0","97316","97316","0","21586","21586","30441","131183","161624","0","0","0","29319","0","29319","795580","0","795580","0","0","0","358210","4053","362263","0","0","0","7877293","2980482","10857775","A","0",10,31,10,31,10,10,10,10,10,31,31,31,10,10,10,31,10,10,31,10,10,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100812","4361869","937959","5299828","0","0","0","6022867","13270","6036137","0","0","0","959","937959","938918","0","292741","292741","0","0","0","0","0","0","0","0","0","0","0","0","635262","0","635262","0","0","0","141162","29253","170415","0","0","0","11162119","2211182","13373301","A","0",10,16,11,31,31,31,10,10,10,31,31,31,10,10,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,11,11,16
"100830","11476939","0","11476939","0","0","0","15298039","0","15298039","0","0","0","16199","2300678","2316877","136646","763312","899958","60276","240848","301124","18055","977815","995870","307152","141726","448878","2102341","0","2102341","3473047","0","3473047","0","0","0","384112","0","384112","0","0","0","33272806","4424379","37697185","A","0",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100858","52916877","0","52916877","32932","14546313","14579245","146833175","0","146833175","0","2822326","2822326","3204955","21338510","24543465","390739","4721803","5112542","0","122412","122412","2150317","17809375","19959692","803793","3437140","4240933","13547435","0","13547435","40712584","0","40712584","0","0","0","8900418","1429500","10329918","0","0","0","269493225","66227379","335720604","A","0",10,31,10,10,10,10,10,31,10,31,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100919","1485290","0","1485290","0","0","0","4795172","46548","4841720","0","0","0","0","497794","497794","0","0","0","1484648","0","1484648","1779","11691","13470","0","0","0","43887","0","43887","828229","0","828229","0","0","0","222978","0","222978","0","0","0","8861983","556033","9418016","A","0",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,31,31,10,31,10,10,10,10,31,31,31,10,31,18,10,31,10,31,31,31,10,31,10,31,31,31,10,11,11,31
"100937","14872062","0","14872062","0","0","0","0","0","0","0","0","0","0","546208","546208","0","967627","967627","0","0","0","1357292","2291254","3648546","1366528","1787572","3154100","389807","366098","755905","4491275","0","4491275","0","0","0","156740","0","156740","0","0","0","22633704","5958759","28592463","A","0",10,31,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
