unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,part,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"100654","13734603","356696","14091299","12039119","490605","7596825","8087430","2824330","589893","4226298","4816191","2938543","3177527","303083","3480610","2070615","4392268","0","4392268","2112350","9570762","2214304","11785066","3837959","3544510","0","3544510","821965","1376575","4406103","5782678","0","0","0","0","0","0","36876743","19103309","55980052","5872770","0","5872770","0","0","0","0","0","0","42749513","19103309","61852822","26644881","4437247","0","1305154","32387282","1383692","1106088","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,10,31,31,31,31,31
"100663","137411977","12056902","149468879","103391890","7896484","101562801","109459285","57167223","17870234","20243473","38113707","18773099","29492746","331583","29824329","16294117","9289792","668641","9958433","4703204","27935669","26189","27961858","12542491","25979860","7937","25987797","9549701","2630215","10219009","12849224","10667677","0","10667677","14266897","1734135","16001032","283441551","146850670","430292221","17886246","0","17886246","439232466","0","439232466","0","0","0","740560263","146850670","887410933","222421725","38186811","0","10848362","271456898","6737117","1664143","2088272","4734916","33131101","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,10,10,31,10,10,10,10,10,10,10,31,31
"100672","1752057","288488","2040545","1275046","0","0","0","0","0","0","0","0","181665","10945","192610","126325","252141","203124","455265","301462","517078","0","517078","277671","325656","35394","361050","70318","48401","194603","243004","0","0","0","439000","0","439000","3515998","732554","4248552","135561","0","135561","0","0","0","0","0","0","3651559","732554","4384113","2050822","197552","0","209951","2458325","97590","0","0","0","0","0","0","B",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,31,31,31,10,31,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,31,31,31,31,31,31
"100690","829661","0","829661","293464","0","0","0","0","0","0","0","0","56675","0","56675","27750","97022","0","97022","70979","417120","0","417120","236234","49734","0","49734","1782","151365","41365","192730","0","0","0","114794","1681","116475","1716371","43046","1759417","0","0","0","0","0","0","0","0","0","1716371","43046","1759417","630209","244969","0","0","875178","56675","0","0","0","0","0","0","B",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"100706","27977743","815882","28793625","21123443","4851237","21346500","26197737","13289376","52171","108884","161055","116332","6637631","11683","6649314","2937459","3943105","64919","4008024","1776690","6150733","21752","6172485","4451463","4134858","0","4134858","1583487","1784136","2309147","4093283","2178411","0","2178411","1704962","20596","1725558","59414987","24699363","84114350","3651104","0","3651104","0","0","0","0","0","0","63066091","24699363","87765454","45278250","7068147","0","1938762","54285159","2058995","890661","177995","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31
"100724","11141993","1729670","12871663","10574144","45199","549603","594802","61111","144708","299278","443986","117523","2588028","539481","3127509","1227198","4248930","469380","4718310","3332087","5848506","1001954","6850460","2663500","4818216","23679","4841895","2362630","1701997","6562404","8264401","949717","0","949717","0","0","0","31487294","11175449","42662743","6864817","224692","7089509","0","0","0","0","0","0","38352111","11400141","49752252","20338193","2478667","0","0","22816860","1392625","1660058","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31
"100733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","209443","0","209443","0","0","0","0","0","0","0","0","0","0","0","277017","0","277017","486460","0","486460","0","0","0","0","0","0","0","0","0","486460","0","486460","0","0","0","0","0","0","0","0","0","0","0","0","B",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31
"100751","78009777","6421856","84431633","58091103","5589891","11819898","17409789","9484849","11965532","12366953","24332485","8828862","27154249","1359286","28513535","15547780","5209957","509991","5719948","3206037","24928434","253884","25182318","16053960","14629503","268025","14897528","8604708","7387217","8823979","16211196","2768115","0","2768115","3889892","692461","4582353","181532567","42516333","224048900","56367951","195411","56563362","0","0","0","0","0","0","237900518","42711744","280612262","119817299","25880811","0","0","145698110","9788189","4056369","10275927","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"100760","3447687","1493531","4941218","3660650","85221","302","85523","17501","0","88723","88723","53169","609865","114965","724830","457107","630761","158950","789711","502425","903614","33784","937398","510384","683802","10248","694050","215591","436392","1037586","1473978","181815","0","181815","96799","0","96799","7075956","2938089","10014045","788225","6392","794617","0","0","0","0","0","0","7864181","2944481","10808662","5416827","566600","0","528650","6512077","213424","0","-93634","0","0","0","0","B",10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,11,10,31,10,10,11,11,10,10,10,31,31,31,31,31,31,10,11,11,10,10,31,10,10,10,31,10,31,31,31,31
"100812","5274503","270326","5544829","4149811","0","17810","17810","0","0","0","0","0","779741","0","779741","484179","1185066","20623","1205689","892875","1374465","0","1374465","857297","1261357","0","1261357","626709","190976","1004361","1195337","107893","0","107893","347685","-2317","345368","10521686","1310803","11832489","791012","0","791012","0","0","0","0","0","0","11312698","1310803","12623501","7010871","552105","0","885319","8448295","404439","0","-167685","0","0","0","0","B",10,10,10,10,31,10,10,31,31,31,31,31,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,10,10,10,10,10,31,31,31,31
