unitid,part,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,filler1,b101,b102,b103,filler2,b111,b112,b113,filler3,b121,b122,b123,b124,b131,b132,b133,b134,b161,b162,b163,b164,b191,b192,b193,b194,b221,b222,b223,b224,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,filler4,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093",filler5,"xb101","xb102","xb103",filler6,"xb111","xb112","xb113",filler7,"xb121","xb122","xb123","xb124","xb131","xb132","xb133","xb134","xb161","xb162","xb163","xb164","xb191","xb192","xb193","xb194","xb221","xb222","xb223","xb224","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"100654","B","15988148","404940","16393088","14003095","876942","8226329","9103271","3396430","663680","4168638","4832318","2469583","3662924","389751","4052675","2344958","5085594","7401","5092995","2397181","11019502","2135138","13154640","4249045","4201063","0","4201063","1433153","1537412","3791937","5329349","","0","0","0","","0","0","0","","43035265","19124134","62159399","30293445","5864868","0","5864868","578056","0","0","0","0","0","0","0","0","48900133","19124134","68024267","30871501","30293445","4742374","0","1530664","36566483","1785724","1401500","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,"",31,31,31,"",31,31,31,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,10,10,31,31,31,31,31
"100663","B","143165451","15359087","158524538","111233711","7947345","112755341","120702686","61826790","26675870","20430798","47106668","21829047","30192841","305211","30498052","17613541","10640184","369759","11009943","5541567","30164229","37843","30202072","20081888","27934613","23360","27957973","11931443","2854017","10810678","13664695","","9749682","0","9749682","","9081264","2648809","11730073","","298405496","162740886","461146382","250057987","15494439","0","15494439","3988768","460762101","0","460762101","164824905","0","0","0","0","774662036","162740886","937402922","418871660","250057987","38253818","0","11820990","300132795","6165588","1722715","-1063103","3921284","41369856","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,10,10,"",10,10,10,10,10,31,10,10,10,31,10,10,31,31,31,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,31,31
"100672","B","1792242","280049","2072291","1330650","0","0","0","0","0","0","0","0","200867","9531","210398","141592","241167","142654","383821","272446","497233","0","497233","279777","361859","16339","378198","99875","69981","193183","263164","","14160","0","14160","","114170","0","114170","","3291679","641756","3933435","2124340","171873","0","171873","30900","0","0","0","0","0","0","0","0","3463552","641756","4105308","2155240","2124340","184336","159840","0","2468516","116253","0","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,31,18,10,31,31,31,31,31,31
"100690","B","880933","0","880933","343053","0","0","0","0","0","0","0","0","107918","0","107918","68281","67757","0","67757","44603","387693","0","387693","212864","57953","0","57953","2944","164499","32264","196763","","0","0","0","","42213","4446","46659","","1708966","36710","1745676","671745","0","0","0","0","0","0","0","0","0","0","0","0","1708966","36710","1745676","671745","671745","271210","0","0","942955","84878","0","0","0","0","0","0","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,"",31,31,31,"",10,10,10,"",10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"100706","B","28063050","1357388","29420438","20726712","5654419","26088653","31743072","13973848","60036","200722","260758","180733","6707545","14129","6721674","3691137","4522081","48784","4570865","1881629","6415719","44118","6459837","4486209","4198044","0","4198044","1563725","1793463","2409133","4202596","","2457962","0","2457962","","2652118","61624","2713742","","62524437","30224551","92748988","46503993","3516392","0","3516392","219211","0","0","0","0","0","0","0","0","66040829","30224551","96265380","46723204","46503993","7537250","0","1954428","55995671","2094133","1018648","319491","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,"",10,31,10,"",10,10,10,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31
"100724","B","11958954","1494858","13453812","10063172","67730","784100","851830","93566","156418","1192669","1349087","586891","2622431","491274","3113705","1572619","4750984","489838","5240822","2473616","7604852","538936","8143788","2421064","5112721","22090","5134811","2598866","1372556","5838192","7210748","","898079","0","898079","","38797","0","38797","","34583522","10851957","45435479","19809794","9168466","209609","9378075","1809853","0","0","0","0","0","0","0","0","43751988","11061566","54813554","21619647","19809794","2444940","0","0","22254734","1443869","1435427","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,18,10,31,31,18,10,10,31,31,31,31,31
"100733","B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","251561","4544","256105","162627","0","0","0","0","0","0","0","","0","0","0","","91601","0","91601","","343162","4544","347706","162627","0","0","0","0","0","0","0","0","0","0","0","0","343162","4544","347706","162627","162627","32868","870","3052","199417","0","0","0","0","0","0","0","",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,21,31,31,31,31,31,31,31,"",31,31,31,"",10,31,18,"",10,18,18,21,31,31,31,31,31,31,31,31,31,31,31,31,10,18,18,31,21,21,21,21,21,31,31,31,31,31,31,31
"100751","B","83182625","5986777","89169402","60347115","5834700","12311722","18146422","9957793","14189114","13878579","28067693","14092621","31199804","1567848","32767652","17037993","5930432","327180","6257612","3689048","20503438","249638","20753076","13655508","15693991","222916","15916907","8893106","7875282","9199756","17075038","","3401784","18254","3420038","","2758796","1700280","4459076","","190569966","45462950","236032916","127673184","58199363","165680","58365043","14567676","0","0","0","0","0","0","0","0","248769329","45628630","294397959","142240860","127673184","27842077","0","0","155515261","10486819","3675864","10013055","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"100760","B","3689046","1586378","5275424","3895926","0","0","0","0","0","81081","81081","53513","552856","111993","664849","428546","632450","57859","690309","471705","996644","5367","1002011","615888","682209","2991","685200","229859","530240","841542","1371782","","181849","0","181849","","338129","0","338129","","7603423","2687211","10290634","5695437","834088","4776","838864","206914","0","0","0","0","0","0","0","0","8437511","2691987","11129498","5902351","5695437","537197","0","387545","6620179","16779","0","-338442","0","0","0","0","",10,10,10,10,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,16,31,10,31,31,31,31
"100812","B","5820103","248086","6068189","4608283","0","25389","25389","0","0","0","0","0","811733","0","811733","514243","1279799","21381","1301180","1007124","1622875","0","1622875","993821","1235963","0","1235963","688072","207674","1923757","2131431","","473225","0","473225","","168385","-1000","167385","","11619757","2217613","13837370","7811543","854121","0","854121","175748","0","0","0","0","0","0","0","0","12473878","2217613","14691491","7987291","7811543","602451","0","954979","9368973","406318","0","-18385","0","0","0","0","",10,10,10,10,31,10,10,31,10,10,10,31,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,"",10,31,10,"",10,10,10,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,10,31,10,31,31,31,31
"100830","B","16345534","131159","16476693","12907307","178262","123560","301822","184995","1174265","1973284","3147549","1523229","3068916","81233","3150149","1735600","2652734","131175","2783909","1502351","4528486","7064","4535550","2463606","2731001","101","2731102","839970","464400","3261602","3726002","","81591","0","81591","","260820","114538","375358","","31486009","5823716","37309725","21157058","3466361","0","3466361","723298","0","0","0","0","0","0","0","0","34952370","5823716","40776086","21880356","21157058","3770958","0","0","24928016","1602434","145300","130490","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,"",10,31,10,"",10,10,10,"",10,18,18,10,10,31,10,10,31,31,31,31,31,31,31,31,10,18,18,10,10,10,31,31,10,10,10,10,31,31,31,31
"100858","B","89687468","5070411","94757879","71488299","34990125","31849294","66839419","36389300","33803418","18560129","52363547","31016751","22697702","1984849","24682551","13290146","8991083","95599","9086682","5381157","20212593","224038","20436631","14567923","21166302","331197","21497499","10709876","6518910","9408202","15927112","","6894616","0","6894616","","11278616","792870","12071486","","256240833","68316589","324557422","182843452","44164910","117850","44282760","10934652","0","0","0","0","0","0","0","0","300405743","68434439","368840182","193778104","182843452","25415183","8311642","0","216570277","9055555","6624659","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,31,10,10,10,31,31,31,31,31
"100919","B","4581588","430351","5011939","3575384","0","0","0","0","0","0","0","0","341821","32682","374503","229354","748285","192276","940561","675767","1187257","0","1187257","644682","879384","0","879384","267077","120971","961903","1082874","","56727","0","56727","","5618","0","5618","","7921651","1617212","9538863","5392264","824562","0","824562","122387","0","0","0","0","0","0","0","0","8746213","1617212","10363425","5514651","5392264","479075","0","417772","6289111","81776","0","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,18,10,10,31,10,10,10,31,10,10,11,10,18,"",10,31,10,"",10,31,10,"",18,18,18,18,10,31,10,10,31,31,31,31,31,31,31,31,18,18,18,18,18,10,31,10,18,10,31,31,31,31,31,31
"100937","B","6102518","983510","7086028","5189192","0","0","0","0","0","0","0","0","1307364","124376","1431740","530613","2207452","482292","2689744","1104679","3173641","350867","3524508","1650652","1816257","0","1816257","503421","2379359","4957144","7336503","","62662","0","62662","","0","0","0","","17049253","6898189","23947442","8978557","4946825","347000","5293825","202281","0","0","0","0","0","0","0","0","21996078","7245189","29241267","9180838","8978557","2539122","0","0","11517679","834276","1172253","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",31,31,31,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,10,10,10,31,10,10,10,10
"100964","B","1841760","169877","2011637","1538474","0","0","0","0","1875","14424","16299","1484","183207","11992","195199","149941","221961","184203","406164","305895","324977","111367","436344","242274","331148","0","331148","68374","411908","570500","982408","","72233","0","72233","","64050","0","64050","","3453119","1062363","4515482","2306442","313381","0","313381","42924","0","0","0","0","0","0","0","0","3766500","1062363","4828863","2349366","2306442","152443","0","202142","2661027","175625","0","64050","0","0","0","0","",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,16,31,10,31,31,31,31
"101028","B","2819015","76280","2895295","2265892","0","0","0","0","0","0","0","0","379467","45765","425232","248195","583294","63697","646991","466762","824144","0","824144","454324","666451","0","666451","151623","524771","1496558","2021329","","95764","0","95764","","91698","0","91698","","5984604","1682300","7666904","3586796","120308","0","120308","0","0","0","0","0","0","0","0","0","6104912","1682300","7787212","3586796","3586796","285249","0","384330","4256375","242840","0","-66420","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,11,31,11,31,31,31,31,31,31,31,31,31,11,10,10,10,10,10,31,10,10,10,31,11,31,31,31,31
"101037","B","1666156","354529","2020685","1338163","0","0","0","0","61543","276679","338222","227175","145306","11266","156572","90992","176387","386246","562633","368894","384526","890865","1275391","418605","333275","0","333275","126026","346370","427609","773979","","0","0","0","","0","0","0","","3113563","2347194","5460757","2569855","162238","0","162238","20653","0","0","0","0","0","0","0","0","3275801","2347194","5622995","2590508","2569855","277136","0","162232","3009223","3843","0","0","0","0","0","0","",10,10,10,10,31,10,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",31,31,31,"",31,31,31,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31
"101073","B","327806","346262","674068","252154","11847","0","11847","10009","0","0","0","0","141096","8522","149618","97861","140681","3038","143719","93805","688096","37532","725628","308852","157040","0","157040","39280","541481","1373084","1914565","","0","0","0","","-381549","-112034","-493583","","1626498","1656404","3282902","801961","306015","14796","320811","61762","0","0","0","0","0","0","0","0","1932513","1671200","3603713","863723","801961","166443","37302","0","1005706","108746","0","0","0","0","0","0","",10,10,10,10,10,31,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,"",31,31,31,"",10,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,31,10,10,31,31,31,31,31,31
