unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b124,b131,b132,b133,b134,b161,b162,b163,b164,b191,b192,b193,b194,b221,b222,b223,b224,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb124","xb131","xb132","xb133","xb134","xb161","xb162","xb163","xb164","xb191","xb192","xb193","xb194","xb221","xb222","xb223","xb224","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"100654","15257499","402195","15659694","13161901","871443","7944168","8815611","2767265","1038496","3927456","4965952","2315276","3797280","409899","4207179","2317852","4847004","2702","4849706","2348379","9707457","2412708","12120165","3955126","3761606","0","3761606","1500629","1765964","3600184","5366148","0","0","0","0","0","0","41046749","18699312","59746061","28366428","6678890","0","6678890","773635","0","0","0","0","0","0","0","0","47725639","18699312","66424951","29140063","28366428","6448298","0","0","34814726","1902526","1394133","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,11,10,18,10,10,31,10,10,31,31,31,31,31,31,31,31,11,10,18,10,10,10,31,31,10,10,10,31,31,31,31,31
"100663","121015843","13950927","134966770","90567212","8943385","121643712","130587097","68165237","44861082","21598242","66459324","36157117","36065342","102211","36167553","18518659","8397484","245995","8643479","4707668","41066178","40557","41106735","20166156","29167770","74400","29242170","12305338","2625036","11133580","13758616","10797390","0","10797390","21007804","2518559","23526363","323947314","171308183","495255497","250587387","16146150","0","16146150","4696940","513496688","0","513496688","168774725","0","0","0","0","853590152","171308183","1024898335","424059052","250587387","49362945","0","17096134","317046466","7315571","1728558","-2770349","4018999","79201960","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,31,10,10,10,31,10,10,31,31,31,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,31,31
"100672","1844493","132282","1976775","1181354","0","0","0","0","0","0","0","0","220463","0","220463","141694","284456","47110","331566","214355","583601","0","583601","284694","368207","12480","380687","155067","130413","210063","340476","13985","0","13985","-200000","0","-200000","3245618","401935","3647553","1977164","157367","0","157367","34104","0","0","0","0","0","0","0","0","3402985","401935","3804920","2011268","1977164","181864","0","272322","2431350","109673","0","0","0","0","0","0",10,11,11,10,31,31,31,31,31,31,31,31,10,31,11,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,10,31,31,31,31,31,31
"100690","1024423","0","1024423","418940","0","0","0","0","0","0","0","0","95279","0","95279","68765","74917","0","74917","47179","461621","0","461621","204887","220236","0","220236","7019","158096","0","158096","0","0","0","0","0","0","2034572","0","2034572","746790","0","0","0","0","0","0","0","0","0","0","0","0","2034572","0","2034572","746790","746790","345505","0","0","1092295","83024","0","0","0","0","0","0",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,31,31,31,31,31,31,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"100706","22997027","990816","23987843","16426965","5673159","26112689","31785848","14270543","70743","71591","142334","101370","3821711","2123","3823834","1219112","4586093","27661","4613754","1902660","6791004","50643","6841647","4507115","4195137","0","4195137","1474267","1996353","2253381","4249734","5881678","0","5881678","2663960","74404","2738364","58676865","29583308","88260173","39902032","3469181","0","3469181","235420","0","0","0","0","0","0","0","0","62146046","29583308","91729354","40137452","39902032","6178474","0","3256691","49337197","2120966","1094140","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31
"100724","11590102","1115287","12705389","11252281","111706","926529","1038235","219851","473872","1174216","1648088","790449","3461322","271610","3732932","1741507","5727013","60749","5787762","2731357","9664086","512786","10176872","2421005","5320246","0","5320246","2726616","1354898","9647601","11002499","1301764","0","1301764","8275883","0","8275883","47280892","13708778","60989670","21883066","8531611","0","8531611","1776308","0","0","0","0","0","0","0","0","55812503","13708778","69521281","23659374","21883066","5378142","0","0","27261208","1366391","1595550","0","0","0","0","0",11,11,11,10,11,11,11,10,11,11,11,10,11,11,11,10,11,11,11,10,11,11,11,10,11,31,11,10,11,15,15,11,31,11,11,31,11,11,18,18,10,11,31,11,10,31,31,31,31,31,31,31,31,11,18,18,10,10,10,31,31,10,11,10,31,31,31,31,31
"100733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2100","2100","0","0","0","0","0","0","0","0","0","0","0","443948","0","443948","443948","2100","446048","0","0","0","0","0","0","0","0","0","0","0","0","0","443948","2100","446048","0","0","0","0","0","0","0","0","0","0","0","0","0",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,11,31,31,31,31,31,31,31,31,31,31,31,11,31,11,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31
"100751","85904340","6332075","92236415","61879280","4711078","12504706","17215784","8424818","14777495","12793148","27570643","14285307","29456969","605232","30062201","16479424","5716842","309027","6025869","3404644","25370006","310042","25680048","17633555","15799555","112005","15911560","8863724","8567874","8887569","17455443","3425296","15429","3440725","2391522","508784","2900306","196120977","42378017","238498994","130970752","57233932","196779","57430711","14736247","0","0","0","0","0","0","0","0","253354909","42574796","295929705","145706999","130970752","31160280","0","0","162131032","9007795","3676603","9383440","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"100760","4239257","1656476","5895733","4210415","0","0","0","0","0","120184","120184","75657","506066","106161","612227","376658","653925","77658","731583","463499","903962","1166","905128","515469","658786","0","658786","209200","642759","1148471","1791230","186563","0","186563","343165","800","343965","8134483","3110916","11245399","5850898","867696","3340","871036","202552","0","0","0","0","0","0","0","0","9002179","3114256","12116435","6053450","5850898","619136","0","643274","7113308","240008","0","-343965","0","0","0","0",10,10,10,10,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,10,10,10,31,10,31,31,31,31
"100812","5983232","296545","6279777","4814453","0","36575","36575","0","0","120","120","0","793823","0","793823","518060","1338809","16953","1355762","999316","1638728","0","1638728","1050442","1349935","0","1349935","698432","222547","1980176","2202723","480854","0","480854","166585","0","166585","11974513","2330369","14304882","8080703","820632","0","820632","165026","0","0","0","0","0","0","0","0","12795145","2330369","15125514","8245729","8080703","681415","0","1114104","9876222","420474","0","-166585","0","0","0","0",10,10,10,10,31,10,10,31,31,10,10,31,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,18,18,10,31,10,10,31,10,10,18,18,10,10,31,10,10,31,31,31,31,31,31,31,31,10,18,18,10,10,11,31,10,11,10,31,10,31,31,31,31
