unitid,"xa011",a011,"xa012",a012,"xa013",a013,"xa021",a021,"xa022",a022,"xa023",a023,"xaline03",aline03,"xa041",a041,"xa042",a042,"xa043",a043,"xa051",a051,"xa052",a052,"xa053",a053,"xa061",a061,"xa062",a062,"xa063",a063,"xa071",a071,"xa072",a072,"xa073",a073,"xa081",a081,"xa082",a082,"xa083",a083,"xa091",a091,"xa092",a092,"xa093",a093,"xa101",a101,"xa102",a102,"xa103",a103,"xa111",a111,"xa112",a112,"xa113",a113,"xa121",a121,"xa122",a122,"xa123",a123,"xa131",a131,"xa132",a132,"xa133",a133,"xa141",a141,"xa142",a142,"xa143",a143,"xa151",a151,"xa152",a152,"xa153",a153,"xa161",a161,"xa162",a162,"xa163",a163,"xb011",b011,"xb012",b012,"xb013",b013,"xb014",b014,"xb021",b021,"xb022",b022,"xb023",b023,"xb024",b024,"xb031",b031,"xb032",b032,"xb033",b033,"xb034",b034,"xb041",b041,"xb042",b042,"xb043",b043,"xb044",b044,"xbline05",bline05,"xb061",b061,"xb062",b062,"xb063",b063,"xb064",b064,"xb071",b071,"xb072",b072,"xb073",b073,"xb074",b074,"xb081",b081,"xb082",b082,"xb083",b083,"xb084",b084,"xb091",b091,"xb092",b092,"xb093",b093,"xb101",b101,"xb102",b102,"xb103",b103,"xb111",b111,"xb112",b112,"xb113",b113,"xb121",b121,"xb122",b122,"xb123",b123,"xb124",b124,"xb131",b131,"xb132",b132,"xb133",b133,"xb134",b134,"xbline14",bline14,"xbline15",bline15,"xb161",b161,"xb162",b162,"xb163",b163,"xb164",b164,"xbline17",bline17,"xbline18",bline18,"xb191",b191,"xb192",b192,"xb193",b193,"xb194",b194,"xbline20",bline20,"xbline21",bline21,"xb221",b221,"xb222",b222,"xb223",b223,"xb224",b224,"xb234",b234,"xb244",b244,"xb254",b254,"xb264",b264,"xb274",b274,c1_1,c1_2,c1amt,c2a,c2b,c2c,c2d,c3_1,c3_3,c3amt3,c3_4,c3amt4,c3_5,c3amt5,c3_6,c3amt6,c4a,c4a1,c4reven,c4expen,c4b,c4c,c5,c5reven,c5expen,c6,c6amt,c7,c8a,c8b,c8c,"xd01",d01,"xe012",e012,"xe013",e013,"xe021",e021,"xe022",e022,"xe023",e023,"xe031",e031,"xe032",e032,"xe033",e033,"xe041",e041,"xe042",e042,"xe043",e043,"xe051",e051,"xe052",e052,"xe053",e053,"xe061",e061,"xe062",e062,"xe063",e063,"xe071",e071,"xe072",e072,"xe073",e073,"xf01",f01,"xf02",f02,"xf03",f03,"xg01",g01,"xg02",g02,"xg03",g03,"xg04",g04,"xg05",g05,fha,"xh011",h011,"xh012",h012,"xh021",h021,"xh022",h022,"xh033",h033,"xh043",h043,"xh053",h053,"xi01",i01,"xi02",i02,"xi03",i03,"xi04",i04,"xi05",i05,"xi06",i06,"xj011",j011,"xj012",j012,"xj013",j013,"xj021",j021,"xj022",j022,"xj023",j023,"xj031",j031,"xj032",j032,"xj033",j033,"xj041",j041,"xj042",j042,"xj043",j043,"xj051",j051,"xj052",j052,"xj053",j053,"xj061",j061,"xj062",j062,"xj063",j063,"xj071",j071,"xj072",j072,"xj073",j073,"xj081",j081,"xj082",j082,"xj083",j083,"xk011",k011,"xk012",k012,"xk013",k013,"xk014",k014,"xk021",k021,"xk022",k022,"xk023",k023,"xk024",k024,"xk025",k025,"xk031",k031,"xk032",k032,"xk033",k033,"xk034",k034,"xk035",k035
"100636",22,"6186528",22,"0",22,"6186528",22,"0",22,"0",22,"0",22,"0",22,"4514495",22,"0",22,"4514495",22,"3179228",22,"0",22,"3179228",22,"0",22,"1891357",22,"1891357",22,"0",22,"1114954",22,"1114954",22,"0",22,"49557",22,"49557",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"1465401",22,"0",22,"1465401",22,"0",22,"0",22,"0",22,"234171",22,"0",22,"234171",22,"0",22,"0",22,"0",22,"15579823",22,"3055868",22,"18635691",22,"7494934",22,"39718",22,"7534652",22,"5523582",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"1579617",22,"0",22,"1579617",22,"1017812",22,"503648",22,"1078952",22,"22835",22,"1101787",22,"797807",22,"2400459",22,"0",22,"2400459",22,"1136273",22,"1372851",22,"0",22,"1372851",22,"572949",22,"0",22,"2754945",22,"2754945",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"13926813",22,"2817498",22,"16744311",22,"9048423",22,"1504256",22,"0",22,"1504256",22,"283089",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"0",22,"15431069",22,"2817498",22,"18248567",22,"9331512",22,"9048423",22,"2349901",22,"0",22,"0",22,"11398324","-1","-1","","","","","","-1","-1","","-1","","-1","","-1","","-1","-1","","","-1","-1","-1","","","-1","","-1","","","",30,"",22,"1572252",22,"1572252",22,"0",22,"57900",22,"57900",22,"0",22,"1075236",22,"1075236",22,"0",22,"0",22,"0",22,"0",22,"11650",22,"11650",22,"0",22,"37907",22,"37907",22,"0",22,"2754945",22,"2754945",30,"",30,"",30,"",22,"",22,"",22,"",22,"",22,"","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",22,"39600",22,"0",22,"0",22,"39600",22,"9086950",22,"766817",22,"0",22,"9853767",22,"33000000",22,"4705046",22,"505666",22,"0",22,"5210712",22,"11000000"
"100654",10,"13476470",13,"0",10,"13476470",13,"0",10,"2105692",10,"2105692",13,"0",10,"26519222",13,"0",10,"26519222",13,"0",13,"0",13,"0",10,"1635306",10,"15717183",10,"17352489",10,"91126",10,"1302667",10,"1393793",13,"0",13,"0",13,"0",10,"16418",10,"685661",10,"702079",13,"0",13,"0",13,"0",10,"426068",13,"0",10,"426068",10,"7037828",13,"0",10,"7037828",13,"0",13,"0",13,"0",10,"945547",10,"9361",10,"954908",13,"0",13,"0",13,"0",10,"50147985",10,"19820564",10,"69968549",10,"16417186",10,"180208",10,"16597394",10,"14033527",10,"1414989",10,"8082693",10,"9497682",10,"4036718",10,"2434787",10,"4326423",10,"6761210",10,"3809042",10,"4109031",10,"386140",10,"4495171",10,"2594983",10,"1851832",10,"5455559",10,"1418",10,"5456977",10,"2476661",10,"10036588",10,"3051292",10,"13087880",10,"4380609",10,"3846690",13,"0",10,"3846690",10,"1499623",10,"1741046",10,"3783029",10,"5524075",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"45455876",10,"19811203",10,"65267079",10,"32831163",10,"7194783",13,"0",10,"7194783",10,"692271",10,"1389502",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"52650659",10,"19811203",10,"72461862",10,"33523434",10,"32831163",10,"7108131",13,"0",13,"0",10,"39939294","2","-1","0","13476470","0","0","13476470","1","-1","0","-1","0","1","2668562","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","954908","520701","0",10,"2213715",10,"3153025",10,"3153025",13,"0",10,"580919",10,"580919",13,"0",10,"29736",10,"29736",13,"0",13,"0",13,"0",13,"0",10,"19349",10,"19349",10,"1741046",13,"0",10,"1741046",10,"1741046",10,"3783029",10,"5524075",10,"683912",13,"0",10,"683912",10,"62730000",13,"0",10,"460000",10,"62270000",10,"2811718","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2576224",13,"0",10,"19959339",13,"0",10,"-1249383",10,"21286180",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4982207",13,"0",13,"0",10,"4982207",10,"89606987",10,"10345630",13,"0",10,"99952617",10,"124940771",10,"17965580",10,"4135561",10,"6092436",10,"16008705",10,"18410010"
"100663",10,"50917141",13,"0",10,"50917141",13,"0",13,"0",13,"0",13,"0",10,"161006032",13,"0",10,"161006032",13,"0",13,"0",13,"0",10,"37531203",10,"137666866",10,"175198069",10,"74855",10,"3398550",10,"3473405",10,"113598",10,"3427856",10,"3541454",10,"5987177",10,"36420364",10,"42407541",10,"1415",10,"4639956",10,"4641371",10,"30929751",10,"138918",10,"31068669",10,"16370146",13,"0",10,"16370146",10,"570946514",13,"0",10,"570946514",10,"43438157",10,"1885104",10,"45323261",13,"0",13,"0",13,"0",10,"917315989",10,"187577614",10,"1104893603",10,"127746382",10,"12123403",10,"139869785",10,"92603164",10,"8931918",10,"140721004",10,"149652922",10,"77154188",10,"50379405",10,"22477398",10,"72856803",10,"46439572",10,"37392768",10,"670877",10,"38063645",10,"20124089",10,"7821970",10,"7991943",10,"279741",10,"8271684",10,"4463318",10,"32546446",10,"20009",10,"32566455",10,"24688151",10,"26533156",10,"77621",10,"26610777",10,"11137596",10,"3460466",15,"11189318",15,"14649784",10,"8660783",10,"87",10,"8660870",10,"16799089",10,"-3564074",10,"13235015",10,"320442356",18,"183995384",18,"504437740",10,"276610078",10,"16738120",13,"0",10,"16738120",10,"5124751",10,"1739059",10,"-4345215",10,"554535819",13,"0",10,"554535819",10,"176273710",10,"3970641",10,"65942258",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"891716295",18,"183995384",18,"1075711679",10,"458008539",10,"276610078",10,"62730325",13,"0",13,"0",10,"339340403","1","1","3762872","50917141","0","0","50917141","1","1","8395209","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","45323261","7051957","1077140",10,"14986689",10,"4599205",10,"4599205",13,"0",10,"4379194",10,"4379194",13,"0",10,"39300",10,"39300",13,"0",13,"0",13,"0",13,"0",10,"1654954",10,"1654954",10,"3460466",10,"516665",10,"3977131",10,"3460466",18,"11189318",18,"14649784",10,"2796363",13,"0",10,"2796363",10,"180288945",10,"84250001",10,"12135434",10,"252403512",10,"9310330","1",10,"139986219",10,"161048833",10,"155862561",10,"199683005",10,"4952523",10,"3693438",10,"4705247",10,"172266216",10,"75061849",10,"291244373",13,"0",10,"6481999",10,"545054437",13,"0",13,"0",13,"0",10,"20334074",13,"0",10,"20334074",13,"0",13,"0",13,"0",10,"550612440",13,"0",10,"550612440",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"570946514",13,"0",10,"570946514",10,"37281871",13,"0",13,"0",10,"37281871",10,"677622847",10,"37330512",13,"0",10,"714953359",10,"1043141330",10,"377485036",10,"18738189",10,"26506158",10,"369717067",10,"544527770"
"100672",10,"823627",13,"0",10,"823627",13,"0",13,"0",13,"0",13,"0",10,"2429057",13,"0",10,"2429057",13,"0",13,"0",13,"0",13,"0",10,"221079",10,"221079",13,"0",10,"171944",10,"171944",13,"0",10,"229",10,"229",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"628",13,"0",10,"628",10,"153715",13,"0",10,"153715",13,"0",13,"0",13,"0",10,"66952",13,"0",10,"66952",13,"0",13,"0",13,"0",10,"3473979",10,"393252",10,"3867231",10,"1846238",10,"114518",10,"1960756",10,"1236675",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"235541",10,"229",10,"235770",10,"155034",10,"128490",10,"359190",10,"43843",10,"403033",10,"259057",10,"506123",10,"0",10,"506123",10,"244952",10,"417456",10,"19451",10,"436907",10,"140809",10,"115756",10,"215212",10,"330968",10,"16446",10,"0",10,"16446",10,"-180000",10,"0",10,"-180000",10,"3316750",10,"393253",10,"3710003",10,"2036527",10,"149791",10,"0",10,"149791",10,"37548",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3466541",10,"393253",10,"3859794",10,"2074075",10,"2036527",10,"437014",13,"0",13,"0",10,"2473541","1","2","0","823627","0","0","823627","2","-1","0","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","66952","15156","0",10,"121306",10,"180003",10,"180003",13,"0",10,"20200",10,"20200",13,"0",10,"15009",10,"15009",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"115756",13,"0",10,"115756",10,"115756",10,"215212",10,"330968",10,"45739",13,"0",10,"45739",30,"",30,"",30,"",30,"",30,"","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"544032",13,"0",10,"1008663",10,"45137",13,"0",10,"1597832",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"297634",13,"0",13,"0",10,"297634",10,"2578972",13,"0",13,"0",10,"2578972",10,"4500000",10,"3229686",10,"78967",10,"954",10,"3307699",10,"4000000"
"100706",10,"17584381",13,"0",10,"17584381",13,"0",13,"0",13,"0",13,"0",10,"34433191",13,"0",10,"34433191",13,"0",13,"0",13,"0",10,"5660118",10,"25532847",10,"31192965",10,"67745",10,"1112969",10,"1180714",13,"0",13,"0",13,"0",10,"256879",10,"1628170",10,"1885049",13,"0",10,"25597",10,"25597",13,"0",13,"0",13,"0",10,"3637584",13,"0",10,"3637584",13,"0",13,"0",13,"0",10,"2146253",13,"0",10,"2146253",13,"0",13,"0",13,"0",10,"63786151",10,"28299583",10,"92085734",10,"23202374",10,"2885508",10,"26087882",10,"17005579",10,"5481341",10,"21900514",10,"27381855",10,"14205734",10,"97101",10,"853238",10,"950339",10,"558295",10,"3726124",10,"1679",10,"3727803",10,"1210742",10,"2012197",10,"4442413",10,"23873",10,"4466286",10,"1969887",10,"7122633",10,"75034",10,"7197667",10,"4426003",10,"4120061",13,"0",10,"4120061",10,"1526686",10,"2095994",10,"2559737",10,"4655731",10,"5198402",13,"0",10,"5198402",10,"4336304",10,"21010",10,"4357314",10,"59822747",10,"28320593",10,"88143340",10,"40902926",10,"3488381",13,"0",10,"3488381",10,"252925",10,"1056556",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"63311128",10,"28320593",10,"91631721",10,"41155851",10,"40902926",10,"9563220",10,"0",13,"0",10,"50466146","1","1","834444","17584381","0","0","17584381","-1","-1","0","-1","0","1","901841","1","245250","-1","2","0","0","-1","-1","2","0","0","-1","0","2","2146253","1100601","0",10,"2131597",10,"1828692",10,"1828692",13,"0",10,"128205",10,"128205",13,"0",10,"30700",10,"30700",13,"0",13,"0",13,"0",13,"0",10,"572140",10,"572140",10,"2095994",13,"0",10,"2095994",10,"2095994",10,"2559737",10,"4655731",10,"910165",10,"0",10,"910165",10,"40717207",10,"0",10,"5270506",10,"35446701",10,"1853050","1",10,"13209433",10,"13830991",10,"21669062",10,"39149590",10,"653928",10,"190120",10,"408928",10,"9608453",10,"2899544",10,"11162509",10,"0",10,"2499761",10,"26170267",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2277586",10,"18150",10,"120000",18,"2175736",10,"61603540",10,"5208000",10,"2194096",10,"64617444",13,"0",10,"8840380",10,"2440914",10,"4100456",10,"7180838",13,"0"
"100724",10,"15575229",13,"0",10,"15575229",13,"0",13,"0",13,"0",13,"0",10,"25429592",13,"0",10,"25429592",13,"0",13,"0",13,"0",10,"152757",10,"11210435",10,"11363192",10,"1000000",10,"916352",10,"1916352",13,"0",10,"2400",10,"2400",13,"0",10,"490198",10,"490198",13,"0",13,"0",10,"0",10,"158475",13,"0",10,"158475",10,"8283642",13,"0",10,"8283642",13,"0",13,"0",13,"0",10,"582587",13,"0",10,"582587",13,"0",13,"0",13,"0",10,"51182282",10,"12619385",10,"63801667",10,"12421939",10,"877262",10,"13299201",10,"12492654",10,"115952",10,"1015972",10,"1131924",10,"240243",10,"598750",10,"1557731",10,"2156481",10,"960973",10,"2948944",10,"73207",10,"3022151",10,"1921947",10,"1541567",10,"5547917",10,"69305",10,"5617222",10,"3123164",10,"11652793",10,"674452",10,"12327245",10,"2484116",10,"5877236",13,"0",10,"5877236",10,"2801238",15,"2577162",15,"7722332",15,"10299494",13,"0",13,"0",10,"0",13,"0",13,"0",10,"0",18,"41740693",18,"11990261",18,"53730954",10,"24024335",10,"8035650",13,"0",10,"8035650",10,"2058590",10,"1770138",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",18,"49776343",18,"11990261",18,"61766604",10,"26082925",10,"24024335",10,"5375900",13,"0",13,"0",10,"29400235","2","-1","0","15575229","0","0","15575229","1","1","824870","-1","0","1","2202131","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","582587","312747","0",10,"1668786",10,"5854347",10,"5854347",13,"0",10,"1852512",10,"1852512",10,"1000000",10,"6423",10,"1006423",13,"0",10,"550",10,"550",13,"0",10,"8500",10,"8500",10,"1577162",13,"0",10,"1577162",10,"2577162",10,"7722332",10,"10299494",10,"688780",13,"0",10,"688780",10,"32897000",13,"0",10,"1494000",10,"31403000",10,"1682737","1",10,"2290483",10,"2290483",10,"5135012",10,"5135012",10,"131530",13,"0",10,"19416",10,"6672126",10,"5909134",10,"17553150",10,"356346",10,"1254207",10,"31744963",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"7754726",10,"306048",13,"0",10,"8060774",10,"67345158",13,"0",13,"0",10,"67345158",10,"116544260",10,"16290235",10,"4239886",13,"0",10,"20530121",10,"18271808"
"100733",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"350000",13,"0",10,"350000",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"6775406",13,"0",10,"6775406",13,"0",13,"0",13,"0",10,"7125406",13,"0",10,"7125406",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"6178536",13,"0",10,"6178536",10,"4053682",10,"230396",13,"0",10,"230396",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"566562",13,"0",10,"566562",10,"6975494",13,"0",10,"6975494",10,"4053682",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"6975494",13,"0",10,"6975494",10,"4053682",10,"4053682",10,"1042386",13,"0",13,"0",10,"5096068","-1","1","6975494","0","0","0","0","-1","-1","0","-1","0","-1","0","-1","0","-1","-1","0","0","-1","-1","-1","0","0","-1","0","-1","6775406","61747","0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"47071",13,"0",10,"10611",10,"36460",10,"2897","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"980093",13,"0",10,"1204494",13,"0",10,"44592",10,"2229179",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"106750",13,"0",13,"0",10,"106750",10,"1274552",10,"194790",13,"0",10,"1469342",10,"1850000",10,"1646540",10,"164081",10,"34896",10,"1775725",10,"1900000"
"100751",10,"65121748",10,"19738",10,"65141486",13,"0",13,"0",13,"0",13,"0",10,"105160186",13,"0",10,"105160186",13,"0",13,"0",13,"0",10,"3011068",10,"26635134",10,"29646202",10,"210785",10,"6443954",10,"6654739",10,"47263",10,"985666",10,"1032929",10,"1863278",10,"7350156",10,"9213434",10,"3357821",10,"4886142",10,"8243963",10,"10454801",13,"0",10,"10454801",10,"59121333",13,"0",10,"59121333",13,"0",13,"0",13,"0",10,"12330882",10,"518926",10,"12849808",13,"0",13,"0",13,"0",10,"260679165",10,"46839716",10,"307518881",10,"85852209",10,"7831105",10,"93683314",10,"61803848",10,"5165873",10,"14297847",10,"19463720",10,"8218726",10,"14252376",10,"13336987",10,"27589363",10,"13667155",10,"33214901",10,"803561",10,"34018462",10,"18588153",10,"9426572",10,"6175236",10,"312159",10,"6487395",10,"3290866",10,"19406101",10,"237209",10,"19643310",10,"13198325",10,"15738561",10,"60152",10,"15798713",10,"8645946",10,"9049065",10,"9758050",10,"18807115",10,"2928593",10,"12077",10,"2940670",10,"8290290",10,"1378491",10,"9668781",10,"200073205",10,"48027638",10,"248100843",10,"127413019",10,"57732929",10,"190569",10,"57923498",10,"16106704",10,"3561797",10,"6311467",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"257806134",10,"48218207",10,"306024341",10,"143519723",10,"127413019",10,"30416282",13,"0",13,"0",10,"157829301","1","2","0","65141486","3434588","0","65141486","1","1","26407657","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","12849808","5623614","0",10,"9753351",10,"5446741",10,"5446741",13,"0",10,"878023",10,"878023",13,"0",10,"157658",10,"157658",13,"0",13,"0",13,"0",13,"0",10,"3275628",10,"3275628",10,"9049065",13,"0",10,"9049065",10,"9049065",10,"9758050",10,"18807115",10,"3271180",13,"0",10,"3271180",10,"63497838",10,"64684171",10,"16323481",10,"111858528",10,"3229725","1",10,"226168535",10,"226168535",10,"289548912",10,"289548912",10,"8463272",10,"2169155",13,"0",10,"67314159",10,"62730353",10,"1794764",10,"22842713",10,"12190057",10,"166872046",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"9126114",13,"0",10,"10000",10,"9116114",10,"315099539",10,"32160660",10,"520901",10,"346739298",10,"599411782",10,"165371400",10,"15492886",10,"24760484",10,"156103802",10,"337613164"
"100760",10,"2465771",13,"0",10,"2465771",13,"0",13,"0",13,"0",13,"0",10,"5635040",13,"0",10,"5635040",13,"0",13,"0",13,"0",10,"3310",10,"2884649",10,"2887959",13,"0",10,"115611",10,"115611",13,"0",10,"9700",10,"9700",10,"56218",10,"66472",10,"122690",13,"0",13,"0",13,"0",10,"21130",13,"0",10,"21130",10,"667541",13,"0",10,"667541",13,"0",13,"0",13,"0",10,"200505",10,"4758",10,"205263",13,"0",13,"0",13,"0",10,"9049515",10,"3081190",10,"12130705",10,"3945460",10,"1473155",10,"5418615",10,"3984189",13,"0",13,"0",13,"0",13,"0",13,"0",10,"130597",18,"130597",10,"73101",10,"499594",10,"97218",10,"596812",10,"363261",10,"242026",10,"770754",10,"13863",10,"784617",10,"471316",10,"907107",10,"250",10,"907357",10,"510631",10,"677317",13,"0",10,"677317",10,"213607",10,"562407",10,"1366106",10,"1928513",16,"163954",13,"0",16,"163954",10,"428676",13,"0",10,"428676",18,"7955269",10,"3081189",18,"11036458",18,"5616105",10,"578400",10,"1110",10,"579510",10,"251284",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",18,"8533669",10,"3082299",18,"11615968",18,"5867389",18,"5616105",10,"1098043",13,"0",13,"0",18,"6714148","2","-1","0","2465771","74772","0","2465771","1","1","159980","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","205263","37797","0",10,"268987",10,"1282327",10,"1282327",13,"0",10,"56779",10,"56779",13,"0",10,"27000",10,"27000",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"562407",13,"0",10,"562407",10,"562407",10,"1366106",10,"1928513",10,"5570",13,"0",10,"5570",10,"1117507",13,"0",10,"90595",10,"1026912",10,"64749","1",10,"4363",10,"4363",10,"500",10,"500",10,"121",13,"0",10,"3984",10,"1416118",10,"500",10,"2",10,"99356",10,"62811",10,"1578787",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1201263",13,"0",13,"0",10,"1201263",10,"8414289",10,"101899",13,"0",10,"8516188",10,"25000000",10,"2742445",10,"209940",13,"0",10,"2952385",10,"5000000"
"100812",10,"4914217",13,"0",10,"4914217",13,"0",13,"0",13,"0",13,"0",10,"7267596",13,"0",10,"7267596",13,"0",13,"0",13,"0",10,"868",10,"4730841",10,"4731709",13,"0",10,"467019",10,"467019",13,"0",13,"0",13,"0",13,"0",10,"250",10,"250",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"658638",13,"0",10,"658638",13,"0",13,"0",13,"0",10,"167461",10,"24493",10,"191954",13,"0",13,"0",13,"0",10,"13008780",10,"5222603",10,"18231383",10,"6186532",10,"391133",10,"6577665",10,"5032705",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"932179",10,"215",10,"932394",10,"600432",10,"594974",10,"1346903",10,"24776",10,"1371679",10,"1020409",10,"1691757",13,"0",10,"1691757",10,"1017952",10,"1367145",13,"0",10,"1367145",10,"736349",10,"213200",10,"1135343",10,"1348543",10,"475388",13,"0",10,"475388",10,"133285",13,"0",10,"133285",10,"12346389",10,"1551467",10,"13897856",10,"8407847",10,"650769",13,"0",10,"650769",10,"162535",13,"0",10,"-166585",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"12997158",10,"1551467",10,"14548625",10,"8570382",10,"8407847",10,"1700870",13,"0",13,"0",10,"10108717","2","-1","0","4914217","366927","0","4914217","1","1","132455","-1","0","-1","0","-1","0","2","-1","0","0","-1","-1","2","0","0","2","0","2","191954","92407","92407",10,"340488",10,"1019083",10,"1019083",13,"0",10,"87300",10,"87300",13,"0",10,"26560",10,"26560",13,"0",13,"0",13,"0",13,"0",10,"2400",10,"2400",10,"213200",13,"0",10,"213200",10,"213200",10,"1135343",10,"1348543",10,"43094",13,"0",10,"43094",10,"2695000",10,"1165000",10,"140000",10,"3720000",10,"191783","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1429993",10,"0",10,"1673904",10,"280751",10,"311967",10,"3696615",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"339061",13,"0",13,"0",10,"339061",10,"8054097",10,"2947879",13,"0",10,"11001976",13,"0",10,"2542374",10,"258224",10,"71532",10,"2729066",13,"0"
