UNITID,XFA01_1,FA01_1,XFA02_1,FA02_1,XFA04_1,FA04_1,XFA05_1,FA05_1,XFA06_1,FA06_1,XFA07_1,FA07_1,XFA08_1,FA08_1,XFA910_1,FA910_1,XFA11_1,FA11_1,XFA12_1,FA12_1,XFA13_1,FA13_1,XFA14_16,FA14_16,XFA17_1,FA17_1,XFAA01,FAA01,XFAA02,FAA02,XFAA03,FAA03,XFAA04,FAA04,XFAA05,FAA05,XFAA06,FAA06,XFAA07,FAA07,XFAA08,FAA08,XFAA09,FAA09,XFB01_1,FB01_1,XFB02_1,FB02_1,XFB03_1,FB03_1,XFB04_1,FB04_1,XFB05_1,FB05_1,XFB06_1,FB06_1,XFB07_1,FB07_1,XFB08_1,FB08_1,XFB910_1,FB910_1,XFB11_1,FB11_1,XFB12_1,FB12_1,XFC01,FC01,XFC02,FC02,XFC03_08,FC03_08,XFC09,FC09,XFC10,FC10,XFC11,FC11,XFC12,FC12,XFD05,FD05,XFD08,FD08,XFD17,FD17,XFD20,FD20,XFD23,FD23,XFD24,FD24,XFDC01_1,FDC01_1,XFDC02_1,FDC02_1,XFDC03_1,FDC03_1,XFDC04_1,FDC04_1 
100690,"R",542883,"Z",0,"Z",0,"Z",0,"R",10990,"Z",0,"Z",0,"R",1205916,"R",16039,"Z",0,"Z",0,"R",20974,"R",1796802,"C",10990,"C",0,"C",0,"C",0,"C",4685,"C",188809,"C",204484,"Z",0,"Z",0,"R",1003814,"Z",0,"Z",0,"R",112013,"R",95456,"R",527363,"Z",0,"Z",0,"Z",0,"R",0,"R",1738646,"R",1796802,"R",-1738646,"Z",0,"R",58156,"R",1317581,"Z",0,"R",1375737,"R",475602,"R",2169219,"R",793482,"R",1248150,"R",127587,"R",1375737,"R",279448,"R",906701,"R",944704,"Z",0,
100937,"R",16590696,"Z",0,"Z",0,"Z",0,"R",541637,"R",1084563,"Z",0,"R",11123604,"R",16404757,"R",819668,"R",4777823,"R",184165,"R",51526913,"C",310315,"C",192918,"C",1049060,"C",1357163,"C",1535958,"C",4009735,"C",8455149,"Z",0,"Z",0,"R",7757735,"C",0,"C",0,"R",1258464,"R",2922011,"R",7747692,"R",4331398,"R",8455149,"C",0,"R",1973372,"R",34445821,"R",51526913,"R",-34445821,"R",-49491,"R",17031601,"R",124933879,"Z",0,"R",141965480,"R",118455500,"R",174626247,"R",32660767,"R",60917968,"R",81047512,"R",141965480,"R",1020925,"R",41271106,"R",16984857,"Z",0,
101073,"R",2034032,"R",1109627,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1528930,"R",486909,"Z",0,"R",593244,"R",29336,"R",5782078,"C",881841,"C",0,"C",18700,"C",0,"C",1292642,"C",0,"C",2193183,"R",1292642,"R",900541,"R",1088005,"R",13274,"Z",0,"R",197397,"R",189618,"R",791021,"R",739142,"R",1292642,"R",0,"Z",0,"R",4311099,"R",5782078,"R",-4311099,"R",141636,"R",1612615,"R",10244429,"Z",0,"R",11857044,"R",3528053,"R",12275732,"R",541624,"R",6889949,"R",4844159,"R",11734108,"R",39303,"R",7126822,"R",1164298,"Z",0,
101189,"R",8801998,"Z",0,"Z",0,"Z",0,"R",1900410,"Z",0,"Z",0,"R",3847320,"R",1211030,"Z",0,"R",1091266,"R",366741,"R",17218765,"C",1455950,"C",247621,"C",1115543,"C",0,"C",0,"C",1123517,"C",3942631,"R",3016430,"R",926201,"R",3993466,"Z",0,"Z",0,"R",1097279,"R",3620807,"R",3383716,"R",667063,"Z",0,"Z",0,"Z",0,"R",12762331,"R",17218765,"R",-12762331,"Z",0,"R",4456434,"R",11121480,"Z",0,"R",15577914,"R",6316571,"R",27953786,"R",12375872,"R",9246687,"R",6331227,"R",15577914,"R",426937,"R",4413431,"R",4018165,"Z",0,
101435,"R",2613435,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3471708,"R",3022782,"Z",0,"R",1802372,"R",133769,"R",11044066,"C",251020,"C",91003,"C",319712,"C",0,"C",2345338,"C",421393,"C",3428466,"Z",0,"Z",0,"R",3475164,"Z",0,"Z",0,"R",668862,"R",2158986,"R",1295140,"R",1981085,"Z",0,"Z",0,"Z",0,"R",9579237,"R",11044066,"R",-9579237,"R",-25596,"R",1439233,"R",36075886,"Z",0,"R",37515119,"R",28975619,"R",52042023,"R",14526904,"R",6025956,"R",31489163,"R",37515119,"R",780479,"R",16105065,"R",6250892,"Z",0,
101453,"R",503507,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1594612,"R",260026,"R",0,"R",87232,"R",36351,"R",2481728,"R",115979,"R",5123,"R",0,"R",0,"R",115541,"R",75321,"R",311964,"R",73748,"R",0,"R",226974,"R",0,"R",44843,"R",121737,"R",246828,"R",885584,"R",69716,"R",115541,"R",0,"R",329930,"R",2041153,"R",2481728,"R",-2041153,"R",-31076,"R",409499,"R",2699600,"R",0,"R",3109099,"R",1605383,"R",3859720,"R",750621,"R",1529580,"R",1579519,"R",3109099,"R",391532,"R",1163772,"R",1398081,"R",0,
101541,"R",1639658,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2713524,"R",1820809,"Z",0,"R",1048245,"R",333734,"R",7555970,"C",174367,"C",11550,"C",166228,"C",0,"C",355300,"C",481903,"C",1189348,"Z",0,"Z",0,"R",1869452,"Z",0,"Z",0,"R",276821,"R",727808,"R",1296639,"R",868968,"R",826289,"Z",0,"R",0,"R",5865977,"R",7555970,"R",-5865977,"Z",0,"R",1689993,"R",11345381,"Z",0,"R",13035374,"R",9961569,"R",18390572,"R",5355198,"R",2760789,"R",10274585,"R",13035374,"R",659940,"R",7557157,"Z",0,"Z",0,
101648,"R",3283089,"Z",0,"R",441912,"Z",0,"Z",0,"Z",0,"Z",0,"R",215265,"R",26034,"Z",0,"R",733489,"R",165033,"R",4864822,"C",77941,"C",21899,"C",0,"C",0,"C",0,"C",382961,"C",482801,"Z",0,"Z",0,"R",779021,"C",0,"C",0,"R",165620,"R",925607,"R",561369,"R",631774,"R",382961,"C",459104,"R",878157,"R",4783613,"R",4864822,"R",-4783613,"R",143514,"R",224723,"R",12089912,"Z",0,"R",12314635,"R",1112840,"R",12616818,"R",302183,"R",11441283,"R",873352,"R",12314635,"R",9025828,"Z",0,"R",1486154,"Z",0,
101675,"R",5890723,"Z",0,"Z",0,"Z",0,"R",5644126,"R",221544,"Z",0,"R",2187453,"R",405645,"Z",0,"R",1373346,"R",267473,"R",15990310,"C",2024202,"C",3619924,"C",221544,"C",0,"C",0,"C",0,"C",5865670,"Z",0,"Z",0,"R",2233024,"C",0,"C",0,"R",268721,"R",797484,"R",2025278,"R",1558853,"R",3757155,"C",0,"R",2976099,"R",13616614,"R",15990310,"R",-13616614,"R",-4197507,"R",-1823811,"R",22175919,"R",-642842,"R",19709266,"R",4151832,"R",21233816,"R",1524550,"R",12182222,"R",7527044,"R",19709266,"R",1401250,"R",11791557,"R",7032511,"Z",0,
101693,"R",17468115,"Z",0,"Z",0,"Z",0,"R",1763531,"R",1751319,"Z",0,"R",3751446,"R",251229,"Z",0,"Z",0,"R",2967879,"R",27953519,"C",1763531,"C",0,"C",1751319,"C",0,"C",0,"C",4170755,"C",7685605,"Z",0,"Z",0,"R",7390275,"C",0,"C",0,"R",494271,"R",2814105,"R",5341487,"R",2105050,"R",7685605,"C",0,"R",2177187,"R",28007980,"R",27953519,"R",-28007980,"Z",0,"R",-54461,"R",13750221,"Z",0,"R",13695760,"R",4065273,"R",25843076,"R",12147316,"R",8745409,"R",4950351,"R",13695760,"R",1696440,"R",16825793,"R",5515419,"Z",0,
