unitid,"xf2a01_1",f2a01_1,"xf2a02_1",f2a02_1,"xf2a04_1",f2a04_1,"xf2a05_1",f2a05_1,"xf2a06_1",f2a06_1,"xf2a07_1",f2a07_1,"xf2a08_1",f2a08_1,"xf2a09_1",f2a09_1,"xf2a10_1",f2a10_1,"xf2a11_1",f2a11_1,"xf2a12_1",f2a12_1,"xf2a13_1",f2a13_1,"xf2a14_1",f2a14_1,"xf2a15_1",f2a15_1,"xf2a16_1",f2a16_1,"xf2a17_1",f2a17_1,"xf2aa01",f2aa01,"xf2aa02",f2aa02,"xf2aa03",f2aa03,"xf2aa04",f2aa04,"xf2aa05",f2aa05,"xf2aa06",f2aa06,"xf2aa07",f2aa07,"xf2aa08",f2aa08,"xf2aa09",f2aa09,"xf2b01_1",f2b01_1,"xf2b01_2",f2b01_2,"xf2b02_1",f2b02_1,"xf2b02_2",f2b02_2,"xf2b03_1",f2b03_1,"xf2b03_2",f2b03_2,"xf2b04_1",f2b04_1,"xf2b04_2",f2b04_2,"xf2b05_1",f2b05_1,"xf2b05_2",f2b05_2,"xf2b06_1",f2b06_1,"xf2b06_2",f2b06_2,"xf2b07_1",f2b07_1,"xf2b07_2",f2b07_2,"xf2b08_1",f2b08_1,"xf2b08_2",f2b08_2,"xf2b09_1",f2b09_1,"xf2b09_2",f2b09_2,"xf2b10_1",f2b10_1,"xf2b10_2",f2b10_2,"xf2b11_2",f2b11_2,"xf2b12_1",f2b12_1,"xf2b12_2",f2b12_2,"xf2b12_3",f2b12_3,"xf2b12_5",f2b12_5,"xf2b12_6",f2b12_6,"xf2b12_7",f2b12_7,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c0308",f2c0308,"xf2c09",f2c09,"xf2c10",f2c10,"xf2c11",f2c11,"xf2c12",f2c12,"xf2d05",f2d05,"xf2d08",f2d08,"xf2d17",f2d17,"xf2d20",f2d20,"xf2d23",f2d23,"xf2d24",f2d24,"xf2dc014",f2dc014,"xf2dc024",f2dc024,"xf2dc034",f2dc034,"xf2dc044",f2dc044
"100690",10,"776295",10,"0",10,"0",10,"0",10,"19278",10,"0",10,"0",10,"1153987",10,"0",10,"16502",10,"0",10,"0",10,"0",10,"0",10,"4896",10,"1970958",10,"19278",10,"0",10,"0",10,"0",10,"8504",10,"191078",10,"218860",10,"199582",10,"0",10,"1011144",10,"641176",18,"0",10,"0",18,"0",10,"0",10,"108355",10,"89625",10,"101857",10,"57814",10,"662537",10,"284404",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"13130",10,"1883893",10,"1086149",10,"164020",10,"69757",10,"71397",10,"492570",10,"1970958",10,"-1883893",10,"0",10,"87065",10,"1375737",10,"0",10,"1462802",10,"473557",10,"2444266",10,"981464",10,"1309515",10,"153287",10,"1462802",10,"279448",10,"1016495",10,"1245056",10,"0"
"100937",10,"17707072",10,"0",10,"0",10,"0",10,"698783",10,"392570",10,"20000",10,"10857716",10,"0",10,"23052019",10,"792391",10,"5180606",10,"0",10,"0",10,"247576",10,"58948733",10,"363689",10,"225441",10,"359476",10,"1149966",10,"1968641",10,"4414145",10,"8481358",10,"0",10,"0",10,"8939439",10,"6045300",18,"0",10,"0",18,"0",10,"0",10,"1558360",10,"686466",10,"3977174",10,"1535652",10,"7795883",10,"2233060",10,"5648700",10,"239870",10,"8481358",10,"0",18,"0",10,"0",18,"0",10,"0",10,"0",10,"36400914",10,"10740348",10,"2685281",10,"2456706",10,"719643",10,"19798936",10,"58948733",10,"-36400914",10,"-2575364",10,"19972455",10,"141965480",10,"0",10,"161937935",10,"124653846",10,"197696897",10,"35758962",10,"75311335",10,"86626600",10,"161937935",10,"2375505",10,"44231387",10,"19288272",10,"0"
"101073",10,"2272227",10,"1240134",10,"18075",10,"0",10,"0",10,"0",10,"0",10,"218975",10,"1272419",10,"558332",10,"0",10,"739312",10,"0",10,"0",10,"64158",10,"6383632",10,"985485",10,"0",10,"18700",10,"0",10,"1451915",10,"0",10,"2456100",10,"0",10,"0",10,"1261799",10,"268330",10,"53651",10,"40712",18,"0",10,"0",10,"284638",10,"113052",10,"213601",10,"158752",10,"949835",10,"392261",10,"997974",10,"117870",10,"1451915",10,"0",18,"0",10,"0",18,"0",10,"0",11,"62412",10,"5213413",11,"1153389",11,"232102",10,"264504",18,"0",11,"3563418",10,"6383632",10,"-5213413",11,"0",10,"1170219",10,"11734108",10,"0",10,"12904327",10,"6498603",10,"16016521",11,"3112194",10,"7471004",10,"5433323",10,"12904327",10,"39303",10,"7280328",10,"1400524",10,"0"
"101189",10,"9878027",10,"0",10,"0",10,"0",10,"1784629",10,"0",10,"0",10,"2730277",10,"0",10,"1534824",10,"0",10,"1240984",10,"0",10,"0",10,"394024",10,"17562765",10,"1695677",10,"132824",10,"1243149",10,"0",10,"115086",10,"1150409",10,"4337145",10,"2879464",10,"1457681",10,"4625877",17,"3432108",18,"0",17,"53317",18,"0",17,"53009",10,"1119627",17,"559507",10,"4118548",17,"849253",10,"3317768",17,"1248253",10,"737700",17,"321553",18,"0",17,"19318",18,"0",17,"4774",18,"0",17,"24258",17,"443473",10,"13919520",10,"7008823",10,"879699",10,"867581",10,"451814",10,"4711603",10,"17562765",10,"-13919520",10,"0",10,"3643245",10,"15577914",10,"0",10,"19221159",10,"8407626",10,"32894905",10,"13673746",10,"11435679",10,"7785480",10,"19221159",10,"1068902",10,"13352037",10,"5861831",10,"0"
"101435",10,"2854000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3386850",10,"0",10,"7514783",10,"0",10,"2177526",10,"0",10,"0",10,"285088",10,"16218247",10,"289499",10,"174865",10,"332465",10,"0",10,"2241684",10,"1214929",10,"4253442",10,"0",10,"0",10,"3810217",10,"2037854",18,"0",10,"0",18,"0",10,"0",10,"712725",10,"331754",10,"2461295",10,"943120",10,"1463302",10,"661524",10,"2291727",10,"0",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"401676",10,"10739266",10,"4375928",10,"769814",10,"975003",10,"991274",10,"3627247",10,"16218247",10,"-10739266",10,"-35846",10,"5443135",10,"37515119",10,"0",10,"42958254",10,"35147653",10,"67192140",10,"24233886",10,"6127603",10,"36830651",10,"42958254",10,"882787",10,"16440171",10,"7202694",10,"0"
"101453",10,"507889",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2162426",10,"61432",10,"210027",10,"0",10,"81325",10,"0",10,"0",10,"21708",10,"3044807",10,"133269",10,"13687",10,"0",10,"0",10,"123943",10,"15380",10,"286279",10,"13630",10,"0",10,"345034",10,"252468",10,"11066",10,"800",10,"41513",10,"1089",10,"144431",10,"103037",10,"303787",10,"171331",10,"1145050",10,"534627",10,"94463",10,"8504",10,"144311",10,"0",18,"0",10,"0",18,"0",10,"0",10,"37380",10,"2229655",10,"1109236",10,"177861",10,"143580",10,"45218",10,"753760",10,"3044807",10,"-2229655",10,"-13476",11,"801676",10,"3109099",10,"0",10,"3910775",10,"1893301",10,"4827881",10,"917106",10,"1388291",10,"2522484",10,"3910775",10,"447445",10,"1175386",10,"1587129",10,"0"
"101541",10,"1715348",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5948572",10,"0",10,"2024087",10,"0",10,"1119364",10,"0",10,"0",10,"342268",10,"11149639",10,"173832",10,"16716",10,"150150",10,"0",10,"546225",10,"310830",11,"1197753",10,"0",10,"0",10,"1945750",10,"914737",18,"0",10,"0",18,"0",10,"0",10,"282202",10,"154137",10,"823813",10,"433467",10,"1536075",10,"286962",10,"895179",10,"13970",10,"866056",10,"0",18,"0",10,"0",18,"0",10,"0",11,"327800",10,"6349075",11,"2131073",11,"399409",10,"509221",10,"191644",11,"3117728",10,"11149639",10,"-6349075",10,"0",10,"4800564",10,"13035374",10,"0",10,"17835938",10,"7572440",10,"22996936",10,"5160998",10,"3026457",10,"14809481",10,"17835938",10,"267348",10,"7791742",10,"2879905",10,"0"
"101648",10,"3653021",10,"0",10,"441912",10,"0",10,"0",10,"0",10,"0",10,"479660",10,"0",10,"30529",10,"0",10,"776696",10,"0",10,"0",10,"205241",10,"5587059",10,"125480",10,"33680",10,"0",10,"0",10,"45600",10,"343553",10,"548313",10,"874324",10,"0",10,"1047202",10,"742572",18,"0",10,"0",18,"0",10,"0",10,"201125",10,"117847",10,"1589590",10,"616282",10,"702821",10,"263714",10,"854070",10,"111168",10,"343553",10,"0",18,"0",10,"0",10,"586584",10,"0",10,"892906",10,"5324945",10,"2744489",10,"267797",18,"0",18,"0",10,"2312659",10,"5587059",10,"-5324945",10,"1216252",10,"1478366",10,"12314635",10,"0",10,"13793001",10,"1553834",10,"14054627",10,"261626",10,"12661016",10,"1131985",10,"13793001",10,"9025828",10,"0",10,"1613786",10,"0"
"101675",10,"6554085",10,"0",10,"0",10,"0",10,"5692366",10,"0",10,"0",10,"1504542",10,"0",10,"485420",10,"0",10,"1467116",10,"0",10,"0",10,"262095",10,"15965624",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3631356",10,"2077339",18,"0",10,"0",18,"0",10,"0",10,"407747",10,"164198",10,"1801281",10,"580967",10,"3029754",10,"470316",10,"2083287",10,"198995",10,"4167287",10,"0",18,"0",10,"0",18,"0",10,"0",10,"0",10,"15120712",10,"3491815",10,"368159",10,"1578859",18,"0",10,"9681879",10,"15965624",10,"-15120712",10,"0",10,"844912",10,"19709266",10,"0",10,"20554178",10,"8808396",10,"26642994",10,"6088816",10,"12575732",10,"7978446",10,"20554178",10,"1401250",10,"13210748",10,"6683295",10,"0"
"101693",10,"13383342",10,"0",10,"0",10,"0",10,"175563",10,"0",10,"0",10,"3257358",10,"115000",10,"535456",10,"0",10,"2391347",10,"0",10,"0",10,"153097",10,"20011163",10,"1655155",10,"175563",10,"1009814",10,"366406",10,"630381",10,"3691014",10,"7528333",10,"4321395",10,"0",10,"9359264",10,"5619421",18,"0",10,"0",18,"0",10,"0",10,"886256",10,"395957",10,"1399597",10,"770689",10,"3914457",10,"1372854",10,"3909756",10,"762914",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"251934",10,"19469330",10,"9173769",10,"2258255",10,"1073353",10,"710736",10,"6253217",10,"20011163",10,"-19469330",10,"1408120",10,"1949953",10,"13695760",10,"0",10,"15645713",10,"5305251",10,"27791316",10,"12145603",10,"7632490",10,"8013223",10,"15645713",10,"844206",10,"18947405",10,"6442639",10,"0"
