UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XISPRO10,ISPROF10,XISPFE10,ISPFEE10,XOSPRO10,OSPROF10,XOSPFE10,OSPFEE10,XISPRO11,ISPROF11,XISPFE11,ISPFEE11,XOSPRO11,OSPROF11,XOSPFE11,OSPFEE11,XCHG1AY1,CHG1AY1,XCHG1AY2,CHG1AY2,XCHG1AY3,CHG1AY3,XCHG2AY1,CHG2AY1,XCHG2AY2,CHG2AY2,XCHG2AY3,CHG2AY3,XCHG3AY1,CHG3AY1,XCHG3AY2,CHG3AY2,XCHG3AY3,CHG3AY3,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM 
100654,"R",3120,"R",520,"R",130,"A",.,"R",3120,"R",520,"R",130,"A",.,"R",6240,"R",520,"R",260,"A",.,"R",3564,"R",530,"R",198,"R",3564,"R",530,"R",198,"R",7128,"R",530,"R",396,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3040,"R",3352,"R",4420,"R",3040,"R",3352,"R",4420,"R",5560,"R",6184,"R",8320,"R",800,"R",900,"R",1800,"R",4500,"R",4500,"R",4770,"R",2300,"R",2300,"R",2600,"R",4500,"R",4500,"R",4770,"R",2300,"R",2300,"R",2600,"R",1300,"R",1300,"R",1300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,13590,13590,17490,13590,13590,17490,7520,7520,11420
100663,"R",3840,"R",822,"R",128,"A",.,"R",3840,"R",822,"R",128,"A",.,"R",9600,"R",822,"R",320,"A",.,"R",3888,"R",714,"R",162,"R",3888,"R",714,"R",162,"R",9720,"R",714,"R",405,"Y",.,"Y",.,"Y",.,"Y",.,"R",8757,"R",1616,"R",26271,"R",1616,"R",10219,"R",1391,"R",30657,"R",1391,"R",9540,"R",2751,"R",28620,"R",2751,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",3880,"R",4274,"R",4662,"R",3880,"R",4274,"R",4662,"R",7810,"R",9494,"R",10422,"R",900,"R",900,"R",900,"R",7218,"R",8627,"R",8743,"R",2438,"R",2438,"R",2438,"R",7875,"R",8823,"R",8823,"R",3375,"R",3375,"R",3375,"R",3375,"R",3375,"R",3375,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,16743,16743,22503,17760,17760,23520,8937,8937,14697
100690,"R",10040,"Z",0,"R",385,"A",.,"R",10040,"Z",0,"R",385,"A",.,"R",10040,"Z",0,"R",385,"A",.,"R",8370,"Z",0,"R",465,"R",8370,"Z",0,"R",465,"R",8370,"Z",0,"R",465,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",8370,"R",800,"R",8370,"R",800,"Y",.,"Y",.,"Y",.,"Y",.,"R",8960,"R",9440,"R",10040,"R",8960,"R",9440,"R",10040,"R",8960,"R",9440,"R",10040,"R",600,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7782,"R",7782,"R",7782,"R",1474,"R",1474,"R",1474,"R",1474,"R",1474,"R",1474,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,19896,19896,19896,12114,12114,12114
100706,"R",3646,"R",870,"R",140,"A",.,"R",3646,"R",870,"R",140,"A",.,"R",7778,"R",1740,"R",299,"A",.,"R",4950,"R",696,"R",234,"R",4950,"R",696,"R",234,"R",10216,"R",1392,"R",479,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3764,"R",4126,"R",4516,"R",3764,"R",4126,"R",4516,"R",7940,"R",8702,"R",9518,"R",720,"R",720,"R",720,"R",6180,"R",6380,"R",6480,"R",2015,"R",2015,"R",2015,"R",6180,"R",6380,"R",6480,"R",2280,"R",2280,"R",2280,"R",2280,"R",2280,"R",2280,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,13731,13731,18733,13996,13996,18998,7516,7516,12518
100724,"R",4008,"R",0,"R",167,"A",.,"R",4008,"R",0,"R",167,"A",.,"R",8016,"R",0,"R",334,"A",.,"R",4608,"R",0,"R",192,"R",4608,"R",0,"R",192,"R",9216,"R",0,"R",384,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2904,"R",3600,"R",4008,"R",2904,"R",3600,"R",4008,"R",5808,"R",7200,"R",8016,"R",800,"R",800,"R",800,"R",3580,"R",3600,"R",3600,"R",2310,"R",2310,"R",2310,"R",5625,"R",5625,"R",5625,"R",2820,"R",2820,"R",2820,"R",2820,"R",2820,"R",2820,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,10718,10718,14726,13253,13253,17261,7628,7628,11636
100751,"R",4630,"R",0,"R",190,"A",.,"R",4630,"R",0,"R",190,"A",.,"R",12664,"R",0,"R",535,"A",.,"R",4630,"R",0,"R",201,"R",4630,"R",0,"R",201,"R",12664,"R",0,"R",586,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",11391,"R",0,"R",31757,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",8130,"R",0,"R",16802,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",3556,"R",4134,"R",4630,"R",3556,"R",4134,"R",4630,"R",9624,"R",11294,"R",12664,"R",700,"R",800,"R",800,"R",4232,"R",4456,"R",4734,"R",2392,"R",2392,"R",2426,"R",6104,"R",7102,"R",7310,"R",2722,"R",2722,"R",2762,"R",3378,"R",3378,"R",3438,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,12590,12590,20624,15502,15502,23536,8868,8868,16902
100760,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2040,"R",2296,"R",2700,"R",2040,"R",2296,"R",2700,"R",4080,"R",4560,"R",5400,"R",600,"R",700,"R",700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4266,"R",6400,"R",6400,"R",1250,"R",1075,"R",1075,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,10875,10875,13575,4400,4400,7100
100812,"R",3300,"R",570,"R",110,"A",.,"R",3300,"R",570,"R",110,"A",.,"R",6600,"R",570,"R",220,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,.,.,.,.
100830,"R",4230,"R",230,"R",141,"A",.,"R",4230,"R",230,"R",141,"A",.,"R",12690,"R",230,"R",423,"A",.,"R",4056,"R",200,"R",169,"R",4056,"R",200,"R",169,"R",12168,"R",200,"R",507,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3620,"R",4130,"R",4460,"R",3620,"R",4130,"R",4460,"R",10400,"R",11930,"R",12920,"R",600,"R",600,"R",600,"R",4610,"R",4890,"R",4890,"R",2360,"R",2360,"R",2510,"R",4610,"R",4890,"R",4890,"R",2360,"R",2360,"R",2510,"R",2360,"R",2360,"R",2510,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,12460,12460,20920,12460,12460,20920,7570,7570,16030
100858,"R",4610,"R",218,"R",191,"A",.,"R",4610,"R",218,"R",191,"A",.,"R",13830,"R",218,"R",573,"A",.,"R",4610,"R",218,"R",191,"R",4610,"R",218,"R",191,"R",13830,"R",218,"R",573,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",12290,"R",218,"R",21750,"R",218,"Y",.,"Y",.,"Y",.,"Y",.,"R",8830,"R",218,"R",26490,"R",218,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",3784,"R",4426,"R",4828,"R",3784,"R",4426,"R",4828,"R",11084,"R",12886,"R",14048,"R",900,"R",900,"R",900,"R",5586,"R",5970,"R",6686,"R",1640,"R",1689,"R",1988,"R",6086,"R",6270,"R",6692,"R",2052,"R",2114,"R",2424,"R",1640,"R",1689,"R",1988,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,14402,14402,23622,14844,14844,24064,7716,7716,16936
