UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XISPRO10,ISPROF10,XISPFE10,ISPFEE10,XOSPRO10,OSPROF10,XOSPFE10,OSPFEE10,XISPRO11,ISPROF11,XISPFE11,ISPFEE11,XOSPRO11,OSPROF11,XOSPFE11,OSPFEE11,XCHG1AY1,CHG1AY1,XCHG1AY2,CHG1AY2,XCHG1AY3,CHG1AY3,XCHG2AY1,CHG2AY1,XCHG2AY2,CHG2AY2,XCHG2AY3,CHG2AY3,XCHG3AY1,CHG3AY1,XCHG3AY2,CHG3AY2,XCHG3AY3,CHG3AY3,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3 
100636,"R",0,"R",0,"R",0,"A",.,"R",0,"Z",0,"R",0,"A",.,"R",0,"Z",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100654,"R",3432,"R",640,"R",143,"A",.,"R",3432,"R",640,"R",143,"A",.,"R",6864,"R",640,"R",286,"A",.,"R",3924,"R",650,"R",218,"R",3924,"R",650,"R",218,"R",7848,"R",650,"R",436,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3640,"R",4072,"R",4072,"R",3640,"R",4072,"R",4072,"R",6760,"R",7304,"R",7304,"R",1800,"R",1800,"R",1800,"R",4770,"R",4770,"R",4770,"R",2600,"R",2600,"R",2600,"R",4770,"R",4770,"R",4770,"R",2600,"R",2600,"R",2600,"R",1300,"R",1300,"R",1300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100663,"R",3792,"R",872,"R",158,"A",.,"R",3792,"R",872,"R",158,"A",.,"R",9480,"R",872,"R",395,"A",.,"R",3672,"R",762,"R",204,"R",3672,"R",762,"R",204,"R",9180,"R",762,"R",510,"Y",.,"Y",.,"Y",.,"Y",.,"R",13276,"R",1740,"R",39828,"R",1740,"R",15254,"R",1477,"R",45762,"R",1477,"R",13341,"R",2917,"R",40023,"R",2917,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",3892,"R",4208,"R",4664,"R",3892,"R",4208,"R",4664,"R",8644,"R",9296,"R",10352,"R",900,"R",900,"R",900,"R",9080,"R",8924,"R",8924,"R",2438,"R",3575,"R",3750,"R",8904,"R",8924,"R",8924,"R",3375,"R",3575,"R",3750,"R",3375,"R",3575,"R",3750,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100690,"R",6600,"R",0,"R",275,"A",.,"R",6600,"Z",0,"R",275,"A",.,"R",6600,"Z",0,"R",275,"A",.,"R",9630,"R",800,"R",535,"R",9630,"R",800,"R",535,"R",9630,"R",800,"R",535,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",9630,"R",800,"R",9630,"R",800,"Y",.,"Y",.,"Y",.,"Y",.,"R",6000,"R",6240,"R",6600,"R",6000,"R",6240,"R",6600,"R",6000,"R",6240,"R",6600,"R",1350,"R",1350,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5600,"R",5600,"R",6720,"R",1400,"R",1400,"R",1600,"R",1400,"R",1400,"R",1600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100706,"R",5052,"R",900,"R",193,"A",.,"R",5052,"R",900,"R",193,"A",.,"R",11112,"R",1980,"R",425,"A",.,"R",6624,"R",720,"R",311,"R",6624,"R",720,"R",311,"R",14570,"R",1584,"R",681,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4848,"R",5216,"R",5952,"R",4848,"R",5216,"R",5952,"R",10224,"R",11024,"R",13092,"R",720,"R",942,"R",1042,"R",6180,"R",6290,"R",6576,"R",2176,"R",2944,"R",3306,"R",6180,"R",6290,"R",6576,"R",2176,"R",2944,"R",3306,"R",2176,"R",2944,"R",3306,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100724,"R",4608,"R",852,"R",192,"A",.,"R",4608,"R",852,"R",192,"A",.,"R",9216,"R",852,"R",384,"A",.,"R",5328,"R",852,"R",222,"R",5328,"R",852,"R",222,"R",10656,"R",852,"R",444,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4008,"R",4508,"R",5460,"R",4008,"R",4508,"R",5460,"R",8016,"R",8516,"R",10068,"R",1000,"R",1000,"R",1000,"R",3600,"R",4150,"R",4400,"R",2310,"R",2310,"R",2544,"R",5625,"R",5625,"R",7350,"R",2310,"R",2310,"R",3172,"R",2820,"R",2820,"R",3172,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100751,"R",6400,"R",0,"R",486,"A",.,"R",6400,"R",0,"R",486,"A",.,"R",18000,"R",0,"R",988,"A",.,"R",6400,"R",0,"R",503,"R",6400,"R",0,"R",503,"R",18000,"R",0,"R",1060,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",16731,"R",0,"R",47239,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",12564,"R",0,"R",24158,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",5278,"R",5700,"R",6400,"R",5278,"R",5700,"R",6400,"R",15294,"R",16518,"R",18000,"R",950,"R",950,"R",1000,"R",8550,"R",8950,"R",9842,"R",3093,"R",3002,"R",3154,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100760,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2340,"R",2700,"R",2700,"R",2340,"R",2700,"R",2700,"R",4830,"R",4830,"R",4830,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6400,"R",6400,"R",6400,"R",1075,"R",1075,"R",1075,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100812,"R",3300,"R",750,"R",110,"A",.,"R",3300,"R",750,"R",110,"A",.,"R",6600,"R",750,"R",220,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100830,"R",5310,"R",270,"R",177,"A",.,"R",5310,"R",270,"R",177,"A",.,"R",15930,"R",270,"R",531,"A",.,"R",5088,"R",234,"R",212,"R",5088,"R",234,"R",212,"R",15364,"R",234,"R",636,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4760,"R",5010,"R",5580,"R",4760,"R",5010,"R",5580,"R",13760,"R",14490,"R",16200,"R",800,"R",800,"R",900,"R",4890,"R",4890,"R",5025,"R",1910,"R",2150,"R",2760,"R",6890,"R",6890,"R",7790,"R",2360,"R",2600,"R",2760,"R",1910,"R",2150,"R",2760,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
