UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY0,CMP1AY0,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,CMP1GTD,XCMP2AY0,CMP2AY0,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,CMP2GTD,XCMP3AY0,CMP3AY0,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CMP3GTD 
100636,"R",0,"R",0,"R",0,"A",.,"R",0,"Z",0,"R",0,"A",.,"R",0,"Z",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,.,.,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,.,.,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,"B",.,"B",.,"R",0,.,.,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100654,"R",3948,"R",744,"R",165,"A",.,"R",3948,"R",744,"R",165,"A",.,"R",7896,"R",744,"R",329,"A",.,"R",4514,"R",744,"R",251,"R",4514,"R",744,"R",251,"R",9031,"R",744,"R",502,"R",3432,"R",640,"R",4072,"R",3432,"R",640,"R",4072,"R",3432,"R",640,"R",4072,"R",3948,"R",744,"R",4692,.,.,"R",3432,"R",640,"R",4072,"R",3432,"R",640,"R",4072,"R",3432,"R",640,"R",4072,"R",3948,"R",744,"R",4692,.,.,"R",6864,"R",640,"R",7504,"R",6864,"R",640,"R",7504,"R",6864,"R",640,"R",7504,"R",7894,"R",744,"R",8638,.,.,"R",1800,"R",1800,"R",1800,"R",1800,"R",4770,"R",4770,"R",4770,"R",5350,"R",2600,"R",2600,"R",2600,"R",2080,"R",4770,"R",4770,"R",4770,"R",5350,"R",2600,"R",2600,"R",2600,"R",2080,"R",1300,"R",1300,"R",1300,"R",1300,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100663,"R",4224,"R",872,"R",176,"A",.,"R",4224,"R",872,"R",176,"A",.,"R",10560,"R",872,"R",440,"A",.,"R",4086,"R",680,"R",227,"R",4086,"R",680,"R",227,"R",10224,"R",680,"R",568,"R",3168,"R",724,"R",3892,"R",3384,"R",824,"R",4208,"R",3792,"R",872,"R",4664,"R",4224,"R",872,"R",5096,.,.,"R",3168,"R",724,"R",3892,"R",3384,"R",824,"R",4208,"R",3792,"R",872,"R",4664,"R",4224,"R",872,"R",5096,.,.,"R",7920,"R",724,"R",8644,"R",8472,"R",824,"R",9296,"R",9480,"R",872,"R",10352,"R",10560,"R",872,"R",11432,.,.,"R",900,"R",900,"R",900,"R",1000,"R",9080,"R",8924,"R",8924,"R",8969,"R",2438,"R",3575,"R",3750,"R",4050,"R",8904,"R",8924,"R",8924,"R",8969,"R",3375,"R",3575,"R",3750,"R",4050,"R",3375,"R",3575,"R",3750,"R",4050,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100690,"R",7200,"R",800,"R",300,"A",.,"R",7200,"R",800,"R",300,"A",.,"R",7200,"R",800,"R",300,"A",.,"R",10080,"R",1200,"R",560,"R",10080,"R",1200,"R",560,"R",10080,"R",1200,"R",560,"R",6120,"R",0,"R",6120,"R",6240,"R",0,"R",6240,"R",6600,"R",800,"R",7400,"R",7200,"R",800,"R",8000,.,.,"R",6120,"R",0,"R",6120,"R",6240,"R",0,"R",6240,"R",6600,"R",800,"R",7400,"R",7200,"R",800,"R",8000,.,.,"R",6120,"R",0,"R",6120,"R",6240,"R",0,"R",6240,"R",6600,"R",800,"R",7400,"R",7200,"R",800,"R",8000,.,.,"R",1350,"R",1350,"R",1500,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5600,"R",5600,"R",9600,"R",9600,"R",1400,"R",1400,"R",1600,"R",1600,"R",1400,"R",1400,"R",1600,"R",1600,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100706,"R",5580,"R",930,"R",213,"A",.,"R",5580,"R",930,"R",213,"A",.,"R",13396,"R",2232,"R",512,"A",.,"R",7286,"R",744,"R",343,"R",7286,"R",744,"R",343,"R",17486,"R",1785,"R",818,"R",3978,"R",870,"R",4848,"R",4346,"R",870,"R",5216,"R",5052,"R",900,"R",5952,"R",5580,"R",930,"R",6510,.,.,"R",3978,"R",870,"R",4848,"R",4346,"R",870,"R",5216,"R",5052,"R",900,"R",5952,"R",5580,"R",930,"R",6510,.,.,"R",8484,"R",1740,"R",10224,"R",9284,"R",1740,"R",11024,"R",11112,"R",1980,"R",13092,"R",13396,"R",2232,"R",15628,.,.,"R",720,"R",942,"R",1042,"R",1542,"R",6180,"R",6290,"R",6576,"R",7208,"R",2176,"R",2944,"R",3306,"R",3957,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100724,"R",5616,"R",852,"R",234,"A",.,"R",5616,"R",852,"R",234,"A",.,"R",11232,"R",852,"R",468,"A",.,"R",6672,"R",852,"R",278,"R",6672,"R",852,"R",278,"R",13344,"R",852,"R",556,"R",4008,"B",.,"R",4008,"R",4008,"R",500,"R",4508,"R",5608,"R",852,"R",6460,"R",5616,"R",852,"R",6468,.,.,"R",4008,"B",.,"R",4008,"R",4008,"R",500,"R",4508,"R",5608,"R",852,"R",6460,"R",5616,"R",852,"R",6468,.,.,"R",8016,"B",.,"R",8016,"R",8016,"R",500,"R",8516,"R",9216,"R",852,"R",10068,"R",11232,"R",852,"R",12084,.,.,"R",1000,"R",1000,"R",1000,"R",1600,"R",3600,"R",4150,"R",4400,"R",4600,"R",2310,"R",2310,"R",2544,"R",2544,"R",5625,"R",5625,"R",7350,"R",7350,"R",2310,"R",2310,"R",3172,"R",3172,"R",2820,"R",2820,"R",3172,"R",3172,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100751,"R",7000,"R",0,"R",380,"A",.,"R",7000,"R",0,"R",380,"A",.,"R",19200,"R",0,"R",908,"A",.,"R",7000,"R",0,"R",416,"R",7000,"R",0,"R",416,"R",19200,"R",0,"R",1000,"R",5278,"R",0,"R",5278,"R",5700,"R",0,"R",5700,"R",6400,"R",0,"R",6400,"R",7000,"R",0,"R",7000,.,.,"R",5278,"R",0,"R",5278,"R",5700,"R",0,"R",5700,"R",6400,"R",0,"R",6400,"R",7000,"R",0,"R",7000,.,.,"R",15294,"R",0,"R",15294,"R",16518,"R",0,"R",16518,"R",18000,"R",0,"R",18000,"R",19200,"R",0,"R",19200,.,.,"R",950,"R",950,"R",1000,"R",1100,"R",8550,"R",8950,"R",9842,"R",10400,"R",3093,"R",3002,"R",3254,"R",3065,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100760,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",1846,"R",494,"R",2340,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",1846,"R",494,"R",2340,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,.,.,"R",800,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6400,"R",6400,"R",6400,"R",6400,"R",1075,"R",1075,"R",1075,"R",1075,"R",1000,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100812,"R",3600,"R",750,"R",120,"A",.,"R",3600,"R",750,"R",120,"A",.,"R",7200,"R",750,"R",240,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100830,"R",5640,"R",330,"R",188,"A",.,"R",5640,"R",330,"R",188,"A",.,"R",16920,"R",330,"R",564,"A",.,"R",5400,"R",282,"R",225,"R",5400,"R",282,"R",225,"R",16200,"R",282,"R",675,"R",4500,"R",260,"R",4760,"R",4740,"R",270,"R",5010,"R",5310,"R",270,"R",5580,"R",5640,"R",330,"R",5970,.,.,"R",4500,"R",260,"R",4760,"R",4740,"R",270,"R",5010,"R",5310,"R",270,"R",5580,"R",5640,"R",330,"R",5970,.,.,"R",13500,"R",260,"R",13760,"R",14220,"R",270,"R",14490,"R",15930,"R",270,"R",16200,"R",16920,"R",330,"R",17250,.,.,"R",800,"R",800,"R",900,"R",900,"R",4890,"R",4890,"R",5025,"R",5352,"R",1910,"R",2150,"R",2760,"R",2810,"R",6890,"R",6890,"R",7790,"R",7790,"R",2360,"R",2600,"R",2760,"R",2810,"R",1910,"R",2150,"R",2760,"R",2810,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
