unitid,contract,arank,"xempcntm",empcntm,"xoutlaym",outlaym,"xavesalm",avesalm,"xempcntw",empcntw,"xoutlayw",outlayw,"xavesalw",avesalw,"xempcntt",empcntt,"xoutlayt",outlayt,"xavesalt",avesalt
"100654","1","1",10,"23",10,"1382525",10,"60110",10,"12",10,"707235",10,"58936",10,"35",10,"2089760",10,"59707"
"100654","1","2",10,"44",10,"2395368",10,"54440",10,"12",10,"592538",10,"49378",10,"56",10,"2987906",10,"53355"
"100654","1","3",10,"82",10,"3659177",10,"44624",10,"40",10,"1615713",10,"40393",10,"122",10,"5274890",10,"43237"
"100654","1","4",10,"20",10,"723391",10,"36170",10,"22",10,"746513",10,"33932",10,"42",10,"1469904",10,"34998"
"100654","1","7",10,"169",10,"8160461",10,"48287",10,"86",10,"3661999",10,"42581",10,"255",10,"11822460",10,"46363"
"100654","2","1",10,"7",10,"566877",10,"80982",10,"5",10,"336076",10,"67215",10,"12",10,"902953",10,"75246"
"100654","2","2",10,"14",10,"859689",10,"61406",10,"2",10,"126461",10,"63231",10,"16",10,"986150",10,"61634"
"100654","2","3",10,"10",10,"561393",10,"56139",10,"1",10,"56000",10,"56000",10,"11",10,"617393",10,"56127"
"100654","2","7",10,"31",10,"1987959",10,"64128",10,"8",10,"518537",10,"64817",10,"39",10,"2506496",10,"64269"
"100654","3","3",10,"1",10,"37886",10,"37886",10,"1",10,"51000",10,"51000",10,"2",10,"88886",10,"44443"
"100654","3","4",,"",,"",,"",10,"3",10,"51125",10,"17042",10,"3",10,"51125",10,"17042"
"100654","3","7",10,"1",10,"37886",10,"37886",10,"4",10,"102125",10,"25531",10,"5",10,"140011",10,"28002"
"100654","4","1",10,"30",10,"1846344",10,"61545",10,"17",10,"982212",10,"57777",10,"47",10,"2828556",10,"60182"
"100654","4","2",10,"58",10,"3098766",10,"53427",10,"14",10,"696008",10,"49715",10,"72",10,"3794774",10,"52705"
"100654","4","3",10,"92",10,"4118509",10,"44766",10,"41",10,"1661532",10,"40525",10,"133",10,"5780041",10,"43459"
"100654","4","4",10,"20",10,"723391",10,"36170",10,"22",10,"746513",10,"33932",10,"42",10,"1469904",10,"34998"
"100654","4","7",10,"200",10,"9787010",10,"48935",10,"94",10,"4086265",10,"43471",10,"294",10,"13873275",10,"47188"
"100663","1","1",10,"73",10,"5353620",10,"73337",10,"14",10,"935934",10,"66852",10,"87",10,"6289554",10,"72294"
"100663","1","2",10,"86",10,"4831746",10,"56183",10,"37",10,"2005833",10,"54212",10,"123",10,"6837579",10,"55590"
