UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",24,"R",2000726,"R",83364,"R",14,"R",1169433,"R",83531,"R",38,"R",3170159,"R",83425
100654,1,2,"R",39,"R",2600678,"R",66684,"R",15,"R",986894,"R",65793,"R",54,"R",3587572,"R",66437
100654,1,3,"R",63,"R",3564497,"R",56579,"R",36,"R",1879900,"R",52219,"R",99,"R",5444397,"R",54994
100654,1,4,"R",14,"R",614068,"R",43862,"R",26,"R",1069522,"R",41135,"R",40,"R",1683590,"R",42090
100654,1,7,"R",140,"R",8779969,"R",62714,"R",91,"R",5105749,"R",56107,"R",231,"R",13885718,"R",60111
100654,2,1,"R",7,"R",696314,"R",99473,"R",3,"R",302054,"R",100685,"R",10,"R",998368,"R",99837
100654,2,2,"R",4,"R",371209,"R",92802,"R",2,"R",149354,"R",74677,"R",6,"R",520563,"R",86761
100654,2,3,"R",2,"R",150901,"R",75451,"R",4,"R",255690,"R",63923,"R",6,"R",406591,"R",67765
100654,2,4,"Z",0,"Z",0,"A",,"R",1,"R",73535,"R",73535,"R",1,"R",73535,"R",73535
100654,2,7,"R",13,"R",1218424,"R",93725,"R",10,"R",780633,"R",78063,"R",23,"R",1999057,"R",86916
100654,4,1,"R",31,"R",2570450,"R",82918,"R",17,"R",1416574,"R",83328,"R",48,"R",3987024,"R",83063
100654,4,2,"R",43,"R",2904401,"R",67544,"R",17,"R",1109095,"R",65241,"R",60,"R",4013496,"R",66892
100654,4,3,"R",65,"R",3687964,"R",56738,"R",40,"R",2089106,"R",52228,"R",105,"R",5777070,"R",55020
100654,4,4,"R",14,"R",614068,"R",43862,"R",27,"R",1129688,"R",41840,"R",41,"R",1743756,"R",42531
100654,4,7,"R",153,"R",9776883,"R",63901,"R",101,"R",5744463,"R",56876,"R",254,"R",15521346,"R",61108
100663,1,1,"R",70,"R",7587096,"R",108387,"R",18,"R",1674764,"R",93042,"R",88,"R",9261860,"R",105248
100663,1,2,"R",84,"R",6820075,"R",81191,"R",51,"R",3703614,"R",72620,"R",135,"R",10523689,"R",77953
100663,1,3,"R",74,"R",5057910,"R",68350,"R",50,"R",3217068,"R",64341,"R",124,"R",8274978,"R",66734
100663,1,4,"R",17,"R",882774,"R",51928,"R",17,"R",793597,"R",46682,"R",34,"R",1676371,"R",49305
100663,1,7,"R",245,"R",20347855,"R",83052,"R",136,"R",9389043,"R",69037,"R",381,"R",29736898,"R",78050
100663,2,1,"R",88,"R",15839171,"R",179991,"R",41,"R",6653590,"R",162283,"R",129,"R",22492761,"R",174362
100663,2,2,"R",60,"R",7025527,"R",117092,"R",55,"R",6447528,"R",117228,"R",115,"R",13473055,"R",117157
100663,2,3,"R",56,"R",5020059,"R",89644,"R",108,"R",9527586,"R",88218,"R",164,"R",14547645,"R",88705
100663,2,4,"R",17,"R",1304175,"R",76716,"R",46,"R",3564936,"R",77499,"R",63,"R",4869111,"R",77287
100663,2,7,"R",221,"R",29188932,"R",132077,"R",250,"R",26193640,"R",104775,"R",471,"R",55382572,"R",117585
100663,4,1,"R",158,"R",20546706,"R",130042,"R",59,"R",7118731,"R",120656,"R",217,"R",27665437,"R",127490
100663,4,2,"R",144,"R",12568361,"R",87280,"R",106,"R",8978981,"R",84707,"R",250,"R",21547342,"R",86189
100663,4,3,"R",130,"R",9165322,"R",70502,"R",158,"R",11012539,"R",69700,"R",288,"R",20177861,"R",70062
100663,4,4,"R",34,"R",1949850,"R",57349,"R",63,"R",3710428,"R",58896,"R",97,"R",5660278,"R",58353
100663,4,7,"R",466,"R",44230239,"R",94915,"R",386,"R",30820679,"R",79846,"R",852,"R",75050918,"R",88088
100690,2,4,"R",39,"R",1521286,"R",39007,"R",8,"R",370288,"R",46286,"R",47,"R",1891574,"R",40246
100690,2,7,"R",39,"R",1521286,"R",39007,"R",8,"R",370288,"R",46286,"R",47,"R",1891574,"R",40246
100690,4,4,"R",39,"R",1244716,"R",31916,"R",8,"R",302970,"R",37871,"R",47,"R",1547686,"R",32929
100690,4,7,"R",39,"R",1244716,"R",31916,"R",8,"R",302970,"R",37871,"R",47,"R",1547686,"R",32929
100706,1,1,"R",53,"R",6001333,"R",113233,"R",8,"R",883767,"R",110471,"R",61,"R",6885100,"R",112870
100706,1,2,"R",49,"R",4256252,"R",86862,"R",28,"R",2093444,"R",74766,"R",77,"R",6349696,"R",82464
100706,1,3,"R",52,"R",3708598,"R",71319,"R",32,"R",2042728,"R",63835,"R",84,"R",5751326,"R",68468
100706,1,4,"R",2,"R",105639,"R",52820,"R",12,"R",618637,"R",51553,"R",14,"R",724276,"R",51734
100706,1,5,"R",11,"R",560778,"R",50980,"R",19,"R",813763,"R",42830,"R",30,"R",1374541,"R",45818
100706,1,7,"R",167,"R",14632600,"R",87620,"R",99,"R",6452339,"R",65175,"R",266,"R",21084939,"R",79267
100706,2,1,"R",17,"R",2482488,"R",146029,"R",1,"R",165315,"R",165315,"R",18,"R",2647803,"R",147100
100706,2,2,"R",4,"R",347345,"R",86836,"R",5,"R",411962,"R",82392,"R",9,"R",759307,"R",84367
100706,2,3,"R",1,"R",68657,"R",68657,"R",2,"R",142613,"R",71307,"R",3,"R",211270,"R",70423
100706,2,5,"R",3,"R",250477,"R",83492,"R",7,"R",381151,"R",54450,"R",10,"R",631628,"R",63163
100706,2,7,"R",25,"R",3148967,"R",125959,"R",15,"R",1101041,"R",73403,"R",40,"R",4250008,"R",106250
100706,4,1,"R",70,"R",8032505,"R",114750,"R",9,"R",1019028,"R",113225,"R",79,"R",9051533,"R",114576
100706,4,2,"R",53,"R",4540450,"R",85669,"R",33,"R",2430511,"R",73652,"R",86,"R",6970961,"R",81058
100706,4,3,"R",53,"R",3764773,"R",71033,"R",34,"R",2159414,"R",63512,"R",87,"R",5924187,"R",68094
100706,4,4,"R",2,"R",105639,"R",52820,"R",12,"R",618637,"R",51553,"R",14,"R",724276,"R",51734
100706,4,5,"R",14,"R",765718,"R",54694,"R",26,"R",1125621,"R",43293,"R",40,"R",1891339,"R",47283
