CIP 1990,CIP 2000,Level,CIP 2000 Title
10501,10105,Subject Codes Valid at Level G,Agricultural/Farm Supplies Retailing and Wholesaling
10501,10105,Subject Codes Valid at Level T,Agricultural/Farm Supplies Retailing and Wholesaling
19999,,Subject Codes Valid at Level B,Deleted
19999,,Subject Codes Valid at Level G,Deleted
19999,,Subject Codes Valid at Level T,Deleted
20101,10000,Subject Codes Valid at Level B,"Agriculture, General"
20101,10000,Subject Codes Valid at Level G,"Agriculture, General"
20101,10000,Subject Codes Valid at Level T,"Agriculture, General"
20102,10801,Subject Codes Valid at Level B,Agricultural and Extension Education Services
20102,10801,Subject Codes Valid at Level G,Agricultural and Extension Education Services
20102,10801,Subject Codes Valid at Level T,Agricultural and Extension Education Services
20201,10901,Subject Codes Valid at Level B,"Animal Sciences, General"
20201,10901,Subject Codes Valid at Level G,"Animal Sciences, General"
20201,10901,Subject Codes Valid at Level T,"Animal Sciences, General"
20202,10902,Subject Codes Valid at Level B,Agricultural Animal Breeding
20202,10902,Subject Codes Valid at Level G,Agricultural Animal Breeding
20202,10902,Subject Codes Valid at Level T,Agricultural Animal Breeding
20203,10903,Subject Codes Valid at Level B,Animal Health
20203,10903,Subject Codes Valid at Level G,Animal Health
20203,10903,Subject Codes Valid at Level T,Animal Health
20204,10904,Subject Codes Valid at Level B,Animal Nutrition
20204,10904,Subject Codes Valid at Level G,Animal Nutrition
20204,10904,Subject Codes Valid at Level T,Animal Nutrition
20205,260706,Subject Codes Valid at Level B,Animal Physiology
20205,260706,Subject Codes Valid at Level G,Animal Physiology
20205,260706,Subject Codes Valid at Level T,Animal Physiology
20206,10905,Subject Codes Valid at Level B,Dairy Science
20206,10905,Subject Codes Valid at Level G,Dairy Science
20206,10905,Subject Codes Valid at Level T,Dairy Science
20209,10907,Subject Codes Valid at Level B,Poultry Science
20209,10907,Subject Codes Valid at Level G,Poultry Science
20209,10907,Subject Codes Valid at Level T,Poultry Science
20299,10999,Subject Codes Valid at Level B,"Animal Sciences, Other"
20299,10999,Subject Codes Valid at Level G,"Animal Sciences, Other"
20299,10999,Subject Codes Valid at Level T,"Animal Sciences, Other"
20301,11001,Subject Codes Valid at Level B,Food Science
20301,11001,Subject Codes Valid at Level G,Food Science
20301,11001,Subject Codes Valid at Level T,Food Science
20401,11101,Subject Codes Valid at Level B,"Plant Sciences, General"
20401,11101,Subject Codes Valid at Level G,"Plant Sciences, General"
20401,11101,Subject Codes Valid at Level T,"Plant Sciences, General"
20402,11102,Subject Codes Valid at Level B,Agronomy and Crop Science
20402,11102,Subject Codes Valid at Level G,Agronomy and Crop Science
20402,11102,Subject Codes Valid at Level T,Agronomy and Crop Science
20403,11103,Subject Codes Valid at Level B,Horticultural Science
20403,11103,Subject Codes Valid at Level G,Horticultural Science
20403,11103,Subject Codes Valid at Level T,Horticultural Science
20405,11104,Subject Codes Valid at Level B,Agricultural and Horticultural Plant Breeding??ÿ(NEW)
20405,11104,Subject Codes Valid at Level G,Agricultural and Horticultural Plant Breeding??ÿ(NEW)
20405,11104,Subject Codes Valid at Level T,Agricultural and Horticultural Plant Breeding??ÿ(NEW)
20406,260305,Subject Codes Valid at Level B,Plant Pathology/Phytopathology
20406,260305,Subject Codes Valid at Level G,Plant Pathology/Phytopathology
20406,260305,Subject Codes Valid at Level T,Plant Pathology/Phytopathology
20407,260307,Subject Codes Valid at Level B,Plant Physiology
20407,260307,Subject Codes Valid at Level G,Plant Physiology
20407,260307,Subject Codes Valid at Level T,Plant Physiology
20408,11105,Subject Codes Valid at Level B,Plant Protection & Integrated Pest Management
20408,11105,Subject Codes Valid at Level G,Plant Protection & Integrated Pest Management
20408,11105,Subject Codes Valid at Level T,Plant Protection & Integrated Pest Management
20409,11106,Subject Codes Valid at Level B,Range Science and Management
20409,11106,Subject Codes Valid at Level G,Range Science and Management
20409,11106,Subject Codes Valid at Level T,Range Science and Management
20499,11199,Subject Codes Valid at Level B,"Plant Sciences, Other"
20499,11199,Subject Codes Valid at Level G,"Plant Sciences, Other"
20499,11199,Subject Codes Valid at Level T,"Plant Sciences, Other"
20501,11201,Transfer Module Courses,"Soil Science and Agronomy, General"
20501,11201,Subject Codes Valid at Level B,"Soil Science and Agronomy, General"
20501,11201,Subject Codes Valid at Level G,"Soil Science and Agronomy, General"
20501,11201,Subject Codes Valid at Level T,"Soil Science and Agronomy, General"
29999,19999,Transfer Module Courses,"Agriculture, Agriculture Operations and Related Sciences, Other"
29999,19999,Subject Codes Valid at Level B,"Agriculture, Agriculture Operations and Related Sciences, Other"
29999,19999,Subject Codes Valid at Level G,"Agriculture, Agriculture Operations and Related Sciences, Other"
29999,19999,Subject Codes Valid at Level T,"Agriculture, Agriculture Operations and Related Sciences, Other"
30102,30103,Transfer Module Courses,Environmental Studies?ÿ(NEW)
30102,30103,Subject Codes Valid at Level B,Environmental Studies?ÿ(NEW)
30102,30103,Subject Codes Valid at Level G,Environmental Studies?ÿ(NEW)
30102,30103,Subject Codes Valid at Level T,Environmental Studies?ÿ(NEW)
30203,30299,Subject Codes Valid at Level B,Natural Resources Management/Development
30203,30299,Subject Codes Valid at Level G,Natural Resources Management/Development
30203,30299,Subject Codes Valid at Level T,Natural Resources Management/Development
30401,30511,Subject Codes Valid at Level G,Forestry Technology/Technician?ÿ(NEW)
30401,30511,Subject Codes Valid at Level T,Forestry Technology/Technician?ÿ(NEW)
30404,30511,Subject Codes Valid at Level G,Forestry Technology/Technician??ÿ(NEW)
30404,30511,Subject Codes Valid at Level T,Forestry Technology/Technician??ÿ(NEW)
30405,30599,Subject Codes Valid at Level G,"Forestry, Other"
30405,30599,Subject Codes Valid at Level T,"Forestry, Other"
30499,30599,Subject Codes Valid at Level G,"Forestry, Other"
30499,30599,Subject Codes Valid at Level T,"Forestry, Other"
40701,40301,Subject Codes Valid at Level B,"City/Urban, Community and Regional Planning"
50204,380205,Transfer Module Courses,Islamic Studies
50204,380205,Subject Codes Valid at Level B,Islamic Studies
50204,380205,Subject Codes Valid at Level G,Islamic Studies
50205,380206,Transfer Module Courses,Jewish/ Judaic Studies
50205,380206,Subject Codes Valid at Level B,Jewish/ Judaic Studies
50205,380206,Subject Codes Valid at Level G,Jewish/ Judaic Studies
80101,521904,Subject Codes Valid at Level B,Apparel and Accessories Marketing Operations
80101,521904,Subject Codes Valid at Level G,Apparel and Accessories Marketing Operations
80101,521904,Subject Codes Valid at Level T,Apparel and Accessories Marketing Operations
80102,521902,Subject Codes Valid at Level B,Fashion Merchandising
80102,521902,Subject Codes Valid at Level G,Fashion Merchandising
80102,521902,Subject Codes Valid at Level T,Fashion Merchandising
80199,,Subject Codes Valid at Level B,Deleted
80199,,Subject Codes Valid at Level G,Deleted
80199,,Subject Codes Valid at Level T,Deleted
80204,521908,Subject Codes Valid at Level G,Business and Personal/Financial Services Marketing Operations?ÿ(NEW)
80204,521908,Subject Codes Valid at Level T,Business and Personal/Financial Services Marketing Operations?ÿ(NEW)
80205,521908,Subject Codes Valid at Level G,Business and Personal/Financial Services Marketing Operations?ÿ(NEW)
80205,521908,Subject Codes Valid at Level T,Business and Personal/Financial Services Marketing Operations?ÿ(NEW)
80299,,Subject Codes Valid at Level G,Deleted
80299,,Subject Codes Valid at Level T,Deleted
80301,521801,Subject Codes Valid at Level G,"Sales, Distribution and Marketing Operations, General"
80301,521801,Subject Codes Valid at Level T,"Sales, Distribution and Marketing Operations, General"
80401,521908,Subject Codes Valid at Level G,Business and Personal/Financial Services Marketing Operations?ÿ(NEW)
80401,521908,Subject Codes Valid at Level T,Business and Personal/Financial Services Marketing Operations?ÿ(NEW)
80503,521909,Subject Codes Valid at Level G,Special Products Marketing Operations?ÿ(NEW)
80503,521909,Subject Codes Valid at Level T,Special Products Marketing Operations?ÿ(NEW)
80601,521909,Subject Codes Valid at Level G,Special Products Marketing Operations?ÿ(NEW)
80601,521909,Subject Codes Valid at Level T,Special Products Marketing Operations?ÿ(NEW)
